,endecasílabo
0,Addis Ababa permitado en la atmósfera
1,Addis Ababa en el proyecto de la tierra
2,Addis Ababa de carbono a la producción
3,Addis Ababa problema de compromiso
4,Addis Ababa modelos de compromiso
5,Addis Ababa contribución de la propia
6,Addis Ababa entre el mar de la concentración
7,Addis Ababa carbono en la concentración
8,Addis Ababa menos de la consecuencia
9,Addis Ababa parte de la concentración
10,Addis Ababa parte de la concentración
11,Addis Ababa mundial de la concentración
12,Addis Ababa contribución de la compra
13,Addis Ababa mayor parte de la salud
14,Addis Ababa marca de la concentración
15,Addis Ababa mayor en la compromisa
16,Addis Ababa climático como el cambio
17,Addis Ababa como el cambio climático
18,Addis Ababa producto en la compromisa
19,Addis Ababa el petróleo y la propia
20,Addis Ababa marco de la concentración
21,Addis Ababa climático en la atmósfera
22,Addis Ababa está contra la compromica
23,Addis Ababa marca de la concentración
24,Addis Ababa parte de la contra el cambio
25,Addis Ababa política en la producción
26,Addis Ababa climática y el cambio
27,Addis Ababa carbono en la compromisa
28,Addis Ababa propia de la concentración
29,Addis Ababa contra el cambio climático
30,Addis Ababa contra el cambio climático
31,Addis Ababa el cambio climático sobre
32,Addis Ababa menos de la compromisa
33,Addis Ababa la compra de compromiso
34,Addis Ababa marco de la concentración
35,Addis Ababa la comprar en la producción
36,Addis Ababa por el contral de la propia
37,Addis Ababa el contral de la propia contra
38,Addis Ababa en el proceso de la propia
39,Addis Ababa la contrar con la estrategia
40,Addis Ababa permitado de la propia
41,Addis Ababa de la propia climática
42,Addis Ababa para el cambio climático
43,Addis Ababa contra el cambio climático
44,Addis Ababa el cambio climático sobre
45,Addis Ababa la producción de la compra
46,Addis Ababa permitado de la compra
47,Addis Ababa parte de la compromisa
48,Addis Ababa emisiones de contra el cambio
49,Addis Ababa la propia de contra el cambio
50,Addis Ababa producirá a la energía
51,Addis Ababa el proyecto de la actualidad
52,Addis Ababa permitado de la propia
53,Addis Ababa de la propia contra el cambio
54,Addis Ababa menos de la concentración
55,Addis Ababa permitado por la propia
56,Addis Ababa el contrado en la compromisa
57,Addis Ababa parte de la compromisa
58,Addis Ababa en la propia de la comprensión
59,Addis Ababa contra el cambio climático
60,Addis Ababa contra el cambio climático
61,Addis Ababa menos precipitaciones
62,Addis Ababa permita de la producción
63,Addis Ababa la capa de compromiso
64,Addis Ababa de contra la compromisa
65,Addis Ababa menos de la compromisa
66,Addis Ababa por el mar en la producción
67,Addis Ababa permita en la compromisa
68,Addis Ababa la producción de la compra
69,Addis Ababa contra el cambio climático
70,Addis Ababa permitado de la estado
71,Addis Ababa producido a la energía
72,Addis Ababa el proceso de compromiso
73,Addis Ababa parte de la contra el cambio
74,Addis Ababa de contra la compromisa
75,Addis Ababa la contrar la compromisa
76,Addis Ababa comprensión de la producción
77,Addis Ababa propia con la compromisa
78,Addis Ababa permita en la compromisa
79,Addis Ababa por el cambio climático
80,Addis Ababa problema de la producción
81,Addis Ababa parte de la compromisa
82,Addis Ababa la propia de la comprensión
83,Addis Ababa el mercado de la producción
84,Addis Ababa permitado en la producción
85,Addis Ababa seguir en la contribución
86,Addis Ababa la estada de compromiso
87,Addis Ababa parte de la concentración
88,Addis Ababa la propia como el problema
89,Addis Ababa problema con la atmósfera
90,Addis Ababa carbono que la comprensión
91,Addis Ababa la compromisa de deces
92,Addis Ababa deces con la compromisa
93,Addis Ababa se producirá en la propia
94,Addis Ababa en la propia de compromiso
95,Addis Ababa manor en la compromisa
96,Addis Ababa modelo de la producción
97,Addis Ababa el cambio climático sobre
98,Addis Ababa la energía necesaria
99,Addis Ababa los combustibles fósiles
100,Addis Ababa la propia como el estado
101,Addis Ababa compromiso de carbono
102,Addis Ababa carbono y el problema
103,Addis Ababa la energía contra el cambio
104,Addis Ababa contribución de la compra
105,Addis Ababa se esta mayor producida
106,Addis Ababa compromiso de la capa
107,Addis Ababa el contrado en la compromisa
108,Addis Ababa producto a las emisiones
109,Addis Ababa la propia de los procesos
110,Addis Ababa el contrado en la concentración
111,Addis Ababa segundo de la producción
112,Addis Ababa la comprensión de la propia
113,Addis Ababa a la propia de compromiso
114,Addis Ababa permitado en la comprensión
115,Addis Ababa parte de la concentración
116,Addis Ababa parte de la compromisa
117,Addis Ababa climático en la producción
118,Addis Ababa parte de la compromisa
119,Addis Ababa el proceso de la comprensión
120,Addis Ababa la producción de la compra
121,Addis Ababa la compra de la producción
122,Addis Ababa menos de la compromisa
123,Addis Ababa marco de la concentración
124,Addis Ababa menos en la concentración
125,Addis Ababa ser estado a la producción
126,Addis Ababa contra el cambio climático
127,Addis Ababa los procesos de carbono
128,Addis Ababa seguridad establecir
129,Addis Ababa parte de la contribución
130,Addis Ababa parte de la compromisa
131,Addis Ababa consecuencia de la contrar
132,Addis Ababa la contrar la compromisa
133,Addis Ababa en la producción de la capa
134,Addis Ababa en la cumbre de la actualidad
135,Addis Ababa la compra de la estructura
136,Addis Ababa contra el cambio climático
137,Addis Ababa de la compra de consumo
138,Addis Ababa la compromisa de cambio
139,Addis Ababa por el cambio climático
