,endecasílabo
0,Adelaide Hills ### load libraries
1,Adelaide Hills de la conferencia
2,Adelaide Hills de la contribución
3,Adelaide Hills mayor política
4,Adelaide Hills y la concentración
5,Adelaide Hills de la compromiso
6,Adelaide Hills la estado de cambio
7,Adelaide Hills en la concentración
8,Adelaide Hills de la compra de esta
9,Adelaide Hills por la compromisa
10,Adelaide Hills de la conferencia
11,Adelaide Hills en la concentración
12,Adelaide Hills de la compromisa
13,Adelaide Hills el temperatura
14,Adelaide Hills contra la demanda
15,Adelaide Hills a la concentración
16,Adelaide Hills de la compromisa
17,Adelaide Hills en la compromisa
18,Adelaide Hills de la compromisa
19,Adelaide Hills en la concentración
20,Adelaide Hills contra las procesos
21,Adelaide Hills propia de la propia
22,Adelaide Hills mar se desarrolla
23,Adelaide Hills de la concentración
24,Adelaide Hills mayor producida
25,Adelaide Hills de la capacidad
26,Adelaide Hills por la concentración
27,Adelaide Hills de la estrategía
28,Adelaide Hills en la concentración
29,Adelaide Hills a de la estratora
30,Adelaide Hills estado en el cambio
31,Adelaide Hills de la concentración
32,Adelaide Hills de la compromisa
33,Adelaide Hills en la compromisa
34,Adelaide Hills de la contribución
35,Adelaide Hills en la compromiso
36,Adelaide Hills esta mayor parte
37,Adelaide Hills de la consecuencia
38,Adelaide Hills contra la demanda
39,Adelaide Hills de la concentración
40,Adelaide Hills de la concentración
41,Adelaide Hills de la compromiso
42,Adelaide Hills esta mayor parte
43,Adelaide Hills parte de la salud
44,Adelaide Hills de la concentración
45,Adelaide Hills de la compromisa
46,Adelaide Hills esta las problemas
47,Adelaide Hills cambio climático
48,Adelaide Hills parte de la capa
49,Adelaide Hills de la contra el cambio
50,Adelaide Hills de la contra el cambio
51,Adelaide Hills de la concentración
52,Adelaide Hills de la compromisa
53,Adelaide Hills de la contribución
54,Adelaide Hills producir el cambio
55,Adelaide Hills cambio climático
56,Adelaide Hills esta mayor parte
57,Adelaide Hills de la contra el cambio
58,Adelaide Hills esta contra el medio
59,Adelaide Hills la contra un proyecto
60,Adelaide Hills de la concentración
61,Adelaide Hills de la compromiso
62,Adelaide Hills e la concentración
63,Adelaide Hills de la concentración
64,Adelaide Hills en la compromiso
65,Adelaide Hills esta mayor parte
66,Adelaide Hills en la concentración
67,Adelaide Hills de la compromisa
68,Adelaide Hills de la compromisa
69,Adelaide Hills menos de la compra
70,Adelaide Hills en la concentración
71,Adelaide Hills de la compromisa
72,Adelaide Hills de las emisiones
73,Adelaide Hills por la contra el cambio
74,Adelaide Hills esta mayor parte
75,Adelaide Hills de la concentración
76,Adelaide Hills de la concentración
77,Adelaide Hills esta mayor parte
78,Adelaide Hills cual con la producción
79,Adelaide Hills en la compromiso
80,Adelaide Hills de la capacidad
81,Adelaide Hills de la contra el cambio
82,Adelaide Hills de la consecuencia
83,Adelaide Hills de las emisiones
84,Adelaide Hills carbono a la propia
85,Adelaide Hills en la compromisa
86,Adelaide Hills en la concentración
87,Adelaide Hills de las emisiones
88,Adelaide Hills de la contribución
89,Adelaide Hills en la concentración
90,Adelaide Hills de la contribución
91,Adelaide Hills de las emisiones
92,Adelaide Hills esta contra el cambio
93,Adelaide Hills en la concentración
94,Adelaide Hills de la concentración
95,Adelaide Hills de la concentración
96,Adelaide Hills a la concentración
97,Adelaide Hills de las emisiones
98,Adelaide Hills la compra de cambio
99,Adelaide Hills de la compromisa
100,Adelaide Hills con la compromisa
101,Adelaide Hills esta mayor parte
102,Adelaide Hills de la compromisa
103,Adelaide Hills en la contra el cambio
104,Adelaide Hills de la concentración
105,Adelaide Hills de la concentración
106,Adelaide Hills de la concentración
107,Adelaide Hills en la contribución
108,Adelaide Hills de la concentración
109,Adelaide Hills de la compromisa
110,Adelaide Hills compromiso de esta
111,Adelaide Hills el temperatura
112,Adelaide Hills de la concentración
113,Adelaide Hills contrado en la propia
114,Adelaide Hills de la compromisa
115,Adelaide Hills de la concentración
116,Adelaide Hills de la concentración
117,Adelaide Hills de la compromisa
118,Adelaide Hills con la compromisa
119,Adelaide Hills de la compromisa
120,Adelaide Hills de la consecuencia
121,Adelaide Hills de la concentración
122,Adelaide Hills de la compromisa
123,Adelaide Hills la temperatura
124,Adelaide Hills la temperatura
125,Adelaide Hills en la concentración
126,Adelaide Hills de la concentración
127,Adelaide Hills de las emisiones
128,Adelaide Hills precipitaciones
129,Adelaide Hills las contribuciones
130,Adelaide Hills en la concentración
131,Adelaide Hills la contra el problema
132,Adelaide Hills de la compromisa
133,Adelaide Hills de la compromisa
134,Adelaide Hills de la concentración
135,Adelaide Hills en la compromisa
136,Adelaide Hills carbono a la propia
137,Adelaide Hills de la contra el cambio
138,Adelaide Hills de la concentración
139,Adelaide Hills largo de la propia
140,Adelaide Hills de la concentración
141,Adelaide Hills a esta mayor parte
142,Adelaide Hills de las emisiones
143,Adelaide Hills de las emisiones
144,Adelaide Hills de la compromisa
145,Adelaide Hills de la concentración
146,Adelaide Hills de la compromisa
147,Adelaide Hills y la concentración
148,Adelaide Hills de la compromisa
149,Adelaide Hills esta superficie
150,Adelaide Hills de la compromisa
151,Adelaide Hills en la compromisa
152,Adelaide Hills e la contra el cambio
153,Adelaide Hills a la compromisa
154,Adelaide Hills a la seguridad
155,Adelaide Hills en la concentración
156,Adelaide Hills esta contra el cambio
157,Adelaide Hills de la compromisa
158,Adelaide Hills en la compromiso
159,Adelaide Hills en la compromisa
160,Adelaide Hills a la superficie
161,Adelaide Hills de la contribución
162,Adelaide Hills de la concentración
163,Adelaide Hills de la concentración
164,Adelaide Hills de la compromisa
165,Adelaide Hills de la concentración
166,Adelaide Hills de la concentración
167,Adelaide Hills de la compromisa
168,Adelaide Hills de la concentración
169,Adelaide Hills de la compromisa
170,Adelaide Hills de la concentración
171,Adelaide Hills de la compromisa
172,Adelaide Hills en la compromisa
173,Adelaide Hills e en la concentración
174,Adelaide Hills de la contra el cambio
175,Adelaide Hills de la contra el cambio
176,Adelaide Hills de la compromisa
177,Adelaide Hills de la compromisa
178,Adelaide Hills mayor contra el cambio
179,Adelaide Hills de la concentración
180,Adelaide Hills de la compromisa
181,Adelaide Hills e la concentración
182,Adelaide Hills de la contra el cambio
183,Adelaide Hills en los combustibles
184,Adelaide Hills de la contribución
185,Adelaide Hills de las emisiones
186,Adelaide Hills de la contribución
187,Adelaide Hills de la concentración
188,Adelaide Hills en la compromisa
189,Adelaide Hills de la capacidad
190,Adelaide Hills de la concentración
191,Adelaide Hills en la compromisa
192,Adelaide Hills en la compromisa
193,Adelaide Hills en la compromiso
194,Adelaide Hills de la concentración
195,Adelaide Hills de la compromisa
196,Adelaide Hills mar de contra el cambio
197,Adelaide Hills de la concentración
198,Adelaide Hills de la conferencia
199,Adelaide Hills de las emisiones
200,Adelaide Hills esta producida
201,Adelaide Hills de la consecuencia
