,verse,terminacion
0,Adelaide Hills ### load libraries,"[<'li':cv>, <'bra':ccV>, <'ries':cvVs>]"
1,Adelaide Hills de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
2,Adelaide Hills de la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
3,Adelaide Hills mayor política,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'ca':cV>]"
4,Adelaide Hills y la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
5,Adelaide Hills de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
6,Adelaide Hills la estado de cambio,"[<'cam':cVc>, <'bio':cvV>]"
7,Adelaide Hills en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
8,Adelaide Hills de la compra de esta,"[<'es':Vs>, <'ta':cV>]"
9,Adelaide Hills por la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
10,Adelaide Hills de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
11,Adelaide Hills en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Adelaide Hills de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
13,Adelaide Hills el temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
14,Adelaide Hills contra la demanda,"[<'de':cV>, <'man':cVc>, <'da':cV>]"
15,Adelaide Hills a la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
16,Adelaide Hills de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
17,Adelaide Hills en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
18,Adelaide Hills de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
19,Adelaide Hills en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
20,Adelaide Hills contra las procesos,"[<'pro':ccV>, <'ce':cV>, <'sos':sVs>]"
21,Adelaide Hills propia de la propia,"[<'pro':ccV>, <'pia':cvV>]"
22,Adelaide Hills mar se desarrolla,"[<'de':cV>, <'sa':sV>, <'rro':ccV>, <'lla':ccV>]"
23,Adelaide Hills de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
24,Adelaide Hills mayor producida,"[<'pro':ccV>, <'du':cv>, <'ci':cv>, <'da':cV>]"
25,Adelaide Hills de la capacidad,"[<'ca':cV>, <'pa':cV>, <'ci':cv>, <'dad':cVc>]"
26,Adelaide Hills por la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
27,Adelaide Hills de la estrategía,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gí':cV>, <'a':V>]"
28,Adelaide Hills en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
29,Adelaide Hills a de la estratora,"[<'es':Vs>, <'tra':ccV>, <'to':cV>, <'ra':cV>]"
30,Adelaide Hills estado en el cambio,"[<'cam':cVc>, <'bio':cvV>]"
31,Adelaide Hills de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
32,Adelaide Hills de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
33,Adelaide Hills en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
34,Adelaide Hills de la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
35,Adelaide Hills en la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
36,Adelaide Hills esta mayor parte,"[<'par':cVc>, <'te':cV>]"
37,Adelaide Hills de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
38,Adelaide Hills contra la demanda,"[<'de':cV>, <'man':cVc>, <'da':cV>]"
39,Adelaide Hills de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
40,Adelaide Hills de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
41,Adelaide Hills de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
42,Adelaide Hills esta mayor parte,"[<'par':cVc>, <'te':cV>]"
43,Adelaide Hills parte de la salud,"[<'sa':sV>, <'lud':cvc>]"
44,Adelaide Hills de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
45,Adelaide Hills de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
46,Adelaide Hills esta las problemas,"[<'pro':ccV>, <'ble':ccV>, <'mas':cVs>]"
47,Adelaide Hills cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
48,Adelaide Hills parte de la capa,"[<'ca':cV>, <'pa':cV>]"
49,Adelaide Hills de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
50,Adelaide Hills de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
51,Adelaide Hills de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
52,Adelaide Hills de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
53,Adelaide Hills de la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
54,Adelaide Hills producir el cambio,"[<'cam':cVc>, <'bio':cvV>]"
55,Adelaide Hills cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
56,Adelaide Hills esta mayor parte,"[<'par':cVc>, <'te':cV>]"
57,Adelaide Hills de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
58,Adelaide Hills esta contra el medio,"[<'me':cV>, <'dio':cvV>]"
59,Adelaide Hills la contra un proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
60,Adelaide Hills de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
61,Adelaide Hills de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
62,Adelaide Hills e la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
63,Adelaide Hills de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
64,Adelaide Hills en la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
65,Adelaide Hills esta mayor parte,"[<'par':cVc>, <'te':cV>]"
66,Adelaide Hills en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
67,Adelaide Hills de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
68,Adelaide Hills de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
69,Adelaide Hills menos de la compra,"[<'com':cVc>, <'pra':ccV>]"
70,Adelaide Hills en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
71,Adelaide Hills de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
72,Adelaide Hills de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
73,Adelaide Hills por la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
74,Adelaide Hills esta mayor parte,"[<'par':cVc>, <'te':cV>]"
75,Adelaide Hills de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
76,Adelaide Hills de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
77,Adelaide Hills esta mayor parte,"[<'par':cVc>, <'te':cV>]"
78,Adelaide Hills cual con la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
79,Adelaide Hills en la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
80,Adelaide Hills de la capacidad,"[<'ca':cV>, <'pa':cV>, <'ci':cv>, <'dad':cVc>]"
81,Adelaide Hills de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
82,Adelaide Hills de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
83,Adelaide Hills de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
84,Adelaide Hills carbono a la propia,"[<'pro':ccV>, <'pia':cvV>]"
85,Adelaide Hills en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
86,Adelaide Hills en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
87,Adelaide Hills de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
88,Adelaide Hills de la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
89,Adelaide Hills en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
90,Adelaide Hills de la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
91,Adelaide Hills de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
92,Adelaide Hills esta contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
93,Adelaide Hills en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
94,Adelaide Hills de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
95,Adelaide Hills de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
96,Adelaide Hills a la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
97,Adelaide Hills de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
98,Adelaide Hills la compra de cambio,"[<'cam':cVc>, <'bio':cvV>]"
99,Adelaide Hills de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
100,Adelaide Hills con la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
101,Adelaide Hills esta mayor parte,"[<'par':cVc>, <'te':cV>]"
102,Adelaide Hills de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
