,verse,terminacion
0,Adelaide del proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Adelaide países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
2,Adelaide los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
3,Adelaide partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
4,Adelaide de los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
5,Adelaide para marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
6,Adelaide a la presencia de la salud,"[<'sa':sV>, <'lud':cvc>]"
7,Adelaide contonce más el peligro,"[<'pe':cV>, <'li':cv>, <'gro':ccV>]"
8,Adelaide las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Adelaide de la biosfera de precios,"[<'pre':ccV>, <'cios':cvVs>]"
10,Adelaide de la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
11,Adelaide sa amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Adelaide es un siglo xx estos partes,"[<'par':cVc>, <'tes':cVs>]"
13,Adelaide ndia de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
14,Adelaide contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
15,Adelaide guardo estado a la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
16,Adelaide la actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
17,Adelaide aumenta de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
18,Adelaide en el que se definitica,"[<'de':cV>, <'fi':cv>, <'ni':cv>, <'ti':cv>, <'ca':cV>]"
19,Adelaide diración de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
20,Adelaide a la intersión del capacidad,"[<'ca':cV>, <'pa':cV>, <'ci':cv>, <'dad':cVc>]"
21,Adelaide n el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
22,Adelaide me considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
23,Adelaide los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
24,Adelaide se desalian el especie,"[<'es':Vs>, <'pe':cV>, <'cie':cvV>]"
25,Adelaide correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
26,Adelaide para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
27,Adelaide y los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
28,Adelaide la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
29,Adelaide de los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
30,Adelaide de calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
31,Adelaide la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
32,Adelaide en el carbón y al contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
33,Adelaide contribución en la esta alla,"[<'a':V>, <'lla':ccV>]"
34,Adelaide salia del calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
35,Adelaide que los neoliberales,"[<'ne':cV>, <'o':V>, <'li':cv>, <'be':cV>, <'ra':cV>, <'les':cVs>]"
36,Adelaide la aperación de la centra,"[<'cen':cVc>, <'tra':ccV>]"
37,Adelaide pertinente con la reda,"[<'re':cV>, <'da':cV>]"
38,Adelaide la reda de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
39,Adelaide de la cantidad de tiempo,"[<'tiem':cvVc>, <'po':cV>]"
40,Adelaide los procesos de la inversión,"[<'in':vc>, <'ver':cVc>, <'sión':svVc>]"
41,Adelaide energía no en los dectriales,"[<'dec':cVc>, <'tria':ccvV>, <'les':cVs>]"
42,Adelaide actividades políticos,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'cos':cVs>]"
