,endecasílabo
0,Ahmedabad permitado en la atmósfera
1,Ahmedabad esta mayor política
2,Ahmedabad de carbono a la producción
3,Ahmedabad problema de compromiso
4,Ahmedabad modelos de compromiso
5,Ahmedabad esta mayor producida
6,Ahmedabad contribución de la propia
7,Ahmedabad carbono en la concentración
8,Ahmedabad menos de la consecuencia
9,Ahmedabad parte de la concentración
10,Ahmedabad parte de la concentración
11,Ahmedabad mundial de la concentración
12,Ahmedabad contribución de la compra
13,Ahmedabad el problema de reducir
14,Ahmedabad mayor parte de la salud
15,Ahmedabad estado como la propia
16,Ahmedabad marca de la concentración
17,Ahmedabad mayor en la compromisa
18,Ahmedabad climático como el cambio
19,Ahmedabad como el cambio climático
20,Ahmedabad producto en la compromisa
21,Ahmedabad en la salud de la contrar
22,Ahmedabad marco de la concentración
23,Ahmedabad climático en la atmósfera
24,Ahmedabad el cambio climático está
25,Ahmedabad esta esta mayor producción
26,Ahmedabad marca de la concentración
27,Ahmedabad parte de la contra el cambio
28,Ahmedabad política en la producción
29,Ahmedabad climática y el cambio
30,Ahmedabad al menos de la comprensión
31,Ahmedabad carbono en la compromisa
32,Ahmedabad propia de la concentración
33,Ahmedabad contra el cambio climático
34,Ahmedabad el cambio climático esta
35,Ahmedabad estado en la concentración
36,Ahmedabad contra el cambio climático
37,Ahmedabad menos de la compromisa
38,Ahmedabad la compra de compromiso
39,Ahmedabad marco de la concentración
40,Ahmedabad la comprar en la producción
41,Ahmedabad por el contral de la propia
42,Ahmedabad la contrar con la estrategia
43,Ahmedabad permitado de la propia
44,Ahmedabad de la propia climática
45,Ahmedabad para el cambio climático
46,Ahmedabad contra el cambio climático
47,Ahmedabad estado en la consecuencia
48,Ahmedabad la producción de la compra
49,Ahmedabad permitado de la compra
50,Ahmedabad parte de la compromisa
51,Ahmedabad estado su proporciona
52,Ahmedabad la propia de contra el cambio
53,Ahmedabad producirá a la energía
54,Ahmedabad en las contrabulidades
55,Ahmedabad permitado de la propia
56,Ahmedabad de la propia contra el cambio
57,Ahmedabad menos de la concentración
58,Ahmedabad permitado por la propia
59,Ahmedabad a la contra el combustible
60,Ahmedabad parte de la compromisa
61,Ahmedabad e la mayor actividad
62,Ahmedabad contra el cambio climático
63,Ahmedabad contra el cambio climático
64,Ahmedabad menos precipitaciones
65,Ahmedabad permita de la producción
66,Ahmedabad la capa de compromiso
