,verse,terminacion
0,Amboasary proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Amboasary en la recursosidad,"[<'re':cV>, <'cur':cvc>, <'so':sV>, <'si':sv>, <'dad':cVc>]"
2,Amboasary de entre el parto del mismo,"[<'mis':cvs>, <'mo':cV>]"
3,Amboasary ural de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
4,Amboasary los países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
5,Amboasary los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
6,Amboasary la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
7,Amboasary as en el sistema almo,"[<'al':Vc>, <'mo':cV>]"
8,Amboasary nte de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
9,Amboasary márido de la carta,"[<'car':cVc>, <'ta':cV>]"
10,Amboasary es un siglo xx estos,"[<'es':Vs>, <'tos':cVs>]"
11,Amboasary de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
12,Amboasary consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
13,Amboasary de la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
14,Amboasary calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
15,Amboasary las nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Amboasary la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
17,Amboasary la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
18,Amboasary te de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
19,Amboasary de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
20,Amboasary ntuad para diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
21,Amboasary es el mercado pero,"[<'pe':cV>, <'ro':cV>]"
22,Amboasary de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
23,Amboasary es de algunos países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
24,Amboasary compensario a la intersión,"[<'in':vc>, <'ter':cVc>, <'sión':svVc>]"
25,Amboasary carbona en la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
26,Amboasary e la nueva alta al nivel,"[<'ni':cv>, <'vel':cVc>]"
27,Amboasary en la inercia de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
28,Amboasary re en la emisión de todos,"[<'to':cV>, <'dos':cVs>]"
29,Amboasary el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
30,Amboasary considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
31,Amboasary lo que hay que se viere,"[<'vie':cvV>, <'re':cV>]"
32,Amboasary el estado de cumbre,"[<'cum':cvc>, <'bre':ccV>]"
33,Amboasary de cumbre de la ommera,"[<'om':Vc>, <'me':cV>, <'ra':cV>]"
34,Amboasary en la contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
35,Amboasary de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
36,Amboasary los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
37,Amboasary los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
38,Amboasary calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
39,Amboasary e medidas permiten,"[<'per':cVc>, <'mi':cv>, <'ten':cVc>]"
40,Amboasary permiten de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
41,Amboasary de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
42,Amboasary contribución en la esta,"[<'es':Vs>, <'ta':cV>]"
43,Amboasary de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
44,Amboasary los neoliberales,"[<'ne':cV>, <'o':V>, <'li':cv>, <'be':cV>, <'ra':cV>, <'les':cVs>]"
45,Amboasary io de la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
46,Amboasary timo en la sopirticad,"[<'so':sV>, <'pir':cvc>, <'ti':cv>, <'cad':cVc>]"
47,Amboasary general del progreso,"[<'pro':ccV>, <'gre':ccV>, <'so':sV>]"
48,Amboasary se se puede ser tener,"[<'te':cV>, <'ner':cVc>]"
49,Amboasary umbre al calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
50,Amboasary ado de la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
51,Amboasary en la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
52,Amboasary de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
53,Amboasary s de esta poderpera,"[<'po':cV>, <'der':cVc>, <'pe':cV>, <'ra':cV>]"
