,endecasílabo
0,Ambositra permitado en la atmósfera
1,Ambositra en el proyecto de la tierra
2,Ambositra de carbono a la producción
3,Ambositra problema de compromiso
4,Ambositra modelos de compromiso
5,Ambositra contribución de la propia
6,Ambositra entre el mar de la concentración
7,Ambositra carbono en la concentración
8,Ambositra menos de la consecuencia
9,Ambositra parte de la concentración
10,Ambositra parte de la concentración
11,Ambositra mundial de la concentración
12,Ambositra contribución de la compra
13,Ambositra mayor parte de la salud
14,Ambositra marca de la concentración
15,Ambositra mayor en la compromisa
16,Ambositra climático como el cambio
17,Ambositra como el cambio climático
18,Ambositra producto en la compromisa
19,Ambositra el petróleo y la propia
20,Ambositra marco de la concentración
21,Ambositra climático en la atmósfera
22,Ambositra está contra la compromica
23,Ambositra marca de la concentración
24,Ambositra parte de la contra el cambio
25,Ambositra política en la producción
26,Ambositra climática y el cambio
27,Ambositra carbono en la compromisa
28,Ambositra propia de la concentración
29,Ambositra contra el cambio climático
30,Ambositra contra el cambio climático
31,Ambositra el cambio climático sobre
32,Ambositra menos de la compromisa
33,Ambositra la compra de compromiso
34,Ambositra marco de la concentración
35,Ambositra la comprar en la producción
36,Ambositra por el contral de la propia
37,Ambositra el contral de la propia contra
38,Ambositra en el proceso de la propia
39,Ambositra la contrar con la estrategia
40,Ambositra permitado de la propia
41,Ambositra de la propia climática
42,Ambositra para el cambio climático
43,Ambositra contra el cambio climático
44,Ambositra el cambio climático sobre
45,Ambositra la producción de la compra
46,Ambositra permitado de la compra
47,Ambositra parte de la compromisa
48,Ambositra emisiones de contra el cambio
49,Ambositra la propia de contra el cambio
50,Ambositra producirá a la energía
51,Ambositra el proyecto de la actualidad
52,Ambositra permitado de la propia
53,Ambositra de la propia contra el cambio
54,Ambositra menos de la concentración
55,Ambositra permitado por la propia
56,Ambositra el contrado en la compromisa
57,Ambositra parte de la compromisa
58,Ambositra en la propia de la comprensión
59,Ambositra contra el cambio climático
60,Ambositra contra el cambio climático
61,Ambositra menos precipitaciones
62,Ambositra permita de la producción
63,Ambositra la capa de compromiso
64,Ambositra de contra la compromisa
65,Ambositra menos de la compromisa
66,Ambositra por el mar en la producción
67,Ambositra permita en la compromisa
68,Ambositra la producción de la compra
69,Ambositra contra el cambio climático
70,Ambositra permitado de la estado
71,Ambositra producido a la energía
72,Ambositra el proceso de compromiso
73,Ambositra parte de la contra el cambio
74,Ambositra de contra la compromisa
75,Ambositra la contrar la compromisa
76,Ambositra comprensión de la producción
77,Ambositra propia con la compromisa
78,Ambositra permita en la compromisa
79,Ambositra por el cambio climático
80,Ambositra problema de la producción
81,Ambositra parte de la compromisa
82,Ambositra la propia de la comprensión
83,Ambositra el mercado de la producción
84,Ambositra permitado en la producción
85,Ambositra seguir en la contribución
86,Ambositra la estada de compromiso
87,Ambositra parte de la concentración
88,Ambositra la propia como el problema
89,Ambositra problema con la atmósfera
90,Ambositra carbono que la comprensión
91,Ambositra la compromisa de deces
92,Ambositra deces con la compromisa
93,Ambositra se producirá en la propia
94,Ambositra en la propia de compromiso
95,Ambositra manor en la compromisa
96,Ambositra modelo de la producción
97,Ambositra el cambio climático sobre
98,Ambositra la energía necesaria
99,Ambositra los combustibles fósiles
100,Ambositra la propia como el estado
101,Ambositra compromiso de carbono
102,Ambositra carbono y el problema
103,Ambositra la energía contra el cambio
104,Ambositra contribución de la compra
105,Ambositra se esta mayor producida
106,Ambositra compromiso de la capa
107,Ambositra el contrado en la compromisa
108,Ambositra producto a las emisiones
109,Ambositra la propia de los procesos
110,Ambositra el contrado en la concentración
111,Ambositra segundo de la producción
112,Ambositra la comprensión de la propia
113,Ambositra a la propia de compromiso
114,Ambositra permitado en la comprensión
115,Ambositra parte de la concentración
116,Ambositra parte de la compromisa
117,Ambositra climático en la producción
118,Ambositra parte de la compromisa
119,Ambositra el proceso de la comprensión
120,Ambositra la producción de la compra
121,Ambositra la compra de la producción
122,Ambositra menos de la compromisa
123,Ambositra marco de la concentración
124,Ambositra menos en la concentración
125,Ambositra ser estado a la producción
126,Ambositra contra el cambio climático
127,Ambositra los procesos de carbono
128,Ambositra seguridad establecir
129,Ambositra parte de la contribución
130,Ambositra parte de la compromisa
131,Ambositra consecuencia de la contrar
132,Ambositra la contrar la compromisa
133,Ambositra en la producción de la capa
134,Ambositra en la cumbre de la actualidad
135,Ambositra la compra de la estructura
136,Ambositra contra el cambio climático
137,Ambositra de la compra de consumo
138,Ambositra la compromisa de cambio
139,Ambositra por el cambio climático
140,Ambositra permitado en el promedio
141,Ambositra la estado de la comprensión
142,Ambositra se desarrollar la estada
143,Ambositra mercado de la energía
144,Ambositra carbono en la compromisa
145,Ambositra menos de la concentración
146,Ambositra permitado en la producción
147,Ambositra contración de la producción
148,Ambositra el contral de la concentración
149,Ambositra de todo la contra el cambio
150,Ambositra menos de la concentración
151,Ambositra contra el cambio climático
152,Ambositra la comprensión de la compra
153,Ambositra la producción de la compra
154,Ambositra parte de la concentración
155,Ambositra menos de la concentración
156,Ambositra proceso de esta producción
157,Ambositra proceso de compromiso
158,Ambositra sin embargo se producir
159,Ambositra contra el mar en la atmósfera
160,Ambositra de compromiso de contra
161,Ambositra contra la temperatura
162,Ambositra menos de la concentración
163,Ambositra carbono que los países
164,Ambositra la producción de la mayor
165,Ambositra problema de la producción
166,Ambositra de compromiso de contra
