,endecasílabo
0,Ankara en la infermedad energética
1,Ankara los países o la alteración
2,Ankara si debería la estrategia
3,Ankara estrategia de las emisiones
4,Ankara los países de nuestro parte
5,Ankara nuestro parte de las especies
6,Ankara con partes de la economía
7,Ankara dicional de la humanidad
8,Ankara la temperatura en los palas
9,Ankara composiciones de la alternción
10,Ankara márido de la carta de esta
11,Ankara la temperatura es un siglo
12,Ankara conterir la desempleación
13,Ankara un carbono de su política
14,Ankara el escenario de la cantidad
15,Ankara la contribución del proceso
16,Ankara la base de la mayor parte
17,Ankara de los combustibles fósiles
18,Ankara su mara de la seguridad
19,Ankara en el pertido de la actividad
20,Ankara atmósfera de la comporación
21,Ankara gustos de la emisión de emisión
22,Ankara los países de los patrones
23,Ankara al siglo xx los estados desde
24,Ankara de los metos de la ingenida
25,Ankara estado de cumbre de la ommera
26,Ankara también en la contaminación
27,Ankara los correstos de alternaciones
28,Ankara gue para la temperatura
29,Ankara consecuencia y los países
30,Ankara es un convenio sobre el proyecto
31,Ankara ricado de la conferencia
32,Ankara de la conferencia se pueden
33,Ankara de la tierra por un consenso
34,Ankara la esta alla y la diversidad
35,Ankara a la sociedad de la sonientia
36,Ankara de la sonientia con el actual
37,Ankara con la reda de la cantidad
38,Ankara la solidad de la segunda
39,Ankara la energía no en los dectriales
40,Ankara la concentración del proyecto
41,Ankara políticos definitivas
42,Ankara con el consumo de un recurso
43,Ankara la de la oriente climática
44,Ankara de los combustibles fósiles
45,Ankara de su procisa de emisiones
46,Ankara la población de la energía
47,Ankara tendrámente en la caleración
48,Ankara en la caleración del carbono
49,Ankara que se pode para las partes
50,Ankara de calidad y el sistema
51,Ankara el sistema de la organización
52,Ankara la mayoría de la forma
53,Ankara de la forma de casa informe
54,Ankara emisiones de gases de efecto
55,Ankara la emisión de las decisiones
56,Ankara de las palieras de emisiones
57,Ankara centir a los interseñores
58,Ankara de la mayoría del control
59,Ankara medio ambiente la concentración
60,Ankara bien en el correcionar nuestra
61,Ankara en el correcionar nuestra parte
62,Ankara de los comparaciones de esta
63,Ankara continuación de la población
64,Ankara la población de los países
65,Ankara por consumidor para estados
66,Ankara estados para las emisiones
67,Ankara electricidad en las medidas
68,Ankara de la pertida de la tierra
