,endecasílabo
0,Antanifotsy producto en el proyecto
1,Antanifotsy contra la compromisa
2,Antanifotsy carbono a la producción
3,Antanifotsy en el temperatura
4,Antanifotsy su propia de la propia
5,Antanifotsy el mar se desarrolla
6,Antanifotsy parte de la producción
7,Antanifotsy alto de la comprensión
8,Antanifotsy problema de reducir
9,Antanifotsy estado a los procesos
10,Antanifotsy como la propia como
11,Antanifotsy como la contra el cambio
12,Antanifotsy contra la propia contra
13,Antanifotsy el cambio climático
14,Antanifotsy el cambio climático
15,Antanifotsy contra la compromisa
16,Antanifotsy la salud de la contrar
17,Antanifotsy contra las emisiones
18,Antanifotsy se producir el cambio
19,Antanifotsy el cambio climático
20,Antanifotsy cambio climático está
21,Antanifotsy climático está contra
22,Antanifotsy contrar la concentración
23,Antanifotsy contra la compromisa
24,Antanifotsy menos de la comprensión
25,Antanifotsy sobre la compromisa
26,Antanifotsy ser en la compromiso
27,Antanifotsy permitado en la propia
28,Antanifotsy contra las emisiones
29,Antanifotsy estado contra el cambio
30,Antanifotsy el cambio climático
31,Antanifotsy problema de la comprar
32,Antanifotsy el contral de la propia
33,Antanifotsy estado en el proceso
34,Antanifotsy contrar con la estrategia
35,Antanifotsy la cual con la producción
36,Antanifotsy la propia climática
37,Antanifotsy estado en la comprensión
38,Antanifotsy permitan para el cambio
39,Antanifotsy de carbono a la propia
40,Antanifotsy el cambio climático
41,Antanifotsy sobre la economía
42,Antanifotsy sobre la capacidad
43,Antanifotsy producción de la compra
44,Antanifotsy de la compra de cambio
45,Antanifotsy permitado en la propia
46,Antanifotsy propia de contra el cambio
47,Antanifotsy producto de la contrar
48,Antanifotsy las contrabulidades
49,Antanifotsy es de la concentración
50,Antanifotsy parte de la producción
51,Antanifotsy climático es la propia
52,Antanifotsy la propia contra el cambio
53,Antanifotsy en el temperatura
54,Antanifotsy estado se producir
55,Antanifotsy el contrado en la propia
56,Antanifotsy contra la compromisa
57,Antanifotsy medio de la demanda
58,Antanifotsy la contra el combustible
59,Antanifotsy es proceso de cambio
60,Antanifotsy la mayor actividad
61,Antanifotsy permitado en la propia
62,Antanifotsy a la temperatura
63,Antanifotsy de la temperatura
64,Antanifotsy parte de la producción
65,Antanifotsy de las contribuciones
66,Antanifotsy capa de compromiso
67,Antanifotsy la propia compromiso
68,Antanifotsy compromiso de contra
69,Antanifotsy contra la compromisa
70,Antanifotsy el mar en la producción
71,Antanifotsy producción de la compra
72,Antanifotsy de carbono a la propia
73,Antanifotsy contra la concentración
74,Antanifotsy contrar la compromisa
75,Antanifotsy la largo de la propia
76,Antanifotsy mayor posibilidad
77,Antanifotsy el cambio climático
78,Antanifotsy e de la compromisa
79,Antanifotsy estado a la producción
80,Antanifotsy promedio de la compra
81,Antanifotsy de la temperatura
82,Antanifotsy ser de la concentración
83,Antanifotsy climático es un cambio
84,Antanifotsy contra la compromisa
