,verse,terminacion
0,Antsohimbondrona load libraries,"[<'li':cv>, <'bra':ccV>, <'ries':cvVs>]"
1,Antsohimbondrona ### load model,"[<'mo':cV>, <'del':cVc>]"
2,Antsohimbondrona nte en la infermedad,"[<'in':vc>, <'fer':cVc>, <'me':cV>, <'dad':cVc>]"
3,Antsohimbondrona de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
4,Antsohimbondrona si debería,"[<'de':cV>, <'be':cV>, <'rí':cV>, <'a':V>]"
5,Antsohimbondrona las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
6,Antsohimbondrona la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
7,Antsohimbondrona de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
8,Antsohimbondrona de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
9,Antsohimbondrona de nuestro parte,"[<'par':cVc>, <'te':cV>]"
10,Antsohimbondrona de las especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
11,Antsohimbondrona la deferencia,"[<'de':cV>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
12,Antsohimbondrona de los palabres,"[<'pa':cV>, <'la':cV>, <'bres':ccVs>]"
13,Antsohimbondrona los eficientes,"[<'e':V>, <'fi':cv>, <'cien':cvVc>, <'tes':cVs>]"
14,Antsohimbondrona más el peligro,"[<'pe':cV>, <'li':cv>, <'gro':ccV>]"
15,Antsohimbondrona de la transición,"[<'tran':ccVc>, <'si':sv>, <'ción':cvVc>]"
16,Antsohimbondrona composiciones,"[<'com':cVc>, <'po':cV>, <'si':sv>, <'cio':cvV>, <'nes':cVs>]"
17,Antsohimbondrona la carta de esta,"[<'es':Vs>, <'ta':cV>]"
18,Antsohimbondrona un siglo xx estos,"[<'es':Vs>, <'tos':cVs>]"
19,Antsohimbondrona de la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
20,Antsohimbondrona como un carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
21,Antsohimbondrona de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
22,Antsohimbondrona de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
23,Antsohimbondrona de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
24,Antsohimbondrona calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
25,Antsohimbondrona la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
