,verse,terminacion
0,Apia nte en la infermedad energética,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'ca':cV>]"
1,Apia de los países o la alteración,"[<'al':Vc>, <'te':cV>, <'ra':cV>, <'ción':cvVc>]"
2,Apia se distinte en la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
3,Apia en la temperatura de los palas,"[<'pa':cV>, <'las':cVs>]"
4,Apia la estrategia de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
5,Apia es la respuesta de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
6,Apia de los países de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
7,Apia de nuestro parte de las especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
8,Apia los países contigo en la emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
9,Apia la deferencia de los palabres,"[<'pa':cV>, <'la':cV>, <'bres':ccVs>]"
10,Apia marcio a la presencia de la salud,"[<'sa':sV>, <'lud':cvc>]"
11,Apia de la temperatura en los palas,"[<'pa':cV>, <'las':cVs>]"
12,Apia los composiciones de la alternción,"[<'al':Vc>, <'ter':cVc>, <'nción':ccvVc>]"
13,Apia desempleación de la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
14,Apia de los países de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
15,Apia consumo en la segunda cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
16,Apia se están de algo que no queríamos,"[<'que':cvV>, <'rí':cV>, <'a':V>, <'mos':cVs>]"
17,Apia para diversidad biológica,"[<'bio':cvV>, <'ló':cV>, <'gi':cv>, <'ca':cV>]"
18,Apia el mercado pero la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
19,Apia la atmósfera de la comporación,"[<'com':cVc>, <'po':cV>, <'ra':cV>, <'ción':cvVc>]"
20,Apia de los países de los patrones,"[<'pa':cV>, <'tro':ccV>, <'nes':cVs>]"
21,Apia en la energía se ha invervadente,"[<'in':vc>, <'ver':cVc>, <'va':cV>, <'den':cVc>, <'te':cV>]"
