,verse,terminacion
0,Arucas ir aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
1,Arucas los países o la alteración,"[<'al':Vc>, <'te':cV>, <'ra':cV>, <'ción':cvVc>]"
2,Arucas si debería la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
3,Arucas los países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
4,Arucas nuestro parte de las especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
5,Arucas en los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
6,Arucas con partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
7,Arucas dicional de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
8,Arucas e las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Arucas la temperatura en los palas,"[<'pa':cV>, <'las':cVs>]"
10,Arucas composiciones de la alternción,"[<'al':Vc>, <'ter':cVc>, <'nción':ccvVc>]"
11,Arucas en un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
12,Arucas márido de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
13,Arucas la temperatura es un siglo,"[<'si':sv>, <'glo':ccV>]"
14,Arucas conterir la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
15,Arucas la contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Arucas la base de la mayor parte,"[<'par':cVc>, <'te':cV>]"
17,Arucas de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
18,Arucas su mara de la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
19,Arucas gustos de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
20,Arucas los países de los patrones,"[<'pa':cV>, <'tro':ccV>, <'nes':cVs>]"
21,Arucas de los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
22,Arucas el especie de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
23,Arucas también en la contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
24,Arucas los correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
25,Arucas gue para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
26,Arucas consecuencia y los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
27,Arucas ricado de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
28,Arucas de la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
29,Arucas de la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
