,verse,terminacion
0,Asunción ir aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
1,Asunción los países o la alteración,"[<'al':Vc>, <'te':cV>, <'ra':cV>, <'ción':cvVc>]"
2,Asunción si debería la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
3,Asunción los países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
4,Asunción nuestro parte de las especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
5,Asunción en los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
6,Asunción con partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
7,Asunción dicional de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
8,Asunción e las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Asunción la temperatura en los palas,"[<'pa':cV>, <'las':cVs>]"
10,Asunción composiciones de la alternción,"[<'al':Vc>, <'ter':cVc>, <'nción':ccvVc>]"
11,Asunción en un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
12,Asunción márido de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
13,Asunción la temperatura es un siglo,"[<'si':sv>, <'glo':ccV>]"
14,Asunción conterir la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
15,Asunción la contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Asunción la base de la mayor parte,"[<'par':cVc>, <'te':cV>]"
17,Asunción de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
18,Asunción su mara de la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
19,Asunción gustos de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
20,Asunción los países de los patrones,"[<'pa':cV>, <'tro':ccV>, <'nes':cVs>]"
21,Asunción de los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
22,Asunción el especie de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
23,Asunción también en la contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
24,Asunción los correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
25,Asunción gue para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
