,verse,terminacion
0,Baldivis del proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Baldivis aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
2,Baldivis países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
3,Baldivis los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
4,Baldivis partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
5,Baldivis de los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
6,Baldivis para marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
7,Baldivis contonce más el peligro,"[<'pe':cV>, <'li':cv>, <'gro':ccV>]"
8,Baldivis las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Baldivis de la biosfera de precios,"[<'pre':ccV>, <'cios':cvVs>]"
10,Baldivis de la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
11,Baldivis sa amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Baldivis a el mismo para la salud,"[<'sa':sV>, <'lud':cvc>]"
13,Baldivis un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
14,Baldivis ndia de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
15,Baldivis el consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
16,Baldivis el calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
17,Baldivis contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
18,Baldivis guardo estado a la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
19,Baldivis a la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
20,Baldivis a la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
21,Baldivis la actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
22,Baldivis es de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
23,Baldivis el aumento del madida,"[<'ma':cV>, <'di':cv>, <'da':cV>]"
