,verse,terminacion
0,Barcelona proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Barcelona aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
2,Barcelona de entre el parto del mismo,"[<'mis':cvs>, <'mo':cV>]"
3,Barcelona los países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
4,Barcelona los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
5,Barcelona la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
6,Barcelona nte de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
7,Barcelona amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
8,Barcelona el mismo para la salud,"[<'sa':sV>, <'lud':cvc>]"
9,Barcelona un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
10,Barcelona márido de la carta,"[<'car':cVc>, <'ta':cV>]"
11,Barcelona un siglo xx estos partes,"[<'par':cVc>, <'tes':cVs>]"
12,Barcelona de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
13,Barcelona consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
14,Barcelona en la segunda cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
15,Barcelona de la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
16,Barcelona calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
17,Barcelona las nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
18,Barcelona la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
19,Barcelona la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
20,Barcelona te de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
21,Barcelona actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
22,Barcelona de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
23,Barcelona ntuad para diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
24,Barcelona el aumento del madida,"[<'ma':cV>, <'di':cv>, <'da':cV>]"
25,Barcelona de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
26,Barcelona compensario a la intersión,"[<'in':vc>, <'ter':cVc>, <'sión':svVc>]"
27,Barcelona carbona en la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
28,Barcelona re en la emisión de todos,"[<'to':cV>, <'dos':cVs>]"
29,Barcelona considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
30,Barcelona al siglo xx los estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
31,Barcelona lo que hay que se viere,"[<'vie':cvV>, <'re':cV>]"
32,Barcelona especie de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
33,Barcelona de cumbre de la ommera,"[<'om':Vc>, <'me':cV>, <'ra':cV>]"
34,Barcelona de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
35,Barcelona los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
36,Barcelona los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
37,Barcelona calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
38,Barcelona permiten de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
39,Barcelona de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
40,Barcelona contribución en la esta,"[<'es':Vs>, <'ta':cV>]"
