,verse,terminacion
0,Beijing permitado en la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
1,Beijing esta mayor política,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'ca':cV>]"
2,Beijing de carbono a la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
3,Beijing problema de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
4,Beijing modelos de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
5,Beijing esta mayor producida,"[<'pro':ccV>, <'du':cv>, <'ci':cv>, <'da':cV>]"
6,Beijing contribución de la propia,"[<'pro':ccV>, <'pia':cvV>]"
7,Beijing carbono en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
8,Beijing menos de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
9,Beijing parte de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
10,Beijing parte de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
11,Beijing mundial de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Beijing contribución de la compra,"[<'com':cVc>, <'pra':ccV>]"
13,Beijing el problema de reducir,"[<'re':cV>, <'du':cv>, <'cir':cvc>]"
14,Beijing mayor parte de la salud,"[<'sa':sV>, <'lud':cvc>]"
15,Beijing estado como la propia,"[<'pro':ccV>, <'pia':cvV>]"
16,Beijing marca de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
17,Beijing mayor en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
18,Beijing climático como el cambio,"[<'cam':cVc>, <'bio':cvV>]"
19,Beijing como el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
20,Beijing producto en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
21,Beijing en la salud de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
22,Beijing marco de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
23,Beijing climático en la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
24,Beijing el cambio climático está,"[<'es':Vs>, <'tá':cV>]"
25,Beijing esta esta mayor producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
26,Beijing marca de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
27,Beijing parte de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
28,Beijing política en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
29,Beijing climática y el cambio,"[<'cam':cVc>, <'bio':cvV>]"
30,Beijing al menos de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
31,Beijing carbono en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
32,Beijing propia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
33,Beijing contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
34,Beijing el cambio climático esta,"[<'es':Vs>, <'ta':cV>]"
35,Beijing estado en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
36,Beijing contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
37,Beijing menos de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
38,Beijing la compra de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
39,Beijing marco de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
40,Beijing la comprar en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
41,Beijing por el contral de la propia,"[<'pro':ccV>, <'pia':cvV>]"
42,Beijing la contrar con la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
43,Beijing permitado de la propia,"[<'pro':ccV>, <'pia':cvV>]"
44,Beijing de la propia climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
45,Beijing para el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
46,Beijing contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
47,Beijing estado en la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
48,Beijing la producción de la compra,"[<'com':cVc>, <'pra':ccV>]"
49,Beijing permitado de la compra,"[<'com':cVc>, <'pra':ccV>]"
50,Beijing parte de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
51,Beijing estado su proporciona,"[<'pro':ccV>, <'por':cVc>, <'cio':cvV>, <'na':cV>]"
52,Beijing la propia de contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
53,Beijing producirá a la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
54,Beijing en las contrabulidades,"[<'con':cVc>, <'tra':ccV>, <'bu':cv>, <'li':cv>, <'da':cV>, <'des':cVs>]"
55,Beijing permitado de la propia,"[<'pro':ccV>, <'pia':cvV>]"
56,Beijing de la propia contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
57,Beijing menos de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
58,Beijing permitado por la propia,"[<'pro':ccV>, <'pia':cvV>]"
59,Beijing a la contra el combustible,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'ble':ccV>]"
60,Beijing parte de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
61,Beijing e la mayor actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
62,Beijing contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
63,Beijing contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
64,Beijing menos precipitaciones,"[<'pre':ccV>, <'ci':cv>, <'pi':cv>, <'ta':cV>, <'cio':cvV>, <'nes':cVs>]"
65,Beijing permita de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
66,Beijing la capa de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
67,Beijing en la propia compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
68,Beijing de contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
69,Beijing estado sobre la propia,"[<'pro':ccV>, <'pia':cvV>]"
70,Beijing menos de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
71,Beijing por el mar en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
72,Beijing permita en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
73,Beijing la producción de la compra,"[<'com':cVc>, <'pra':ccV>]"
74,Beijing contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
75,Beijing permitado de la estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
76,Beijing producido a la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
77,Beijing parte de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
78,Beijing de contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
79,Beijing la contrar la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
80,Beijing comprensión de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
81,Beijing propia con la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
82,Beijing permita en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
83,Beijing por el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
84,Beijing problema de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
85,Beijing estado en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
86,Beijing parte de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
87,Beijing la propia de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
88,Beijing permitado en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
89,Beijing seguir en la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
90,Beijing la estada de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
91,Beijing parte de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
92,Beijing la propia como el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
93,Beijing problema con la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
94,Beijing el contrado de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
95,Beijing carbono que la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
96,Beijing la compromisa de deces,"[<'de':cV>, <'ces':cVs>]"
97,Beijing deces con la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
98,Beijing se producirá en la propia,"[<'pro':ccV>, <'pia':cvV>]"
99,Beijing esta mayor contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
100,Beijing manor en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
101,Beijing estado en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
102,Beijing el mar y la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
103,Beijing modelo de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
104,Beijing la energía necesaria,"[<'ne':cV>, <'ce':cV>, <'sa':sV>, <'ria':cvV>]"
105,Beijing los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
106,Beijing la propia como el estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
107,Beijing a la capa de la compra,"[<'com':cVc>, <'pra':ccV>]"
108,Beijing compromiso de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
109,Beijing carbono y el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
110,Beijing la energía contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
111,Beijing contribución de la compra,"[<'com':cVc>, <'pra':ccV>]"
112,Beijing se esta mayor producida,"[<'pro':ccV>, <'du':cv>, <'ci':cv>, <'da':cV>]"
113,Beijing compromiso de la capa,"[<'ca':cV>, <'pa':cV>]"
114,Beijing producto a las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
115,Beijing la propia de los procesos,"[<'pro':ccV>, <'ce':cV>, <'sos':sVs>]"
116,Beijing estado en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
117,Beijing segundo de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
118,Beijing la comprensión de la propia,"[<'pro':ccV>, <'pia':cvV>]"
119,Beijing permitado en la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
120,Beijing en el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
121,Beijing el cambio climático esta,"[<'es':Vs>, <'ta':cV>]"
122,Beijing parte de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
123,Beijing parte de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
124,Beijing climático en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
