,verse,terminacion
0,Belo Horizonte load libraries,"[<'li':cv>, <'bra':ccV>, <'ries':cvVs>]"
1,Belo Horizonte ### load model,"[<'mo':cV>, <'del':cVc>]"
2,Belo Horizonte nte en la infermedad,"[<'in':vc>, <'fer':cVc>, <'me':cV>, <'dad':cVc>]"
3,Belo Horizonte de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
4,Belo Horizonte si debería,"[<'de':cV>, <'be':cV>, <'rí':cV>, <'a':V>]"
5,Belo Horizonte las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
6,Belo Horizonte la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
7,Belo Horizonte de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
8,Belo Horizonte de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
9,Belo Horizonte de nuestro parte,"[<'par':cVc>, <'te':cV>]"
10,Belo Horizonte de las especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
11,Belo Horizonte la deferencia,"[<'de':cV>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
12,Belo Horizonte de los palabres,"[<'pa':cV>, <'la':cV>, <'bres':ccVs>]"
13,Belo Horizonte los eficientes,"[<'e':V>, <'fi':cv>, <'cien':cvVc>, <'tes':cVs>]"
14,Belo Horizonte más el peligro,"[<'pe':cV>, <'li':cv>, <'gro':ccV>]"
15,Belo Horizonte de la transición,"[<'tran':ccVc>, <'si':sv>, <'ción':cvVc>]"
16,Belo Horizonte composiciones,"[<'com':cVc>, <'po':cV>, <'si':sv>, <'cio':cvV>, <'nes':cVs>]"
17,Belo Horizonte la carta de esta,"[<'es':Vs>, <'ta':cV>]"
18,Belo Horizonte un siglo xx estos,"[<'es':Vs>, <'tos':cVs>]"
19,Belo Horizonte de la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
20,Belo Horizonte como un carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
21,Belo Horizonte de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
22,Belo Horizonte de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
23,Belo Horizonte de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
24,Belo Horizonte calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
25,Belo Horizonte la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
26,Belo Horizonte n su presente,"[<'pre':ccV>, <'sen':sVc>, <'te':cV>]"
27,Belo Horizonte el mercado pero,"[<'pe':cV>, <'ro':cV>]"
28,Belo Horizonte de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
29,Belo Horizonte de los patrones,"[<'pa':cV>, <'tro':ccV>, <'nes':cVs>]"
30,Belo Horizonte de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
31,Belo Horizonte de la respuesta,"[<'res':cVs>, <'pues':cvVs>, <'ta':cV>]"
32,Belo Horizonte través de enfrentir,"[<'en':Vc>, <'fren':ccVc>, <'tir':cvc>]"
33,Belo Horizonte de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
34,Belo Horizonte estado de cumbre,"[<'cum':cvc>, <'bre':ccV>]"
35,Belo Horizonte y los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
36,Belo Horizonte un convenio sobre,"[<'so':sV>, <'bre':ccV>]"
37,Belo Horizonte sobre el proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
