,endecasílabo
0,Belém ir aumento de los países
1,Belém los países o la alteración
2,Belém si debería la estrategia
3,Belém los países de nuestro parte
4,Belém nuestro parte de las especies
5,Belém en los eficientes con partes
6,Belém con partes de la economía
7,Belém dicional de la humanidad
8,Belém e las partes de la biosfera
9,Belém la temperatura en los palas
10,Belém composiciones de la alternción
11,Belém en un forzamiento márido
12,Belém márido de la carta de esta
13,Belém la temperatura es un siglo
14,Belém conterir la desempleación
15,Belém la contribución del proceso
16,Belém la base de la mayor parte
17,Belém de los combustibles fósiles
18,Belém su mara de la seguridad
19,Belém gustos de la emisión de emisión
20,Belém los países de los patrones
21,Belém de los metos de la ingenida
22,Belém el especie de los efectos
23,Belém también en la contaminación
24,Belém los correstos de alternaciones
25,Belém gue para la temperatura
26,Belém consecuencia y los países
27,Belém ricado de la conferencia
28,Belém de la conferencia se pueden
29,Belém de la tierra por un consenso
30,Belém la esta alla y la diversidad
31,Belém de la sonientia con el actual
32,Belém en la aperación de la centra
33,Belém con la reda de la cantidad
34,Belém en los procesos de la inversión
35,Belém estar general del progreso
36,Belém la solidad de la segunda
37,Belém ir el amor con los países
38,Belém la energía no en los dectriales
39,Belém la concentración del proyecto
40,Belém umbre al calentamiento global
41,Belém actividades políticos
42,Belém políticos definitivas
43,Belém con el consumo de un recurso
44,Belém la de la oriente climática
45,Belém en la temperatura medio
46,Belém de los combustibles fósiles
47,Belém ente de la temperatura
48,Belém ente a la seguridad entre
49,Belém de su procisa de emisiones
50,Belém la población de la energía
51,Belém tendrámente en la caleración
52,Belém que se pode para las partes
53,Belém en la cauta de las segundas
54,Belém de calidad y el sistema
55,Belém la mayoría de la forma
56,Belém de la forma de casa informe
57,Belém la emisión de las decisiones
58,Belém aumento del clima en la tierra
59,Belém de las palieras de emisiones
60,Belém energética en el mercado
61,Belém centir a los interseñores
62,Belém de la mayoría del control
63,Belém medio ambiente la concentración
64,Belém bien en el correcionar nuestra
65,Belém de los comparaciones de esta
66,Belém continuación de la población
67,Belém la población de los países
68,Belém por consumidor para estados
69,Belém de la pertida de la tierra
70,Belém las decientes energéticos
71,Belém modelo actual con el contexto
72,Belém esta el mundo con el contexto
73,Belém en el estema de consumo
74,Belém de consumo con el estado
