,verse,terminacion
0,Benin City proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Benin City en la recursosidad,"[<'re':cV>, <'cur':cvc>, <'so':sV>, <'si':sv>, <'dad':cVc>]"
2,Benin City de entre el parto del mismo,"[<'mis':cvs>, <'mo':cV>]"
3,Benin City ural de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
4,Benin City los países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
5,Benin City los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
6,Benin City la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
7,Benin City as en el sistema almo,"[<'al':Vc>, <'mo':cV>]"
8,Benin City nte de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
9,Benin City márido de la carta,"[<'car':cVc>, <'ta':cV>]"
10,Benin City es un siglo xx estos,"[<'es':Vs>, <'tos':cVs>]"
11,Benin City de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
12,Benin City consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
13,Benin City de la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
14,Benin City calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
15,Benin City las nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Benin City la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
17,Benin City la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
18,Benin City te de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
19,Benin City de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
20,Benin City ntuad para diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
21,Benin City es el mercado pero,"[<'pe':cV>, <'ro':cV>]"
22,Benin City de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
23,Benin City es de algunos países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
24,Benin City compensario a la intersión,"[<'in':vc>, <'ter':cVc>, <'sión':svVc>]"
25,Benin City carbona en la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
26,Benin City e la nueva alta al nivel,"[<'ni':cv>, <'vel':cVc>]"
