,verse,terminacion
0,Birmingham del proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Birmingham aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
2,Birmingham países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
3,Birmingham los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
4,Birmingham partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
5,Birmingham de los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
6,Birmingham para marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
7,Birmingham contonce más el peligro,"[<'pe':cV>, <'li':cv>, <'gro':ccV>]"
8,Birmingham las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Birmingham de la biosfera de precios,"[<'pre':ccV>, <'cios':cvVs>]"
10,Birmingham de la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
11,Birmingham sa amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Birmingham a el mismo para la salud,"[<'sa':sV>, <'lud':cvc>]"
13,Birmingham un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
14,Birmingham ndia de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
15,Birmingham el consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
16,Birmingham el calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
17,Birmingham contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
18,Birmingham guardo estado a la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
19,Birmingham a la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
20,Birmingham a la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
21,Birmingham la actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
22,Birmingham es de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
23,Birmingham el aumento del madida,"[<'ma':cV>, <'di':cv>, <'da':cV>]"
24,Birmingham diración de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
25,Birmingham n el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
26,Birmingham me considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
