,endecasílabo
0,Blacktown permitado en la atmósfera
1,Blacktown esta mayor política
2,Blacktown de carbono a la producción
3,Blacktown problema de compromiso
4,Blacktown modelos de compromiso
5,Blacktown esta mayor producida
6,Blacktown contribución de la propia
7,Blacktown carbono en la concentración
8,Blacktown menos de la consecuencia
9,Blacktown parte de la concentración
10,Blacktown parte de la concentración
11,Blacktown mundial de la concentración
12,Blacktown contribución de la compra
13,Blacktown el problema de reducir
14,Blacktown mayor parte de la salud
15,Blacktown estado como la propia
16,Blacktown marca de la concentración
17,Blacktown mayor en la compromisa
18,Blacktown climático como el cambio
19,Blacktown como el cambio climático
20,Blacktown producto en la compromisa
21,Blacktown en la salud de la contrar
22,Blacktown marco de la concentración
23,Blacktown climático en la atmósfera
24,Blacktown el cambio climático está
25,Blacktown esta esta mayor producción
26,Blacktown marca de la concentración
27,Blacktown parte de la contra el cambio
28,Blacktown política en la producción
29,Blacktown climática y el cambio
30,Blacktown al menos de la comprensión
31,Blacktown carbono en la compromisa
32,Blacktown propia de la concentración
33,Blacktown contra el cambio climático
34,Blacktown el cambio climático esta
35,Blacktown estado en la concentración
36,Blacktown contra el cambio climático
37,Blacktown menos de la compromisa
38,Blacktown la compra de compromiso
39,Blacktown marco de la concentración
40,Blacktown la comprar en la producción
41,Blacktown por el contral de la propia
42,Blacktown la contrar con la estrategia
43,Blacktown permitado de la propia
44,Blacktown de la propia climática
45,Blacktown para el cambio climático
46,Blacktown contra el cambio climático
47,Blacktown estado en la consecuencia
48,Blacktown la producción de la compra
49,Blacktown permitado de la compra
50,Blacktown parte de la compromisa
51,Blacktown estado su proporciona
52,Blacktown la propia de contra el cambio
53,Blacktown producirá a la energía
54,Blacktown en las contrabulidades
55,Blacktown permitado de la propia
56,Blacktown de la propia contra el cambio
57,Blacktown menos de la concentración
58,Blacktown permitado por la propia
59,Blacktown a la contra el combustible
60,Blacktown parte de la compromisa
61,Blacktown e la mayor actividad
62,Blacktown contra el cambio climático
63,Blacktown contra el cambio climático
64,Blacktown menos precipitaciones
65,Blacktown permita de la producción
66,Blacktown la capa de compromiso
67,Blacktown en la propia compromiso
68,Blacktown de contra la compromisa
69,Blacktown estado sobre la propia
70,Blacktown menos de la compromisa
71,Blacktown por el mar en la producción
72,Blacktown permita en la compromisa
73,Blacktown la producción de la compra
74,Blacktown contra el cambio climático
75,Blacktown permitado de la estado
76,Blacktown producido a la energía
77,Blacktown parte de la contra el cambio
78,Blacktown de contra la compromisa
79,Blacktown la contrar la compromisa
80,Blacktown comprensión de la producción
81,Blacktown propia con la compromisa
82,Blacktown permita en la compromisa
83,Blacktown por el cambio climático
84,Blacktown problema de la producción
85,Blacktown estado en la concentración
86,Blacktown parte de la compromisa
87,Blacktown la propia de la comprensión
88,Blacktown permitado en la producción
89,Blacktown seguir en la contribución
90,Blacktown la estada de compromiso
91,Blacktown parte de la concentración
92,Blacktown la propia como el problema
93,Blacktown problema con la atmósfera
94,Blacktown el contrado de carbono
95,Blacktown carbono que la comprensión
96,Blacktown la compromisa de deces
97,Blacktown deces con la compromisa
98,Blacktown se producirá en la propia
99,Blacktown esta mayor contra el cambio
100,Blacktown manor en la compromisa
101,Blacktown estado en la compromisa
102,Blacktown el mar y la contra el cambio
103,Blacktown modelo de la producción
104,Blacktown la energía necesaria
105,Blacktown los combustibles fósiles
106,Blacktown la propia como el estado
107,Blacktown a la capa de la compra
108,Blacktown compromiso de carbono
109,Blacktown carbono y el problema
110,Blacktown la energía contra el cambio
111,Blacktown contribución de la compra
