,endecasílabo
0,Bogotá permitado en la atmósfera
1,Bogotá en el proyecto de la tierra
2,Bogotá de carbono a la producción
3,Bogotá problema de compromiso
4,Bogotá modelos de compromiso
5,Bogotá contribución de la propia
6,Bogotá entre el mar de la concentración
7,Bogotá carbono en la concentración
8,Bogotá menos de la consecuencia
9,Bogotá parte de la concentración
10,Bogotá parte de la concentración
11,Bogotá mundial de la concentración
12,Bogotá contribución de la compra
13,Bogotá mayor parte de la salud
14,Bogotá marca de la concentración
15,Bogotá mayor en la compromisa
16,Bogotá climático como el cambio
17,Bogotá como el cambio climático
18,Bogotá producto en la compromisa
19,Bogotá el petróleo y la propia
20,Bogotá marco de la concentración
21,Bogotá climático en la atmósfera
22,Bogotá está contra la compromica
23,Bogotá marca de la concentración
24,Bogotá parte de la contra el cambio
25,Bogotá política en la producción
26,Bogotá climática y el cambio
27,Bogotá carbono en la compromisa
28,Bogotá propia de la concentración
29,Bogotá contra el cambio climático
30,Bogotá contra el cambio climático
31,Bogotá el cambio climático sobre
32,Bogotá menos de la compromisa
33,Bogotá la compra de compromiso
34,Bogotá marco de la concentración
35,Bogotá la comprar en la producción
36,Bogotá por el contral de la propia
37,Bogotá el contral de la propia contra
38,Bogotá en el proceso de la propia
39,Bogotá la contrar con la estrategia
40,Bogotá permitado de la propia
41,Bogotá de la propia climática
42,Bogotá para el cambio climático
43,Bogotá contra el cambio climático
44,Bogotá el cambio climático sobre
45,Bogotá la producción de la compra
46,Bogotá permitado de la compra
47,Bogotá parte de la compromisa
48,Bogotá emisiones de contra el cambio
49,Bogotá la propia de contra el cambio
50,Bogotá producirá a la energía
51,Bogotá el proyecto de la actualidad
52,Bogotá permitado de la propia
53,Bogotá de la propia contra el cambio
54,Bogotá menos de la concentración
55,Bogotá permitado por la propia
56,Bogotá el contrado en la compromisa
57,Bogotá parte de la compromisa
58,Bogotá en la propia de la comprensión
59,Bogotá contra el cambio climático
60,Bogotá contra el cambio climático
61,Bogotá menos precipitaciones
62,Bogotá permita de la producción
63,Bogotá la capa de compromiso
64,Bogotá de contra la compromisa
65,Bogotá menos de la compromisa
66,Bogotá por el mar en la producción
67,Bogotá permita en la compromisa
68,Bogotá la producción de la compra
