,verse,terminacion
0,Brazzaville proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Brazzaville aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
2,Brazzaville de entre el parto del mismo,"[<'mis':cvs>, <'mo':cV>]"
3,Brazzaville los países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
4,Brazzaville los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
5,Brazzaville la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
6,Brazzaville nte de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
7,Brazzaville amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
8,Brazzaville el mismo para la salud,"[<'sa':sV>, <'lud':cvc>]"
9,Brazzaville un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
10,Brazzaville márido de la carta,"[<'car':cVc>, <'ta':cV>]"
11,Brazzaville un siglo xx estos partes,"[<'par':cVc>, <'tes':cVs>]"
12,Brazzaville de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
13,Brazzaville consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
14,Brazzaville en la segunda cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
15,Brazzaville de la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
16,Brazzaville calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
17,Brazzaville las nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
18,Brazzaville la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
19,Brazzaville la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
20,Brazzaville te de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
21,Brazzaville actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
22,Brazzaville de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
23,Brazzaville ntuad para diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
24,Brazzaville el aumento del madida,"[<'ma':cV>, <'di':cv>, <'da':cV>]"
25,Brazzaville de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
26,Brazzaville compensario a la intersión,"[<'in':vc>, <'ter':cVc>, <'sión':svVc>]"
27,Brazzaville carbona en la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
28,Brazzaville re en la emisión de todos,"[<'to':cV>, <'dos':cVs>]"
29,Brazzaville considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
30,Brazzaville al siglo xx los estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
31,Brazzaville lo que hay que se viere,"[<'vie':cvV>, <'re':cV>]"
32,Brazzaville especie de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
33,Brazzaville de cumbre de la ommera,"[<'om':Vc>, <'me':cV>, <'ra':cV>]"
34,Brazzaville de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
35,Brazzaville los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
36,Brazzaville los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
37,Brazzaville calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
38,Brazzaville permiten de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
39,Brazzaville de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
40,Brazzaville contribución en la esta,"[<'es':Vs>, <'ta':cV>]"
41,Brazzaville de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
42,Brazzaville los neoliberales,"[<'ne':cV>, <'o':V>, <'li':cv>, <'be':cV>, <'ra':cV>, <'les':cVs>]"
43,Brazzaville timo en la sopirticad,"[<'so':sV>, <'pir':cvc>, <'ti':cv>, <'cad':cVc>]"
44,Brazzaville general del progreso,"[<'pro':ccV>, <'gre':ccV>, <'so':sV>]"
45,Brazzaville el amor con los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
46,Brazzaville se se puede ser tener,"[<'te':cV>, <'ner':cVc>]"
47,Brazzaville al calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
48,Brazzaville el consumo de un recurso,"[<'re':cV>, <'cur':cvc>, <'so':sV>]"
49,Brazzaville de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
50,Brazzaville s de esta poderpera,"[<'po':cV>, <'der':cVc>, <'pe':cV>, <'ra':cV>]"
51,Brazzaville n las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
52,Brazzaville la lucha de ser alta,"[<'al':Vc>, <'ta':cV>]"
53,Brazzaville a la seguridad entre,"[<'en':Vc>, <'tre':ccV>]"
54,Brazzaville de las temperaturas,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ras':cVs>]"
55,Brazzaville por la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
56,Brazzaville de la forma de casa,"[<'ca':cV>, <'sa':sV>]"
57,Brazzaville consumo de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
58,Brazzaville de emisiones de gases,"[<'ga':cV>, <'ses':sVs>]"
59,Brazzaville se desarrollan casa,"[<'ca':cV>, <'sa':sV>]"
60,Brazzaville para mayor aumento,"[<'au':Vv>, <'men':cVc>, <'to':cV>]"
61,Brazzaville del mar de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
62,Brazzaville consideración para,"[<'pa':cV>, <'ra':cV>]"
63,Brazzaville cuentia de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
64,Brazzaville podría energética,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'ca':cV>]"
65,Brazzaville en el mercado probable,"[<'pro':ccV>, <'ba':cV>, <'ble':ccV>]"
66,Brazzaville las oficinas para,"[<'pa':cV>, <'ra':cV>]"
67,Brazzaville ambiente la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
68,Brazzaville bien en el correcionar,"[<'co':cV>, <'rre':ccV>, <'cio':cvV>, <'nar':cVc>]"
69,Brazzaville en el correcionar nuestra,"[<'nues':cvVs>, <'tra':ccV>]"
