,endecasílabo
0,Brazzaville producto en el proyecto
1,Brazzaville el proyecto de la tierra
2,Brazzaville contra la compromisa
3,Brazzaville carbono a la producción
4,Brazzaville su propia de la propia
5,Brazzaville parte de la producción
6,Brazzaville el mar de la consecuencia
7,Brazzaville problema de reducir
8,Brazzaville como la propia como
9,Brazzaville como la contra el cambio
10,Brazzaville contra la propia contra
11,Brazzaville contra la compromisa
12,Brazzaville la salud de la contrar
13,Brazzaville el sistema climático
14,Brazzaville contra las emisiones
15,Brazzaville emisiones de carbono
16,Brazzaville se producir el cambio
17,Brazzaville cambio climático está
18,Brazzaville climático está contra
19,Brazzaville contrar la concentración
20,Brazzaville contra la compromisa
21,Brazzaville menos de la comprensión
22,Brazzaville sobre la compromisa
23,Brazzaville ser en la compromiso
24,Brazzaville permitado en la propia
25,Brazzaville contra las emisiones
26,Brazzaville emisiones de carbono
27,Brazzaville el cambio climático esta
28,Brazzaville problema de la comprar
29,Brazzaville en el contrado en el cambio
30,Brazzaville el proceso de la propia
31,Brazzaville contrar con la estrategia
32,Brazzaville la cual con la producción
33,Brazzaville la propia climática
34,Brazzaville permitan para el cambio
35,Brazzaville de carbono a la propia
36,Brazzaville sobre la economía
37,Brazzaville sobre la capacidad
38,Brazzaville producción de la compra
39,Brazzaville de la compra de cambio
40,Brazzaville permitado en la propia
41,Brazzaville propia de contra el cambio
42,Brazzaville producto de la contrar
43,Brazzaville las contrabulidades
44,Brazzaville parte de la producción
45,Brazzaville climático es la propia
46,Brazzaville la propia contra el cambio
47,Brazzaville contra la compromisa
48,Brazzaville medio de la demanda
49,Brazzaville la contra el combustible
50,Brazzaville la mayor actividad
51,Brazzaville permitado en la propia
52,Brazzaville de la temperatura
53,Brazzaville parte de la producción
54,Brazzaville de las contribuciones
55,Brazzaville capa de compromiso
56,Brazzaville la propia compromiso
57,Brazzaville compromiso de contra
58,Brazzaville contra la compromisa
59,Brazzaville producción de la compra
60,Brazzaville de carbono a la propia
61,Brazzaville a la propia de carbono
62,Brazzaville contra la concentración
63,Brazzaville contrar la compromisa
64,Brazzaville la largo de la propia
65,Brazzaville mayor posibilidad
66,Brazzaville promedio de la compra
67,Brazzaville de la temperatura
68,Brazzaville ser de la concentración
69,Brazzaville climático es un cambio
70,Brazzaville contra la compromisa
71,Brazzaville contrado de carbono
72,Brazzaville producirá en la propia
73,Brazzaville la energía en la propia
74,Brazzaville el mar y la contra el cambio
75,Brazzaville energía necesaria
76,Brazzaville la capa de la compra
77,Brazzaville la cual es el sistema
78,Brazzaville energía contra el cambio
79,Brazzaville esta mayor producida
80,Brazzaville mar en la compromisa
81,Brazzaville contra la compromisa
82,Brazzaville propia de los procesos
83,Brazzaville de la temperatura
84,Brazzaville en el cambio climático
85,Brazzaville de la compra de cambio
86,Brazzaville cambio climático esta
87,Brazzaville contra la compromisa
88,Brazzaville de la temperatura
89,Brazzaville permitado en la propia
90,Brazzaville contra las emisiones
91,Brazzaville una vez más de la contrar
92,Brazzaville la propia contra el cambio
93,Brazzaville menos de contra el cambio
94,Brazzaville permitado en la cumbre
95,Brazzaville la compra de consumo
96,Brazzaville compromisa de cambio
97,Brazzaville de cambio climático
98,Brazzaville contra la compromiso
99,Brazzaville marco de la secuedad
100,Brazzaville contra la compromisa
101,Brazzaville estado de la comprensión
102,Brazzaville desarrollar la estada
103,Brazzaville contra la compromisa
104,Brazzaville mantenimiento sobre
105,Brazzaville compromiso de todo
106,Brazzaville todo la contra el cambio
107,Brazzaville de la temperatura
108,Brazzaville comprensión de la compra
109,Brazzaville producción de la compra
110,Brazzaville entre el cambio climático
111,Brazzaville compromiso de contra
112,Brazzaville parte de los países
113,Brazzaville contra las emisiones
114,Brazzaville emisiones de carbono
115,Brazzaville climático establecir
116,Brazzaville producción de la mayor
117,Brazzaville de la mayor producción
118,Brazzaville en el cambio climático
119,Brazzaville contra la compromisa
120,Brazzaville la capa de la contrar
121,Brazzaville el mar de la contribución
122,Brazzaville a el desarrollo sontente
123,Brazzaville compromiso de carbón
124,Brazzaville emisiones de carbono
125,Brazzaville parte de la producción
126,Brazzaville de la energía contra
127,Brazzaville contra la concentración
128,Brazzaville estado de la comprensión
129,Brazzaville mar de la contribución
130,Brazzaville un contrado en el contexto
131,Brazzaville en la compromisa central
132,Brazzaville el que producir el cambio
133,Brazzaville compromiso en la ciencia
134,Brazzaville en la ciencia de la contrar
135,Brazzaville el cambio climático esta
136,Brazzaville se producir el cambio
137,Brazzaville la contrar los contrales
138,Brazzaville el consumo de carbono
139,Brazzaville carbono en la atmósfera
140,Brazzaville la esta a la concentración
141,Brazzaville permitado en la propia
142,Brazzaville metos las emisiones
143,Brazzaville producido en la propia
144,Brazzaville en la propia contra el cambio
145,Brazzaville energía para el cambio
146,Brazzaville contra la concentración
147,Brazzaville producto a la producción
148,Brazzaville el calentamiento global
149,Brazzaville contra la compromisa
150,Brazzaville carbono a la producción
151,Brazzaville contra la concentración
152,Brazzaville contra la compromisa
153,Brazzaville contra la contra el cambio
154,Brazzaville contrado en la comprensión
155,Brazzaville segundo las mayores
156,Brazzaville las mayores producción
157,Brazzaville contra la compromisa
158,Brazzaville en el cambio climático
159,Brazzaville el cambio climático esta
160,Brazzaville problema de la propia
161,Brazzaville la propia como contra
162,Brazzaville contra la diversidad
163,Brazzaville parte de la producción
164,Brazzaville contra la contra el cambio
165,Brazzaville contra las emisiones
166,Brazzaville emisiones de carbono
167,Brazzaville carbono de la propia
168,Brazzaville con la propia de cambio
169,Brazzaville desarrollar el cambio
170,Brazzaville climático en el cambio
171,Brazzaville contra la compromisa
172,Brazzaville el mercado de la contrar
173,Brazzaville ser seguir en el cambio
174,Brazzaville contra la capacidad
175,Brazzaville la propia contra el cambio
176,Brazzaville contra la diversidad
177,Brazzaville se prevenda a la propia
178,Brazzaville contra la concentración
179,Brazzaville la compromisa contra
180,Brazzaville contra la concentración
181,Brazzaville propia en la compromisa
182,Brazzaville la propia contra el cambio
183,Brazzaville cambio climático esta
184,Brazzaville esta puede a la estratora
185,Brazzaville contra la concentración
186,Brazzaville intersidad biológica
187,Brazzaville contra la compromisa
188,Brazzaville climático es de arrollo
189,Brazzaville contra las emisiones
190,Brazzaville emisiones de carbono
191,Brazzaville la contrar la contración
192,Brazzaville el mar de la contra el cambio
193,Brazzaville la propia de consumo
194,Brazzaville contra la concentración
195,Brazzaville contra la compromisa
196,Brazzaville contra la contribución
197,Brazzaville el mar de la concentración
198,Brazzaville carbono y la contrar
199,Brazzaville contra la contrabución
200,Brazzaville problema de la compra
201,Brazzaville contra la consecuencia
202,Brazzaville de la estada de la esta
203,Brazzaville de la temperatura
204,Brazzaville energía necesaria
205,Brazzaville contra la compromisa
206,Brazzaville en el cambio climático
207,Brazzaville el cambio climático esta
208,Brazzaville producido en la contral
209,Brazzaville segundo particular
210,Brazzaville particular el cambio
211,Brazzaville la compra de la propia
212,Brazzaville en la propia como el cambio
213,Brazzaville se han estableciente
214,Brazzaville contra la compromisa
215,Brazzaville compromiso de un medio
216,Brazzaville sobre la compromisa
217,Brazzaville sobre la compromisa
218,Brazzaville contra la compromisa
219,Brazzaville de la temperatura
220,Brazzaville menos de la estratoral
221,Brazzaville producido en la propia
222,Brazzaville producción de la propia
223,Brazzaville parte de la comprención
224,Brazzaville contra la compromiso
225,Brazzaville carbono y la propia
