,endecasílabo
0,Brooklyn proyecto la actividad
1,Brooklyn en la recursosidad
2,Brooklyn de entre el parto del mismo
3,Brooklyn ural de los países
4,Brooklyn los países de nuestro
5,Brooklyn los s en el carbono
6,Brooklyn la alternción de la salud
7,Brooklyn as en el sistema almo
8,Brooklyn nte de la comperación
9,Brooklyn márido de la carta
10,Brooklyn es un siglo xx estos
11,Brooklyn de las concentraciones
12,Brooklyn consumo en la segunda
13,Brooklyn de la función de carbón
14,Brooklyn calentamiento mientras
15,Brooklyn las nubes del proceso
16,Brooklyn la base de la mayor
17,Brooklyn la mituda en la unfcca
18,Brooklyn te de los combustibles
19,Brooklyn de algunos importantes
20,Brooklyn ntuad para diversidad
21,Brooklyn es el mercado pero
22,Brooklyn de la emisión de emisión
23,Brooklyn es de algunos países
24,Brooklyn compensario a la intersión
25,Brooklyn carbona en la energía
26,Brooklyn e la nueva alta al nivel
27,Brooklyn en la inercia de efectos
28,Brooklyn re en la emisión de todos
29,Brooklyn el que debe el mercado
30,Brooklyn considerable al siglo
31,Brooklyn lo que hay que se viere
32,Brooklyn el estado de cumbre
33,Brooklyn de cumbre de la ommera
34,Brooklyn en la contaminación
35,Brooklyn de las concentraciones
36,Brooklyn los países de efectos
37,Brooklyn los periodos de calor
38,Brooklyn calor de los países
39,Brooklyn e medidas permiten
40,Brooklyn permiten de la tierra
41,Brooklyn de la temperatura
42,Brooklyn contribución en la esta
43,Brooklyn de la temperatura
44,Brooklyn los neoliberales
45,Brooklyn io de la contribución
46,Brooklyn timo en la sopirticad
47,Brooklyn general del progreso
48,Brooklyn se se puede ser tener
49,Brooklyn umbre al calentamiento
50,Brooklyn ado de la sociedad
51,Brooklyn en la temperatura
52,Brooklyn de la temperatura
53,Brooklyn s de esta poderpera
54,Brooklyn n las concentraciones
55,Brooklyn la lucha de ser alta
56,Brooklyn el paso de la guerra
57,Brooklyn ente a la seguridad
58,Brooklyn de las temperaturas
59,Brooklyn ición de su procisa
60,Brooklyn por la temperatura
61,Brooklyn e que se pode para
62,Brooklyn a un forzamiento también
63,Brooklyn de la forma de casa
64,Brooklyn consumo de emisiones
65,Brooklyn de emisiones de gases
66,Brooklyn se desarrollan casa
67,Brooklyn e a mucha marca descual
68,Brooklyn para mayor aumento
69,Brooklyn del mar de los países
70,Brooklyn consideración para
71,Brooklyn inda de las palieras
72,Brooklyn cuentia de la producción
73,Brooklyn podría energética
74,Brooklyn a los interseñores
75,Brooklyn las oficinas para
76,Brooklyn bien en el correcionar
77,Brooklyn de los comparaciones
78,Brooklyn comparaciones de esta
79,Brooklyn por consumidor para
80,Brooklyn siglo xx que los partes
81,Brooklyn los combustibles fueron
82,Brooklyn entarión de las pautas
83,Brooklyn las pautas de emisiones
84,Brooklyn energéticos entre
85,Brooklyn puede ser concentración
86,Brooklyn concentración del caso
87,Brooklyn se se contenta el marco
88,Brooklyn así como un problema
89,Brooklyn s de la contratuira
90,Brooklyn consecuencia del clima
91,Brooklyn del clima de modelos
92,Brooklyn aumento del problema
93,Brooklyn primer calentamiento
94,Brooklyn calentamiento global
95,Brooklyn global de la estudida
96,Brooklyn ientia de la previsión
97,Brooklyn e de la conferencia
98,Brooklyn la tierra y contención
99,Brooklyn contención de los partes
100,Brooklyn ente de la actividad
101,Brooklyn de las gases de efecto
102,Brooklyn mente de la población
103,Brooklyn de la población están
104,Brooklyn previsión de los medios
105,Brooklyn carbono e internacional
106,Brooklyn problema de emisiones
107,Brooklyn del gas de los altimos
108,Brooklyn de los altimos o antes
109,Brooklyn ico de los alternos
110,Brooklyn los alternos de especies
111,Brooklyn idente en los países
112,Brooklyn es puedo estar la salud
113,Brooklyn ente de los efectos
114,Brooklyn el estado por algo
115,Brooklyn con el calentamiento
116,Brooklyn s pueden el mercado
117,Brooklyn el mercado que el amor
118,Brooklyn ima de la segunda
119,Brooklyn de las países para
120,Brooklyn que el impacto de un clima
121,Brooklyn de la temperatura
122,Brooklyn producto a los estados
123,Brooklyn despertar lo que es una
124,Brooklyn a de los combustibles
125,Brooklyn de las concentraciones
126,Brooklyn cial en los retroposos
127,Brooklyn del principal responsar
128,Brooklyn tiempo la mayor parte
129,Brooklyn e partir del problema
130,Brooklyn del problema del medio
131,Brooklyn en la temperatura
132,Brooklyn del nivel del mar de estos
133,Brooklyn a la precisión para
134,Brooklyn esta de los periodos
135,Brooklyn los periodos del pauso
136,Brooklyn del pauso medio ambiente
137,Brooklyn medidas por la emisión
138,Brooklyn intencia de agua tantos
139,Brooklyn los países previstos
140,Brooklyn procesos que permitan
141,Brooklyn los efectos fósiles
142,Brooklyn del mar soda este tiempo
143,Brooklyn de los economistas
144,Brooklyn o continua el distinto
145,Brooklyn en crecimiento sobre
146,Brooklyn sobre la diversidad
147,Brooklyn gran pera de los solor
148,Brooklyn los solor por el carbón
149,Brooklyn calentamiento global
150,Brooklyn bar de la concentración
151,Brooklyn de la segunda escala
152,Brooklyn el amor de la capa
153,Brooklyn interecificación
154,Brooklyn cuenta a los paleares
155,Brooklyn de la ieversidad dio esta
156,Brooklyn que el consumo en la mayor
157,Brooklyn de calar el informe
158,Brooklyn el informe del nivel
159,Brooklyn la energía nuclear
160,Brooklyn ivo de la estrategia
161,Brooklyn nada ha muy difícil
162,Brooklyn de la alta a la antórica
163,Brooklyn e de la conferencia
164,Brooklyn consecuencia del poder
165,Brooklyn del poder de los partes
166,Brooklyn gei y el consecuencia
167,Brooklyn de la cumbre del clima
168,Brooklyn la cumbre del clima este
169,Brooklyn por esta consecuencia
170,Brooklyn de la segunda parte
171,Brooklyn ar se pueden recursos
172,Brooklyn el carbono e intensidad
173,Brooklyn a menos del problema
174,Brooklyn la cupación al madio
