,verse,terminacion
0,Brooklyn producto en el proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
1,Brooklyn contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
2,Brooklyn carbono a la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
3,Brooklyn en el temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
4,Brooklyn su propia de la propia,"[<'pro':ccV>, <'pia':cvV>]"
5,Brooklyn el mar se desarrolla,"[<'de':cV>, <'sa':sV>, <'rro':ccV>, <'lla':ccV>]"
6,Brooklyn parte de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
7,Brooklyn alto de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
8,Brooklyn problema de reducir,"[<'re':cV>, <'du':cv>, <'cir':cvc>]"
9,Brooklyn estado a los procesos,"[<'pro':ccV>, <'ce':cV>, <'sos':sVs>]"
10,Brooklyn como la propia como,"[<'co':cV>, <'mo':cV>]"
11,Brooklyn como la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
12,Brooklyn contra la propia contra,"[<'con':cVc>, <'tra':ccV>]"
13,Brooklyn el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
14,Brooklyn el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
15,Brooklyn contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
16,Brooklyn la salud de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
17,Brooklyn contra las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
18,Brooklyn se producir el cambio,"[<'cam':cVc>, <'bio':cvV>]"
19,Brooklyn el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
20,Brooklyn cambio climático está,"[<'es':Vs>, <'tá':cV>]"
21,Brooklyn climático está contra,"[<'con':cVc>, <'tra':ccV>]"
22,Brooklyn contrar la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
23,Brooklyn contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
24,Brooklyn menos de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
25,Brooklyn sobre la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
26,Brooklyn ser en la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
27,Brooklyn permitado en la propia,"[<'pro':ccV>, <'pia':cvV>]"
28,Brooklyn contra las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
29,Brooklyn estado contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
30,Brooklyn el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
31,Brooklyn problema de la comprar,"[<'com':cVc>, <'prar':ccVc>]"
32,Brooklyn el contral de la propia,"[<'pro':ccV>, <'pia':cvV>]"
33,Brooklyn estado en el proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
34,Brooklyn contrar con la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
35,Brooklyn la cual con la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
36,Brooklyn la propia climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
37,Brooklyn estado en la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
38,Brooklyn permitan para el cambio,"[<'cam':cVc>, <'bio':cvV>]"
39,Brooklyn de carbono a la propia,"[<'pro':ccV>, <'pia':cvV>]"
40,Brooklyn el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
41,Brooklyn sobre la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
42,Brooklyn sobre la capacidad,"[<'ca':cV>, <'pa':cV>, <'ci':cv>, <'dad':cVc>]"
43,Brooklyn producción de la compra,"[<'com':cVc>, <'pra':ccV>]"
44,Brooklyn de la compra de cambio,"[<'cam':cVc>, <'bio':cvV>]"
45,Brooklyn permitado en la propia,"[<'pro':ccV>, <'pia':cvV>]"
46,Brooklyn propia de contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
47,Brooklyn producto de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
48,Brooklyn las contrabulidades,"[<'con':cVc>, <'tra':ccV>, <'bu':cv>, <'li':cv>, <'da':cV>, <'des':cVs>]"
49,Brooklyn es de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
50,Brooklyn parte de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
51,Brooklyn climático es la propia,"[<'pro':ccV>, <'pia':cvV>]"
52,Brooklyn la propia contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
53,Brooklyn en el temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
54,Brooklyn estado se producir,"[<'pro':ccV>, <'du':cv>, <'cir':cvc>]"
55,Brooklyn el contrado en la propia,"[<'pro':ccV>, <'pia':cvV>]"
56,Brooklyn contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
57,Brooklyn medio de la demanda,"[<'de':cV>, <'man':cVc>, <'da':cV>]"
58,Brooklyn la contra el combustible,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'ble':ccV>]"
59,Brooklyn es proceso de cambio,"[<'cam':cVc>, <'bio':cvV>]"
60,Brooklyn la mayor actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
61,Brooklyn permitado en la propia,"[<'pro':ccV>, <'pia':cvV>]"
62,Brooklyn a la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
63,Brooklyn de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
64,Brooklyn parte de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
65,Brooklyn de las contribuciones,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'cio':cvV>, <'nes':cVs>]"
66,Brooklyn capa de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
67,Brooklyn la propia compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
68,Brooklyn compromiso de contra,"[<'con':cVc>, <'tra':ccV>]"
69,Brooklyn contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
70,Brooklyn el mar en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
71,Brooklyn producción de la compra,"[<'com':cVc>, <'pra':ccV>]"
72,Brooklyn de carbono a la propia,"[<'pro':ccV>, <'pia':cvV>]"
