,endecasílabo
0,Bunbury permitado en la atmósfera
1,Bunbury esta mayor política
2,Bunbury de carbono a la producción
3,Bunbury problema de compromiso
4,Bunbury modelos de compromiso
5,Bunbury esta mayor producida
6,Bunbury contribución de la propia
7,Bunbury carbono en la concentración
8,Bunbury menos de la consecuencia
9,Bunbury parte de la concentración
10,Bunbury parte de la concentración
11,Bunbury mundial de la concentración
12,Bunbury contribución de la compra
13,Bunbury el problema de reducir
14,Bunbury mayor parte de la salud
15,Bunbury estado como la propia
16,Bunbury marca de la concentración
17,Bunbury mayor en la compromisa
18,Bunbury climático como el cambio
19,Bunbury como el cambio climático
20,Bunbury producto en la compromisa
21,Bunbury en la salud de la contrar
22,Bunbury marco de la concentración
23,Bunbury climático en la atmósfera
24,Bunbury el cambio climático está
25,Bunbury esta esta mayor producción
26,Bunbury marca de la concentración
27,Bunbury parte de la contra el cambio
28,Bunbury política en la producción
29,Bunbury climática y el cambio
30,Bunbury al menos de la comprensión
31,Bunbury carbono en la compromisa
32,Bunbury propia de la concentración
33,Bunbury contra el cambio climático
34,Bunbury el cambio climático esta
35,Bunbury estado en la concentración
36,Bunbury contra el cambio climático
37,Bunbury menos de la compromisa
38,Bunbury la compra de compromiso
39,Bunbury marco de la concentración
40,Bunbury la comprar en la producción
41,Bunbury por el contral de la propia
42,Bunbury la contrar con la estrategia
43,Bunbury permitado de la propia
44,Bunbury de la propia climática
45,Bunbury para el cambio climático
46,Bunbury contra el cambio climático
47,Bunbury estado en la consecuencia
48,Bunbury la producción de la compra
49,Bunbury permitado de la compra
50,Bunbury parte de la compromisa
51,Bunbury estado su proporciona
52,Bunbury la propia de contra el cambio
53,Bunbury producirá a la energía
54,Bunbury en las contrabulidades
55,Bunbury permitado de la propia
56,Bunbury de la propia contra el cambio
57,Bunbury menos de la concentración
58,Bunbury permitado por la propia
59,Bunbury a la contra el combustible
60,Bunbury parte de la compromisa
61,Bunbury e la mayor actividad
62,Bunbury contra el cambio climático
63,Bunbury contra el cambio climático
64,Bunbury menos precipitaciones
65,Bunbury permita de la producción
66,Bunbury la capa de compromiso
67,Bunbury en la propia compromiso
68,Bunbury de contra la compromisa
69,Bunbury estado sobre la propia
70,Bunbury menos de la compromisa
71,Bunbury por el mar en la producción
72,Bunbury permita en la compromisa
73,Bunbury la producción de la compra
74,Bunbury contra el cambio climático
75,Bunbury permitado de la estado
76,Bunbury producido a la energía
77,Bunbury parte de la contra el cambio
78,Bunbury de contra la compromisa
79,Bunbury la contrar la compromisa
80,Bunbury comprensión de la producción
81,Bunbury propia con la compromisa
82,Bunbury permita en la compromisa
83,Bunbury por el cambio climático
84,Bunbury problema de la producción
85,Bunbury estado en la concentración
86,Bunbury parte de la compromisa
87,Bunbury la propia de la comprensión
88,Bunbury permitado en la producción
89,Bunbury seguir en la contribución
90,Bunbury la estada de compromiso
91,Bunbury parte de la concentración
92,Bunbury la propia como el problema
93,Bunbury problema con la atmósfera
94,Bunbury el contrado de carbono
95,Bunbury carbono que la comprensión
96,Bunbury la compromisa de deces
97,Bunbury deces con la compromisa
98,Bunbury se producirá en la propia
99,Bunbury esta mayor contra el cambio
100,Bunbury manor en la compromisa
101,Bunbury estado en la compromisa
102,Bunbury el mar y la contra el cambio
103,Bunbury modelo de la producción
104,Bunbury la energía necesaria
105,Bunbury los combustibles fósiles
106,Bunbury la propia como el estado
107,Bunbury a la capa de la compra
108,Bunbury compromiso de carbono
109,Bunbury carbono y el problema
110,Bunbury la energía contra el cambio
111,Bunbury contribución de la compra
112,Bunbury se esta mayor producida
113,Bunbury compromiso de la capa
114,Bunbury producto a las emisiones
115,Bunbury la propia de los procesos
116,Bunbury estado en la concentración
117,Bunbury segundo de la producción
118,Bunbury la comprensión de la propia
119,Bunbury permitado en la comprensión
120,Bunbury en el cambio climático
121,Bunbury el cambio climático esta
122,Bunbury parte de la concentración
123,Bunbury parte de la compromisa
124,Bunbury climático en la producción
125,Bunbury parte de la compromisa
126,Bunbury la producción de la compra
127,Bunbury la compra de la producción
128,Bunbury menos de la compromisa
129,Bunbury una vez más de la contrar
130,Bunbury marco de la concentración
131,Bunbury menos en la concentración
132,Bunbury ser estado a la producción
133,Bunbury contra el cambio climático
134,Bunbury los procesos de carbono
135,Bunbury seguridad establecir
136,Bunbury parte de la contribución
137,Bunbury parte de la compromisa
138,Bunbury a la propia contra el cambio
139,Bunbury consecuencia de la contrar
140,Bunbury la contrar la compromisa
141,Bunbury la compra de la estructura
142,Bunbury contra el cambio climático
143,Bunbury de la compra de consumo
144,Bunbury la compromisa de cambio
145,Bunbury por el cambio climático
146,Bunbury permitado en el promedio
147,Bunbury la estado de la comprensión
148,Bunbury estado se desarrollar
149,Bunbury se desarrollar la estada
150,Bunbury mercado de la energía
151,Bunbury estado en la contribución
152,Bunbury carbono en la compromisa
153,Bunbury menos de la concentración
154,Bunbury permitado en la producción
155,Bunbury contración de la producción
156,Bunbury de todo la contra el cambio
157,Bunbury menos de la concentración
158,Bunbury estado en la compromisa
159,Bunbury contra el cambio climático
160,Bunbury la comprensión de la compra
161,Bunbury la producción de la compra
162,Bunbury parte de la concentración
163,Bunbury menos de la concentración
164,Bunbury proceso de esta producción
165,Bunbury proceso de compromiso
166,Bunbury sin embargo se producir
167,Bunbury contra el mar en la atmósfera
168,Bunbury de compromiso de contra
169,Bunbury contra la temperatura
170,Bunbury menos de la concentración
171,Bunbury carbono que los países
172,Bunbury la producción de la mayor
173,Bunbury problema de la producción
174,Bunbury de compromiso de contra
175,Bunbury menos de la contribución
176,Bunbury por el cambio climático
177,Bunbury climático y la propia
178,Bunbury de compromiso de carbón
179,Bunbury carbono en la compromisa
180,Bunbury permitado de la tierra
181,Bunbury emisiones de carbono
182,Bunbury carbono por un problema
183,Bunbury estado en la contra el cambio
184,Bunbury de combustibles fósiles
185,Bunbury producto en la concentración
186,Bunbury proceso de compromiso
187,Bunbury esta mayor producida
188,Bunbury estado en la compromisa
189,Bunbury contra el cambio climático
190,Bunbury medida de compromiso
191,Bunbury la estado de la comprensión
192,Bunbury parte de la comprendencia
193,Bunbury estado en la concentración
194,Bunbury el mar de la contribución
195,Bunbury la comprensión de la compra
196,Bunbury de la compra de carbono
197,Bunbury proceso de compromiso
198,Bunbury estado con la atmósfera
199,Bunbury estado se desarrollar
200,Bunbury desarrollar el problema
201,Bunbury un contrado en el contexto
202,Bunbury compromiso de la contrar
203,Bunbury la compromisa de cambio
204,Bunbury estado en la concentración
205,Bunbury estado de contra el cambio
206,Bunbury el que producir el cambio
207,Bunbury en la ciencia de la contrar
208,Bunbury contra el cambio climático
209,Bunbury el cambio climático esta
210,Bunbury en la contrar los contrales
211,Bunbury segundo contra la propia
212,Bunbury actual de la contra el cambio
213,Bunbury la propia de compromiso
214,Bunbury la propia de compromiso
215,Bunbury compromiso de la compra
216,Bunbury de carbono en la atmósfera
217,Bunbury menos en la contribución
218,Bunbury menos en las emisiones
219,Bunbury carbono en la compromisa
220,Bunbury ento de la consecuencia
221,Bunbury ser producido en la propia
222,Bunbury en la propia contra el cambio
223,Bunbury la energía para el cambio
224,Bunbury parte de la concentración
225,Bunbury el calentamiento global
226,Bunbury de carbono a la producción
227,Bunbury de compromiso de cambio
228,Bunbury tendría en la consecuencia
229,Bunbury consecuencia de la contrar
230,Bunbury la contrar la concentración
231,Bunbury de contra la contra el cambio
232,Bunbury al contrado en la comprensión
233,Bunbury e en el cambio climático
234,Bunbury de la propia como contra
235,Bunbury producto en la contra el cambio
236,Bunbury productos de la producción
237,Bunbury propio con la concentración
238,Bunbury estado en la compromisa
239,Bunbury de carbono de la propia
240,Bunbury estado en la compromisa
241,Bunbury marca de la concentración
242,Bunbury producción de la producción
243,Bunbury contra la compromicado
244,Bunbury la producción de la compra
245,Bunbury países de contra el cambio
246,Bunbury se desarrollar el cambio
247,Bunbury problema de compromiso
248,Bunbury medida de la intersidad
249,Bunbury conjunto de compromiso
250,Bunbury la producción de la compra
251,Bunbury estado en la concentración
252,Bunbury consecuencia de la compren
253,Bunbury la compren de consecuencia
254,Bunbury estado de la comprensión
255,Bunbury estado en la concentración
256,Bunbury parte de la contribución
257,Bunbury contra el cambio climático
258,Bunbury compromiso de la mayor
259,Bunbury a la propia contra el cambio
260,Bunbury en la compromisa contra
261,Bunbury secuedad de la atmósfera
262,Bunbury la mayor por la producción
263,Bunbury la producción de la compra
264,Bunbury estado de compromiso
265,Bunbury la propia en la compromisa
266,Bunbury contra el cambio climático
267,Bunbury estado en la conferencia
268,Bunbury estados de contra el cambio
269,Bunbury la demanda de la propia
270,Bunbury de la propia contra el cambio
271,Bunbury el cambio climático esta
272,Bunbury contra el cambio climático
273,Bunbury la intersidad biológica
274,Bunbury la compromisa continuar
275,Bunbury de la contrar la contración
276,Bunbury estado se desarrollar
277,Bunbury parte de la compromisa
278,Bunbury estado en la concentración
279,Bunbury contra el cambio climático
280,Bunbury contra el cambio climático
281,Bunbury en la propia de consumo
282,Bunbury parte de la contra el cambio
283,Bunbury permitado en el consumo
284,Bunbury estado se desarrollar
285,Bunbury parte de la contra el cambio
286,Bunbury menos de la concentración
287,Bunbury el mar de la concentración
288,Bunbury amplia de la compromisa
289,Bunbury de carbono y la contrar
290,Bunbury estado en la compromisa
291,Bunbury compromiso de la propia
292,Bunbury la energía necesaria
293,Bunbury carbono a la compromisa
294,Bunbury ser producido en la contral
295,Bunbury estado de los países
296,Bunbury parte de la concentración
297,Bunbury compra de la propia como
298,Bunbury en el contrado en la propia
