,verse,terminacion
0,Bundaberg producto en el proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
1,Bundaberg contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
2,Bundaberg carbono a la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
3,Bundaberg en el temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
4,Bundaberg su propia de la propia,"[<'pro':ccV>, <'pia':cvV>]"
5,Bundaberg el mar se desarrolla,"[<'de':cV>, <'sa':sV>, <'rro':ccV>, <'lla':ccV>]"
6,Bundaberg parte de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
7,Bundaberg alto de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
8,Bundaberg problema de reducir,"[<'re':cV>, <'du':cv>, <'cir':cvc>]"
9,Bundaberg estado a los procesos,"[<'pro':ccV>, <'ce':cV>, <'sos':sVs>]"
10,Bundaberg como la propia como,"[<'co':cV>, <'mo':cV>]"
11,Bundaberg como la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
12,Bundaberg contra la propia contra,"[<'con':cVc>, <'tra':ccV>]"
13,Bundaberg el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
14,Bundaberg el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
15,Bundaberg contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
16,Bundaberg la salud de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
17,Bundaberg contra las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
18,Bundaberg se producir el cambio,"[<'cam':cVc>, <'bio':cvV>]"
19,Bundaberg el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
20,Bundaberg cambio climático está,"[<'es':Vs>, <'tá':cV>]"
21,Bundaberg climático está contra,"[<'con':cVc>, <'tra':ccV>]"
22,Bundaberg contrar la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
23,Bundaberg contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
24,Bundaberg menos de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
25,Bundaberg sobre la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
26,Bundaberg ser en la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
27,Bundaberg permitado en la propia,"[<'pro':ccV>, <'pia':cvV>]"
28,Bundaberg contra las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
29,Bundaberg estado contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
30,Bundaberg el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
31,Bundaberg problema de la comprar,"[<'com':cVc>, <'prar':ccVc>]"
32,Bundaberg el contral de la propia,"[<'pro':ccV>, <'pia':cvV>]"
33,Bundaberg estado en el proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
34,Bundaberg contrar con la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
35,Bundaberg la cual con la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
36,Bundaberg la propia climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
37,Bundaberg estado en la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
38,Bundaberg permitan para el cambio,"[<'cam':cVc>, <'bio':cvV>]"
39,Bundaberg de carbono a la propia,"[<'pro':ccV>, <'pia':cvV>]"
40,Bundaberg el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
41,Bundaberg sobre la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
42,Bundaberg sobre la capacidad,"[<'ca':cV>, <'pa':cV>, <'ci':cv>, <'dad':cVc>]"
43,Bundaberg producción de la compra,"[<'com':cVc>, <'pra':ccV>]"
44,Bundaberg de la compra de cambio,"[<'cam':cVc>, <'bio':cvV>]"
45,Bundaberg permitado en la propia,"[<'pro':ccV>, <'pia':cvV>]"
46,Bundaberg propia de contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
