,verse,terminacion
0,Cairns ir aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
1,Cairns los países o la alteración,"[<'al':Vc>, <'te':cV>, <'ra':cV>, <'ción':cvVc>]"
2,Cairns si debería la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
3,Cairns los países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
4,Cairns nuestro parte de las especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
5,Cairns en los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
6,Cairns con partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
7,Cairns dicional de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
8,Cairns e las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Cairns la temperatura en los palas,"[<'pa':cV>, <'las':cVs>]"
10,Cairns composiciones de la alternción,"[<'al':Vc>, <'ter':cVc>, <'nción':ccvVc>]"
11,Cairns en un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
12,Cairns márido de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
13,Cairns la temperatura es un siglo,"[<'si':sv>, <'glo':ccV>]"
14,Cairns conterir la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
15,Cairns la contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Cairns la base de la mayor parte,"[<'par':cVc>, <'te':cV>]"
17,Cairns de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
18,Cairns su mara de la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
19,Cairns gustos de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
20,Cairns los países de los patrones,"[<'pa':cV>, <'tro':ccV>, <'nes':cVs>]"
21,Cairns de los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
22,Cairns el especie de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
23,Cairns también en la contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
24,Cairns los correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
25,Cairns gue para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
26,Cairns consecuencia y los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
27,Cairns ricado de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
28,Cairns de la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
29,Cairns de la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
30,Cairns la esta alla y la diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
31,Cairns de la sonientia con el actual,"[<'ac':Vc>, <'tual':cvVc>]"
32,Cairns en la aperación de la centra,"[<'cen':cVc>, <'tra':ccV>]"
33,Cairns con la reda de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
34,Cairns en los procesos de la inversión,"[<'in':vc>, <'ver':cVc>, <'sión':svVc>]"
35,Cairns estar general del progreso,"[<'pro':ccV>, <'gre':ccV>, <'so':sV>]"
36,Cairns la solidad de la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
37,Cairns ir el amor con los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
38,Cairns la energía no en los dectriales,"[<'dec':cVc>, <'tria':ccvV>, <'les':cVs>]"
39,Cairns la concentración del proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
40,Cairns umbre al calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
41,Cairns actividades políticos,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'cos':cVs>]"
42,Cairns políticos definitivas,"[<'de':cV>, <'fi':cv>, <'ni':cv>, <'ti':cv>, <'vas':cVs>]"
43,Cairns con el consumo de un recurso,"[<'re':cV>, <'cur':cvc>, <'so':sV>]"
44,Cairns la de la oriente climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
45,Cairns en la temperatura medio,"[<'me':cV>, <'dio':cvV>]"
46,Cairns de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
47,Cairns ente de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
48,Cairns ente a la seguridad entre,"[<'en':Vc>, <'tre':ccV>]"
49,Cairns de su procisa de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
50,Cairns la población de la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
51,Cairns tendrámente en la caleración,"[<'ca':cV>, <'le':cV>, <'ra':cV>, <'ción':cvVc>]"
52,Cairns que se pode para las partes,"[<'par':cVc>, <'tes':cVs>]"
53,Cairns en la cauta de las segundas,"[<'se':sV>, <'gun':cvc>, <'das':cVs>]"
54,Cairns de calidad y el sistema,"[<'sis':svs>, <'te':cV>, <'ma':cV>]"
55,Cairns la mayoría de la forma,"[<'for':cVc>, <'ma':cV>]"
56,Cairns de la forma de casa informe,"[<'in':vc>, <'for':cVc>, <'me':cV>]"
57,Cairns la emisión de las decisiones,"[<'de':cV>, <'ci':cv>, <'sio':svV>, <'nes':cVs>]"
58,Cairns aumento del clima en la tierra,"[<'tie':cvV>, <'rra':ccV>]"
59,Cairns de las palieras de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
60,Cairns energética en el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
61,Cairns centir a los interseñores,"[<'in':vc>, <'ter':cVc>, <'se':sV>, <'ño':cV>, <'res':cVs>]"
62,Cairns de la mayoría del control,"[<'con':cVc>, <'trol':ccVc>]"
63,Cairns medio ambiente la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
64,Cairns bien en el correcionar nuestra,"[<'nues':cvVs>, <'tra':ccV>]"
65,Cairns de los comparaciones de esta,"[<'es':Vs>, <'ta':cV>]"
66,Cairns continuación de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
67,Cairns la población de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
68,Cairns por consumidor para estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
69,Cairns de la pertida de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
70,Cairns las decientes energéticos,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'cos':cVs>]"
71,Cairns modelo actual con el contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
72,Cairns esta el mundo con el contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
73,Cairns en el estema de consumo,"[<'con':cVc>, <'su':sv>, <'mo':cV>]"
74,Cairns de consumo con el estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
75,Cairns la concentración de los medios,"[<'me':cV>, <'dios':cvVs>]"
76,Cairns funda se se contenta el marco,"[<'mar':cVc>, <'co':cV>]"
77,Cairns como un problema como el siglo,"[<'si':sv>, <'glo':ccV>]"
78,Cairns registrar como consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
79,Cairns como consecuencia del clima,"[<'cli':ccv>, <'ma':cV>]"
80,Cairns en la manor aliminación,"[<'a':V>, <'li':cv>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
81,Cairns o que se hace la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
82,Cairns contribuyen a los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
83,Cairns primer calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
84,Cairns las inversiones en el caso,"[<'ca':cV>, <'so':sV>]"
85,Cairns de los efectos finalistas,"[<'fi':cv>, <'na':cV>, <'lis':cvs>, <'tas':cVs>]"
86,Cairns contribución sobre el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
87,Cairns sobre el carbono y las partes,"[<'par':cVc>, <'tes':cVs>]"
88,Cairns de la previsión del acesto,"[<'a':V>, <'ces':cVs>, <'to':cV>]"
89,Cairns del acesto de la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
90,Cairns el proceso de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
91,Cairns los países de la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
92,Cairns de la actividad de las gases,"[<'ga':cV>, <'ses':sVs>]"
93,Cairns mente de la población están,"[<'es':Vs>, <'tán':cVc>]"
94,Cairns la sociedad de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
95,Cairns la población de la información,"[<'in':vc>, <'for':cVc>, <'ma':cV>, <'ción':cvVc>]"
96,Cairns previsión de los medios de este,"[<'es':Vs>, <'te':cV>]"
97,Cairns del gas de los altimos o antes,"[<'an':Vc>, <'tes':cVs>]"
98,Cairns por la buena contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
99,Cairns los países de la eficiencia,"[<'e':V>, <'fi':cv>, <'cien':cvVc>, <'cia':cvV>]"
100,Cairns la combustión de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
101,Cairns puedo estar la salud humana,"[<'hu':cv>, <'ma':cV>, <'na':cV>]"
102,Cairns te parte de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
103,Cairns de las emisiones del nivel,"[<'ni':cv>, <'vel':cVc>]"
104,Cairns de los efectos para el amor,"[<'a':V>, <'mor':cVc>]"
105,Cairns contente de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
106,Cairns cantidad de mantenida entre,"[<'en':Vc>, <'tre':ccV>]"
107,Cairns mantenida entre la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
108,Cairns con el calentamiento medio,"[<'me':cV>, <'dio':cvV>]"
109,Cairns pueden el mercado que el amor,"[<'a':V>, <'mor':cVc>]"
110,Cairns mercado que el amor de viento,"[<'vien':cvVc>, <'to':cV>]"
111,Cairns de la segunda concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
112,Cairns las países para virturar,"[<'vi':cv>, <'rtu':ccv>, <'rar':cVc>]"
113,Cairns a forma de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
114,Cairns la concentración de la educción,"[<'e':V>, <'duc':cvc>, <'ción':cvVc>]"
115,Cairns la contentación de energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
116,Cairns de energía por el contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
117,Cairns a de esta curstión de los años,"[<'a':V>, <'ños':cVs>]"
118,Cairns pueda despertar lo que es una,"[<'u':v>, <'na':cV>]"
119,Cairns de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
120,Cairns fósiles y las inversiones,"[<'in':vc>, <'ver':cVc>, <'sio':svV>, <'nes':cVs>]"
121,Cairns estado de las cancidades,"[<'can':cVc>, <'ci':cv>, <'da':cV>, <'des':cVs>]"
122,Cairns la superficie de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
123,Cairns electricidad y el poner,"[<'po':cV>, <'ner':cVc>]"
124,Cairns el poner en la comparación,"[<'com':cVc>, <'pa':cV>, <'ra':cV>, <'ción':cvVc>]"
125,Cairns de los medios de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
126,Cairns la concentración del proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
127,Cairns en los retroposos de capaz,"[<'ca':cV>, <'paz':cVc>]"
128,Cairns de carbono algo internacional,"[<'in':vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nal':cVc>]"
