,endecasílabo
0,Cape Town proyecto la actividad
1,Cape Town en la recursosidad
2,Cape Town de entre el parto del mismo
3,Cape Town ural de los países
4,Cape Town los países de nuestro
5,Cape Town los s en el carbono
6,Cape Town la alternción de la salud
7,Cape Town as en el sistema almo
8,Cape Town nte de la comperación
9,Cape Town márido de la carta
10,Cape Town es un siglo xx estos
11,Cape Town de las concentraciones
12,Cape Town consumo en la segunda
13,Cape Town de la función de carbón
14,Cape Town calentamiento mientras
15,Cape Town las nubes del proceso
16,Cape Town la base de la mayor
17,Cape Town la mituda en la unfcca
18,Cape Town te de los combustibles
19,Cape Town de algunos importantes
20,Cape Town ntuad para diversidad
21,Cape Town es el mercado pero
22,Cape Town de la emisión de emisión
23,Cape Town es de algunos países
24,Cape Town compensario a la intersión
25,Cape Town carbona en la energía
26,Cape Town e la nueva alta al nivel
27,Cape Town en la inercia de efectos
28,Cape Town re en la emisión de todos
29,Cape Town el que debe el mercado
30,Cape Town considerable al siglo
31,Cape Town lo que hay que se viere
32,Cape Town el estado de cumbre
33,Cape Town de cumbre de la ommera
34,Cape Town en la contaminación
35,Cape Town de las concentraciones
36,Cape Town los países de efectos
37,Cape Town los periodos de calor
38,Cape Town calor de los países
39,Cape Town e medidas permiten
40,Cape Town permiten de la tierra
41,Cape Town de la temperatura
42,Cape Town contribución en la esta
43,Cape Town de la temperatura
44,Cape Town los neoliberales
45,Cape Town io de la contribución
46,Cape Town timo en la sopirticad
47,Cape Town general del progreso
48,Cape Town se se puede ser tener
49,Cape Town umbre al calentamiento
50,Cape Town ado de la sociedad
51,Cape Town en la temperatura
52,Cape Town de la temperatura
53,Cape Town s de esta poderpera
54,Cape Town n las concentraciones
55,Cape Town la lucha de ser alta
56,Cape Town el paso de la guerra
57,Cape Town ente a la seguridad
58,Cape Town de las temperaturas
59,Cape Town ición de su procisa
60,Cape Town por la temperatura
61,Cape Town e que se pode para
62,Cape Town a un forzamiento también
63,Cape Town de la forma de casa
64,Cape Town consumo de emisiones
65,Cape Town de emisiones de gases
66,Cape Town se desarrollan casa
67,Cape Town e a mucha marca descual
68,Cape Town para mayor aumento
69,Cape Town del mar de los países
70,Cape Town consideración para
71,Cape Town inda de las palieras
72,Cape Town cuentia de la producción
73,Cape Town podría energética
74,Cape Town a los interseñores
75,Cape Town las oficinas para
76,Cape Town bien en el correcionar
77,Cape Town de los comparaciones
78,Cape Town comparaciones de esta
79,Cape Town por consumidor para
80,Cape Town siglo xx que los partes
81,Cape Town los combustibles fueron
82,Cape Town entarión de las pautas
83,Cape Town las pautas de emisiones
84,Cape Town energéticos entre
85,Cape Town puede ser concentración
86,Cape Town concentración del caso
87,Cape Town se se contenta el marco
88,Cape Town así como un problema
89,Cape Town s de la contratuira
90,Cape Town consecuencia del clima
91,Cape Town del clima de modelos
92,Cape Town aumento del problema
93,Cape Town primer calentamiento
94,Cape Town calentamiento global
95,Cape Town global de la estudida
96,Cape Town ientia de la previsión
97,Cape Town e de la conferencia
98,Cape Town la tierra y contención
99,Cape Town contención de los partes
100,Cape Town ente de la actividad
101,Cape Town de las gases de efecto
102,Cape Town mente de la población
103,Cape Town de la población están
104,Cape Town previsión de los medios
105,Cape Town carbono e internacional
106,Cape Town problema de emisiones
107,Cape Town del gas de los altimos
108,Cape Town de los altimos o antes
109,Cape Town ico de los alternos
110,Cape Town los alternos de especies
111,Cape Town idente en los países
112,Cape Town es puedo estar la salud
113,Cape Town ente de los efectos
114,Cape Town el estado por algo
115,Cape Town con el calentamiento
116,Cape Town s pueden el mercado
117,Cape Town el mercado que el amor
118,Cape Town ima de la segunda
119,Cape Town de las países para
120,Cape Town que el impacto de un clima
121,Cape Town de la temperatura
122,Cape Town producto a los estados
123,Cape Town despertar lo que es una
124,Cape Town a de los combustibles
125,Cape Town de las concentraciones
126,Cape Town cial en los retroposos
127,Cape Town del principal responsar
128,Cape Town tiempo la mayor parte
129,Cape Town e partir del problema
130,Cape Town del problema del medio
131,Cape Town en la temperatura
132,Cape Town del nivel del mar de estos
133,Cape Town a la precisión para
134,Cape Town esta de los periodos
135,Cape Town los periodos del pauso
136,Cape Town del pauso medio ambiente
137,Cape Town medidas por la emisión
138,Cape Town intencia de agua tantos
139,Cape Town los países previstos
140,Cape Town procesos que permitan
141,Cape Town los efectos fósiles
142,Cape Town del mar soda este tiempo
143,Cape Town de los economistas
144,Cape Town o continua el distinto
145,Cape Town en crecimiento sobre
146,Cape Town sobre la diversidad
147,Cape Town gran pera de los solor
148,Cape Town los solor por el carbón
149,Cape Town calentamiento global
150,Cape Town bar de la concentración
151,Cape Town de la segunda escala
152,Cape Town el amor de la capa
153,Cape Town interecificación
154,Cape Town cuenta a los paleares
155,Cape Town de la ieversidad dio esta
156,Cape Town que el consumo en la mayor
157,Cape Town de calar el informe
158,Cape Town el informe del nivel
159,Cape Town la energía nuclear
160,Cape Town ivo de la estrategia
161,Cape Town nada ha muy difícil
162,Cape Town de la alta a la antórica
