,endecasílabo
0,Cape Town producto en el proyecto
1,Cape Town contra la compromisa
2,Cape Town carbono a la producción
3,Cape Town en el temperatura
4,Cape Town su propia de la propia
5,Cape Town el mar se desarrolla
6,Cape Town parte de la producción
7,Cape Town alto de la comprensión
8,Cape Town problema de reducir
9,Cape Town estado a los procesos
10,Cape Town como la propia como
11,Cape Town como la contra el cambio
12,Cape Town contra la propia contra
13,Cape Town el cambio climático
14,Cape Town el cambio climático
15,Cape Town contra la compromisa
16,Cape Town la salud de la contrar
17,Cape Town contra las emisiones
18,Cape Town se producir el cambio
19,Cape Town el cambio climático
20,Cape Town cambio climático está
21,Cape Town climático está contra
22,Cape Town contrar la concentración
23,Cape Town contra la compromisa
24,Cape Town menos de la comprensión
25,Cape Town sobre la compromisa
26,Cape Town ser en la compromiso
27,Cape Town permitado en la propia
28,Cape Town contra las emisiones
29,Cape Town estado contra el cambio
30,Cape Town el cambio climático
31,Cape Town problema de la comprar
32,Cape Town el contral de la propia
33,Cape Town estado en el proceso
34,Cape Town contrar con la estrategia
35,Cape Town la cual con la producción
36,Cape Town la propia climática
37,Cape Town estado en la comprensión
38,Cape Town permitan para el cambio
39,Cape Town de carbono a la propia
40,Cape Town el cambio climático
41,Cape Town sobre la economía
42,Cape Town sobre la capacidad
43,Cape Town producción de la compra
44,Cape Town de la compra de cambio
45,Cape Town permitado en la propia
46,Cape Town propia de contra el cambio
47,Cape Town producto de la contrar
48,Cape Town las contrabulidades
49,Cape Town es de la concentración
50,Cape Town parte de la producción
51,Cape Town climático es la propia
52,Cape Town la propia contra el cambio
53,Cape Town en el temperatura
54,Cape Town estado se producir
55,Cape Town el contrado en la propia
56,Cape Town contra la compromisa
57,Cape Town medio de la demanda
58,Cape Town la contra el combustible
59,Cape Town es proceso de cambio
60,Cape Town la mayor actividad
61,Cape Town permitado en la propia
62,Cape Town a la temperatura
63,Cape Town de la temperatura
64,Cape Town parte de la producción
65,Cape Town de las contribuciones
66,Cape Town capa de compromiso
67,Cape Town la propia compromiso
68,Cape Town compromiso de contra
69,Cape Town contra la compromisa
70,Cape Town el mar en la producción
71,Cape Town producción de la compra
72,Cape Town de carbono a la propia
73,Cape Town contra la concentración
74,Cape Town contrar la compromisa
75,Cape Town la largo de la propia
76,Cape Town mayor posibilidad
77,Cape Town el cambio climático
78,Cape Town e de la compromisa
79,Cape Town estado a la producción
80,Cape Town promedio de la compra
81,Cape Town de la temperatura
82,Cape Town ser de la concentración
83,Cape Town climático es un cambio
84,Cape Town contra la compromisa
85,Cape Town contrado de carbono
86,Cape Town esta mayor producción
87,Cape Town producirá en la propia
88,Cape Town la energía en la propia
89,Cape Town e el cambio climático
90,Cape Town la capa de la compra
91,Cape Town la cual es el sistema
92,Cape Town mar en la compromisa
93,Cape Town contra la compromisa
94,Cape Town el mar de contra el cambio
95,Cape Town propia de los procesos
