,endecasílabo
0,Carrizal permitado en la atmósfera
1,Carrizal esta mayor política
2,Carrizal de carbono a la producción
3,Carrizal problema de compromiso
4,Carrizal modelos de compromiso
5,Carrizal esta mayor producida
6,Carrizal contribución de la propia
7,Carrizal carbono en la concentración
8,Carrizal menos de la consecuencia
9,Carrizal parte de la concentración
10,Carrizal parte de la concentración
11,Carrizal mundial de la concentración
12,Carrizal contribución de la compra
13,Carrizal el problema de reducir
14,Carrizal mayor parte de la salud
15,Carrizal estado como la propia
16,Carrizal marca de la concentración
17,Carrizal mayor en la compromisa
18,Carrizal climático como el cambio
19,Carrizal como el cambio climático
20,Carrizal producto en la compromisa
21,Carrizal en la salud de la contrar
22,Carrizal marco de la concentración
23,Carrizal climático en la atmósfera
24,Carrizal el cambio climático está
25,Carrizal esta esta mayor producción
26,Carrizal marca de la concentración
27,Carrizal parte de la contra el cambio
28,Carrizal política en la producción
29,Carrizal climática y el cambio
30,Carrizal al menos de la comprensión
31,Carrizal carbono en la compromisa
32,Carrizal propia de la concentración
33,Carrizal contra el cambio climático
34,Carrizal el cambio climático esta
35,Carrizal estado en la concentración
36,Carrizal contra el cambio climático
37,Carrizal menos de la compromisa
38,Carrizal la compra de compromiso
39,Carrizal marco de la concentración
40,Carrizal la comprar en la producción
41,Carrizal por el contral de la propia
42,Carrizal la contrar con la estrategia
43,Carrizal permitado de la propia
44,Carrizal de la propia climática
45,Carrizal para el cambio climático
46,Carrizal contra el cambio climático
47,Carrizal estado en la consecuencia
48,Carrizal la producción de la compra
49,Carrizal permitado de la compra
50,Carrizal parte de la compromisa
51,Carrizal estado su proporciona
52,Carrizal la propia de contra el cambio
53,Carrizal producirá a la energía
54,Carrizal en las contrabulidades
55,Carrizal permitado de la propia
56,Carrizal de la propia contra el cambio
57,Carrizal menos de la concentración
58,Carrizal permitado por la propia
59,Carrizal a la contra el combustible
60,Carrizal parte de la compromisa
61,Carrizal e la mayor actividad
62,Carrizal contra el cambio climático
63,Carrizal contra el cambio climático
64,Carrizal menos precipitaciones
65,Carrizal permita de la producción
66,Carrizal la capa de compromiso
67,Carrizal en la propia compromiso
68,Carrizal de contra la compromisa
69,Carrizal estado sobre la propia
70,Carrizal menos de la compromisa
71,Carrizal por el mar en la producción
72,Carrizal permita en la compromisa
73,Carrizal la producción de la compra
74,Carrizal contra el cambio climático
75,Carrizal permitado de la estado
76,Carrizal producido a la energía
77,Carrizal parte de la contra el cambio
78,Carrizal de contra la compromisa
79,Carrizal la contrar la compromisa
80,Carrizal comprensión de la producción
81,Carrizal propia con la compromisa
82,Carrizal permita en la compromisa
83,Carrizal por el cambio climático
84,Carrizal problema de la producción
85,Carrizal estado en la concentración
86,Carrizal parte de la compromisa
87,Carrizal la propia de la comprensión
88,Carrizal permitado en la producción
89,Carrizal seguir en la contribución
90,Carrizal la estada de compromiso
91,Carrizal parte de la concentración
92,Carrizal la propia como el problema
93,Carrizal problema con la atmósfera
94,Carrizal el contrado de carbono
95,Carrizal carbono que la comprensión
96,Carrizal la compromisa de deces
97,Carrizal deces con la compromisa
98,Carrizal se producirá en la propia
99,Carrizal esta mayor contra el cambio
100,Carrizal manor en la compromisa
101,Carrizal estado en la compromisa
102,Carrizal el mar y la contra el cambio
103,Carrizal modelo de la producción
104,Carrizal la energía necesaria
105,Carrizal los combustibles fósiles
106,Carrizal la propia como el estado
107,Carrizal a la capa de la compra
108,Carrizal compromiso de carbono
109,Carrizal carbono y el problema
110,Carrizal la energía contra el cambio
111,Carrizal contribución de la compra
112,Carrizal se esta mayor producida
113,Carrizal compromiso de la capa
114,Carrizal producto a las emisiones
115,Carrizal la propia de los procesos
116,Carrizal estado en la concentración
117,Carrizal segundo de la producción
118,Carrizal la comprensión de la propia
119,Carrizal permitado en la comprensión
120,Carrizal en el cambio climático
121,Carrizal el cambio climático esta
122,Carrizal parte de la concentración
123,Carrizal parte de la compromisa
124,Carrizal climático en la producción
125,Carrizal parte de la compromisa
126,Carrizal la producción de la compra
127,Carrizal la compra de la producción
128,Carrizal menos de la compromisa
129,Carrizal una vez más de la contrar
130,Carrizal marco de la concentración
131,Carrizal menos en la concentración
132,Carrizal ser estado a la producción
133,Carrizal contra el cambio climático
134,Carrizal los procesos de carbono
135,Carrizal seguridad establecir
136,Carrizal parte de la contribución
137,Carrizal parte de la compromisa
138,Carrizal a la propia contra el cambio
139,Carrizal consecuencia de la contrar
140,Carrizal la contrar la compromisa
141,Carrizal la compra de la estructura
142,Carrizal contra el cambio climático
143,Carrizal de la compra de consumo
144,Carrizal la compromisa de cambio
145,Carrizal por el cambio climático
146,Carrizal permitado en el promedio
147,Carrizal la estado de la comprensión
148,Carrizal estado se desarrollar
149,Carrizal se desarrollar la estada
150,Carrizal mercado de la energía
151,Carrizal estado en la contribución
152,Carrizal carbono en la compromisa
153,Carrizal menos de la concentración
154,Carrizal permitado en la producción
155,Carrizal contración de la producción
156,Carrizal de todo la contra el cambio
157,Carrizal menos de la concentración
158,Carrizal estado en la compromisa
159,Carrizal contra el cambio climático
160,Carrizal la comprensión de la compra
161,Carrizal la producción de la compra
162,Carrizal parte de la concentración
163,Carrizal menos de la concentración
164,Carrizal proceso de esta producción
165,Carrizal proceso de compromiso
166,Carrizal sin embargo se producir
167,Carrizal contra el mar en la atmósfera
168,Carrizal de compromiso de contra
169,Carrizal contra la temperatura
170,Carrizal menos de la concentración
171,Carrizal carbono que los países
172,Carrizal la producción de la mayor
173,Carrizal problema de la producción
174,Carrizal de compromiso de contra
175,Carrizal menos de la contribución
176,Carrizal por el cambio climático
177,Carrizal climático y la propia
178,Carrizal de compromiso de carbón
179,Carrizal carbono en la compromisa
180,Carrizal permitado de la tierra
181,Carrizal emisiones de carbono
182,Carrizal carbono por un problema
183,Carrizal estado en la contra el cambio
184,Carrizal de combustibles fósiles
185,Carrizal producto en la concentración
186,Carrizal proceso de compromiso
187,Carrizal esta mayor producida
188,Carrizal estado en la compromisa
189,Carrizal contra el cambio climático
190,Carrizal medida de compromiso
191,Carrizal la estado de la comprensión
192,Carrizal parte de la comprendencia
193,Carrizal estado en la concentración
194,Carrizal el mar de la contribución
195,Carrizal la comprensión de la compra
196,Carrizal de la compra de carbono
197,Carrizal proceso de compromiso
198,Carrizal estado con la atmósfera
199,Carrizal estado se desarrollar
200,Carrizal desarrollar el problema
201,Carrizal un contrado en el contexto
202,Carrizal compromiso de la contrar
203,Carrizal la compromisa de cambio
204,Carrizal estado en la concentración
205,Carrizal estado de contra el cambio
206,Carrizal el que producir el cambio
207,Carrizal en la ciencia de la contrar
208,Carrizal contra el cambio climático
209,Carrizal el cambio climático esta
210,Carrizal en la contrar los contrales
211,Carrizal segundo contra la propia
212,Carrizal actual de la contra el cambio
213,Carrizal la propia de compromiso
214,Carrizal la propia de compromiso
215,Carrizal compromiso de la compra
216,Carrizal de carbono en la atmósfera
217,Carrizal menos en la contribución
218,Carrizal menos en las emisiones
219,Carrizal carbono en la compromisa
220,Carrizal ento de la consecuencia
221,Carrizal ser producido en la propia
222,Carrizal en la propia contra el cambio
223,Carrizal la energía para el cambio
224,Carrizal parte de la concentración
225,Carrizal el calentamiento global
226,Carrizal de carbono a la producción
227,Carrizal de compromiso de cambio
228,Carrizal tendría en la consecuencia
229,Carrizal consecuencia de la contrar
230,Carrizal la contrar la concentración
231,Carrizal de contra la contra el cambio
232,Carrizal al contrado en la comprensión
233,Carrizal e en el cambio climático
234,Carrizal de la propia como contra
235,Carrizal producto en la contra el cambio
236,Carrizal productos de la producción
237,Carrizal propio con la concentración
238,Carrizal estado en la compromisa
239,Carrizal de carbono de la propia
240,Carrizal estado en la compromisa
241,Carrizal marca de la concentración
242,Carrizal producción de la producción
243,Carrizal contra la compromicado
244,Carrizal la producción de la compra
245,Carrizal países de contra el cambio
246,Carrizal se desarrollar el cambio
247,Carrizal problema de compromiso
248,Carrizal medida de la intersidad
249,Carrizal conjunto de compromiso
250,Carrizal la producción de la compra
251,Carrizal estado en la concentración
252,Carrizal consecuencia de la compren
253,Carrizal la compren de consecuencia
254,Carrizal estado de la comprensión
255,Carrizal estado en la concentración
256,Carrizal parte de la contribución
257,Carrizal contra el cambio climático
258,Carrizal compromiso de la mayor
259,Carrizal a la propia contra el cambio
260,Carrizal en la compromisa contra
261,Carrizal secuedad de la atmósfera
262,Carrizal la mayor por la producción
263,Carrizal la producción de la compra
264,Carrizal estado de compromiso
265,Carrizal la propia en la compromisa
266,Carrizal contra el cambio climático
267,Carrizal estado en la conferencia
268,Carrizal estados de contra el cambio
269,Carrizal la demanda de la propia
270,Carrizal de la propia contra el cambio
271,Carrizal el cambio climático esta
272,Carrizal contra el cambio climático
273,Carrizal la intersidad biológica
274,Carrizal la compromisa continuar
275,Carrizal de la contrar la contración
276,Carrizal estado se desarrollar
277,Carrizal parte de la compromisa
278,Carrizal estado en la concentración
279,Carrizal contra el cambio climático
280,Carrizal contra el cambio climático
281,Carrizal en la propia de consumo
282,Carrizal parte de la contra el cambio
283,Carrizal permitado en el consumo
284,Carrizal estado se desarrollar
285,Carrizal parte de la contra el cambio
286,Carrizal menos de la concentración
287,Carrizal el mar de la concentración
288,Carrizal amplia de la compromisa
289,Carrizal de carbono y la contrar
290,Carrizal estado en la compromisa
291,Carrizal compromiso de la propia
292,Carrizal la energía necesaria
293,Carrizal carbono a la compromisa
294,Carrizal ser producido en la contral
295,Carrizal estado de los países
296,Carrizal parte de la concentración
297,Carrizal compra de la propia como
298,Carrizal en el contrado en la propia
299,Carrizal en la propia como el cambio
300,Carrizal antes de la compromiso
301,Carrizal compromisa contra el cambio
302,Carrizal contra el cambio climático
303,Carrizal de compromiso de un medio
304,Carrizal en el contral de la propia
305,Carrizal permitan para la compra
306,Carrizal la compra de compromiso
307,Carrizal la propia de la comprensión
308,Carrizal cambio climático sobre
309,Carrizal la propia de compromiso
310,Carrizal estado de la producción
311,Carrizal marco de la concentración
312,Carrizal la temperatura mundial
313,Carrizal ser producido en la propia
314,Carrizal la propia con la producción
315,Carrizal parte de la concentración
316,Carrizal menos en la compromisa
317,Carrizal propuesta en la contrabución
318,Carrizal marco de la concentración
319,Carrizal estado en la capacidad
320,Carrizal de carbono y la propia
