,verse,terminacion
0,Casablanca proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Casablanca aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
2,Casablanca de entre el parto del mismo,"[<'mis':cvs>, <'mo':cV>]"
3,Casablanca los países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
4,Casablanca los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
5,Casablanca la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
6,Casablanca nte de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
7,Casablanca amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
8,Casablanca el mismo para la salud,"[<'sa':sV>, <'lud':cvc>]"
9,Casablanca un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
10,Casablanca márido de la carta,"[<'car':cVc>, <'ta':cV>]"
11,Casablanca un siglo xx estos partes,"[<'par':cVc>, <'tes':cVs>]"
12,Casablanca de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
13,Casablanca consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
14,Casablanca en la segunda cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
15,Casablanca de la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
16,Casablanca calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
17,Casablanca las nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
18,Casablanca la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
19,Casablanca la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
20,Casablanca te de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
21,Casablanca actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
22,Casablanca de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
23,Casablanca ntuad para diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
24,Casablanca el aumento del madida,"[<'ma':cV>, <'di':cv>, <'da':cV>]"
25,Casablanca de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
26,Casablanca compensario a la intersión,"[<'in':vc>, <'ter':cVc>, <'sión':svVc>]"
27,Casablanca carbona en la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
28,Casablanca re en la emisión de todos,"[<'to':cV>, <'dos':cVs>]"
29,Casablanca considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
30,Casablanca al siglo xx los estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
31,Casablanca lo que hay que se viere,"[<'vie':cvV>, <'re':cV>]"
32,Casablanca especie de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
33,Casablanca de cumbre de la ommera,"[<'om':Vc>, <'me':cV>, <'ra':cV>]"
34,Casablanca de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
35,Casablanca los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
36,Casablanca los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
37,Casablanca calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
38,Casablanca permiten de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
39,Casablanca de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
40,Casablanca contribución en la esta,"[<'es':Vs>, <'ta':cV>]"
41,Casablanca de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
42,Casablanca los neoliberales,"[<'ne':cV>, <'o':V>, <'li':cv>, <'be':cV>, <'ra':cV>, <'les':cVs>]"
43,Casablanca timo en la sopirticad,"[<'so':sV>, <'pir':cvc>, <'ti':cv>, <'cad':cVc>]"
44,Casablanca general del progreso,"[<'pro':ccV>, <'gre':ccV>, <'so':sV>]"
45,Casablanca el amor con los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
46,Casablanca se se puede ser tener,"[<'te':cV>, <'ner':cVc>]"
47,Casablanca al calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
48,Casablanca el consumo de un recurso,"[<'re':cV>, <'cur':cvc>, <'so':sV>]"
49,Casablanca de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
50,Casablanca s de esta poderpera,"[<'po':cV>, <'der':cVc>, <'pe':cV>, <'ra':cV>]"
51,Casablanca n las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
52,Casablanca la lucha de ser alta,"[<'al':Vc>, <'ta':cV>]"
53,Casablanca a la seguridad entre,"[<'en':Vc>, <'tre':ccV>]"
54,Casablanca de las temperaturas,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ras':cVs>]"
55,Casablanca por la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
56,Casablanca de la forma de casa,"[<'ca':cV>, <'sa':sV>]"
57,Casablanca consumo de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
58,Casablanca de emisiones de gases,"[<'ga':cV>, <'ses':sVs>]"
59,Casablanca se desarrollan casa,"[<'ca':cV>, <'sa':sV>]"
60,Casablanca para mayor aumento,"[<'au':Vv>, <'men':cVc>, <'to':cV>]"
61,Casablanca del mar de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
62,Casablanca consideración para,"[<'pa':cV>, <'ra':cV>]"
63,Casablanca cuentia de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
64,Casablanca podría energética,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'ca':cV>]"
65,Casablanca en el mercado probable,"[<'pro':ccV>, <'ba':cV>, <'ble':ccV>]"
66,Casablanca las oficinas para,"[<'pa':cV>, <'ra':cV>]"
67,Casablanca ambiente la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
68,Casablanca bien en el correcionar,"[<'co':cV>, <'rre':ccV>, <'cio':cvV>, <'nar':cVc>]"
69,Casablanca en el correcionar nuestra,"[<'nues':cvVs>, <'tra':ccV>]"
70,Casablanca de los comparaciones,"[<'com':cVc>, <'pa':cV>, <'ra':cV>, <'cio':cvV>, <'nes':cVs>]"
71,Casablanca comparaciones de esta,"[<'es':Vs>, <'ta':cV>]"
72,Casablanca por consumidor para,"[<'pa':cV>, <'ra':cV>]"
73,Casablanca siglo xx que los partes,"[<'par':cVc>, <'tes':cVs>]"
74,Casablanca los combustibles fueron,"[<'fue':cvV>, <'ron':cVc>]"
75,Casablanca las pautas de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
76,Casablanca puede ser concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
77,Casablanca concentración del caso,"[<'ca':cV>, <'so':sV>]"
78,Casablanca el mundo con el contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
79,Casablanca el estema de consumo,"[<'con':cVc>, <'su':sv>, <'mo':cV>]"
80,Casablanca se se contenta el marco,"[<'mar':cVc>, <'co':cV>]"
81,Casablanca un problema como el siglo,"[<'si':sv>, <'glo':ccV>]"
82,Casablanca s de la contratuira,"[<'con':cVc>, <'tra':ccV>, <'tui':cvv>, <'ra':cV>]"
83,Casablanca consecuencia del clima,"[<'cli':ccv>, <'ma':cV>]"
84,Casablanca del clima de modelos,"[<'mo':cV>, <'de':cV>, <'los':cVs>]"
85,Casablanca primer calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
86,Casablanca calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
87,Casablanca global de la estudida,"[<'es':Vs>, <'tu':cv>, <'di':cv>, <'da':cV>]"
88,Casablanca están en el medio ambiente,"[<'am':Vc>, <'bien':cvVc>, <'te':cV>]"
89,Casablanca inversiones en el caso,"[<'ca':cV>, <'so':sV>]"
90,Casablanca el carbono y las partes,"[<'par':cVc>, <'tes':cVs>]"
91,Casablanca acesto de la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
92,Casablanca la tierra y contención,"[<'con':cVc>, <'ten':cVc>, <'ción':cvVc>]"
93,Casablanca contención de los partes,"[<'par':cVc>, <'tes':cVs>]"
94,Casablanca de las gases de efecto,"[<'e':V>, <'fec':cVc>, <'to':cV>]"
95,Casablanca mente de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
96,Casablanca de la población están,"[<'es':Vs>, <'tán':cVc>]"
97,Casablanca el mismo de los asuntos,"[<'a':V>, <'sun':svc>, <'tos':cVs>]"
98,Casablanca previsión de los medios,"[<'me':cV>, <'dios':cvVs>]"
99,Casablanca carbono e internacional,"[<'in':vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nal':cVc>]"
100,Casablanca problema de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
101,Casablanca del gas de los altimos,"[<'al':Vc>, <'ti':cv>, <'mos':cVs>]"
102,Casablanca de los altimos o antes,"[<'an':Vc>, <'tes':cVs>]"
103,Casablanca o antes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
104,Casablanca los alternos de especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
105,Casablanca algo de la comporcación,"[<'com':cVc>, <'por':cVc>, <'ca':cV>, <'ción':cvVc>]"
106,Casablanca con el calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
107,Casablanca el calentamiento medio,"[<'me':cV>, <'dio':cvV>]"
108,Casablanca s pueden el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
109,Casablanca de las países para,"[<'pa':cV>, <'ra':cV>]"
110,Casablanca que el impacto de un clima,"[<'cli':ccv>, <'ma':cV>]"
111,Casablanca de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
112,Casablanca producto a los estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
113,Casablanca despertar lo que es una,"[<'u':v>, <'na':cV>]"
114,Casablanca al problema entre el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
115,Casablanca de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
116,Casablanca cial en los retroposos,"[<'re':cV>, <'tro':ccV>, <'po':cV>, <'sos':sVs>]"
117,Casablanca del principal responsar,"[<'res':cVs>, <'pon':cVc>, <'sar':sVc>]"
118,Casablanca tiempo la mayor parte,"[<'par':cVc>, <'te':cV>]"
119,Casablanca del problema del medio,"[<'me':cV>, <'dio':cvV>]"
120,Casablanca del nivel del mar de estos,"[<'es':Vs>, <'tos':cVs>]"
121,Casablanca los periodos del pauso,"[<'pau':cVv>, <'so':sV>]"
122,Casablanca del pauso medio ambiente,"[<'am':Vc>, <'bien':cvVc>, <'te':cV>]"
123,Casablanca medidas por la emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
124,Casablanca ambiente por la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
125,Casablanca los países previstos,"[<'pre':ccV>, <'vis':cvs>, <'tos':cVs>]"
126,Casablanca procesos que permitan,"[<'per':cVc>, <'mi':cv>, <'tan':cVc>]"
127,Casablanca los efectos fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
128,Casablanca del mar soda este tiempo,"[<'tiem':cvVc>, <'po':cV>]"
129,Casablanca el consumo en la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
130,Casablanca en la actividad del nivel,"[<'ni':cv>, <'vel':cVc>]"
131,Casablanca de los economistas,"[<'e':V>, <'co':cV>, <'no':cV>, <'mis':cvs>, <'tas':cVs>]"
132,Casablanca sobre la diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
133,Casablanca ambiente y un problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
134,Casablanca un problema de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
135,Casablanca gran pera de los solor,"[<'so':sV>, <'lor':cVc>]"
136,Casablanca los solor por el carbón,"[<'car':cVc>, <'bón':cVc>]"
137,Casablanca calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
138,Casablanca el sector energético,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'co':cV>]"
139,Casablanca bar de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
140,Casablanca de la segunda escala,"[<'es':Vs>, <'ca':cV>, <'la':cV>]"
141,Casablanca cuenta a los paleares,"[<'pa':cV>, <'le':cV>, <'a':V>, <'res':cVs>]"
142,Casablanca de la ieversidad dio esta,"[<'es':Vs>, <'ta':cV>]"
143,Casablanca ante para lo que es algo,"[<'al':Vc>, <'go':cV>]"
144,Casablanca que el consumo en la mayor,"[<'ma':cV>, <'yor':cVc>]"
145,Casablanca de calar el informe,"[<'in':vc>, <'for':cVc>, <'me':cV>]"
146,Casablanca la energía nuclear,"[<'nu':cv>, <'cle':ccV>, <'ar':Vc>]"
147,Casablanca nada ha muy difícil,"[<'di':cv>, <'fí':cV>, <'cil':cvc>]"
148,Casablanca de la alta a la antórica,"[<'an':Vc>, <'tó':cV>, <'ri':cv>, <'ca':cV>]"
149,Casablanca consecuencia del poder,"[<'po':cV>, <'der':cVc>]"
150,Casablanca del poder de los partes,"[<'par':cVc>, <'tes':cVs>]"
151,Casablanca gei y el consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
152,Casablanca de la cumbre del clima,"[<'cli':ccv>, <'ma':cV>]"
153,Casablanca la cumbre del clima este,"[<'es':Vs>, <'te':cV>]"
154,Casablanca a elemente con la salud,"[<'sa':sV>, <'lud':cvc>]"
155,Casablanca por esta consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
156,Casablanca de la segunda parte,"[<'par':cVc>, <'te':cV>]"
157,Casablanca la cupación al madio,"[<'ma':cV>, <'dio':cvV>]"
158,Casablanca control de los acuerdos,"[<'a':V>, <'cuer':cvVc>, <'dos':cVs>]"
159,Casablanca cantidad de los partes,"[<'par':cVc>, <'tes':cVs>]"
160,Casablanca del país del catero,"[<'ca':cV>, <'te':cV>, <'ro':cV>]"
161,Casablanca la ciencia de el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
162,Casablanca cara de concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
163,Casablanca vidad para recursos,"[<'re':cV>, <'cur':cvc>, <'sos':sVs>]"
164,Casablanca problema los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
165,Casablanca ra a la mayor estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
166,Casablanca los neoliberales,"[<'ne':cV>, <'o':V>, <'li':cv>, <'be':cV>, <'ra':cV>, <'les':cVs>]"
167,Casablanca carbón como un problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
