,verse,terminacion
0,Casablanca producto en el proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
1,Casablanca el proyecto de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
2,Casablanca contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
3,Casablanca carbono a la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
4,Casablanca su propia de la propia,"[<'pro':ccV>, <'pia':cvV>]"
5,Casablanca parte de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
6,Casablanca el mar de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
7,Casablanca problema de reducir,"[<'re':cV>, <'du':cv>, <'cir':cvc>]"
8,Casablanca como la propia como,"[<'co':cV>, <'mo':cV>]"
9,Casablanca como la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
10,Casablanca contra la propia contra,"[<'con':cVc>, <'tra':ccV>]"
11,Casablanca contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
12,Casablanca la salud de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
13,Casablanca el sistema climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
14,Casablanca contra las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
15,Casablanca emisiones de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
16,Casablanca se producir el cambio,"[<'cam':cVc>, <'bio':cvV>]"
17,Casablanca cambio climático está,"[<'es':Vs>, <'tá':cV>]"
18,Casablanca climático está contra,"[<'con':cVc>, <'tra':ccV>]"
19,Casablanca contrar la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
20,Casablanca contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
21,Casablanca menos de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
22,Casablanca sobre la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
23,Casablanca ser en la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
24,Casablanca permitado en la propia,"[<'pro':ccV>, <'pia':cvV>]"
25,Casablanca contra las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
26,Casablanca emisiones de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
27,Casablanca el cambio climático esta,"[<'es':Vs>, <'ta':cV>]"
28,Casablanca problema de la comprar,"[<'com':cVc>, <'prar':ccVc>]"
29,Casablanca en el contrado en el cambio,"[<'cam':cVc>, <'bio':cvV>]"
30,Casablanca el proceso de la propia,"[<'pro':ccV>, <'pia':cvV>]"
31,Casablanca contrar con la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
