,verse,terminacion
0,Castle Hill proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Castle Hill en la recursosidad,"[<'re':cV>, <'cur':cvc>, <'so':sV>, <'si':sv>, <'dad':cVc>]"
2,Castle Hill de entre el parto del mismo,"[<'mis':cvs>, <'mo':cV>]"
3,Castle Hill ural de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
4,Castle Hill los países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
5,Castle Hill los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
6,Castle Hill la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
7,Castle Hill as en el sistema almo,"[<'al':Vc>, <'mo':cV>]"
8,Castle Hill nte de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
9,Castle Hill márido de la carta,"[<'car':cVc>, <'ta':cV>]"
10,Castle Hill es un siglo xx estos,"[<'es':Vs>, <'tos':cVs>]"
11,Castle Hill de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
12,Castle Hill consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
13,Castle Hill de la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
14,Castle Hill calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
15,Castle Hill las nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Castle Hill la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
17,Castle Hill la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
18,Castle Hill te de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
19,Castle Hill de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
20,Castle Hill ntuad para diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
21,Castle Hill es el mercado pero,"[<'pe':cV>, <'ro':cV>]"
22,Castle Hill de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
23,Castle Hill es de algunos países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
24,Castle Hill compensario a la intersión,"[<'in':vc>, <'ter':cVc>, <'sión':svVc>]"
25,Castle Hill carbona en la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
26,Castle Hill e la nueva alta al nivel,"[<'ni':cv>, <'vel':cVc>]"
27,Castle Hill en la inercia de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
28,Castle Hill re en la emisión de todos,"[<'to':cV>, <'dos':cVs>]"
29,Castle Hill el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
30,Castle Hill considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
31,Castle Hill lo que hay que se viere,"[<'vie':cvV>, <'re':cV>]"
32,Castle Hill el estado de cumbre,"[<'cum':cvc>, <'bre':ccV>]"
33,Castle Hill de cumbre de la ommera,"[<'om':Vc>, <'me':cV>, <'ra':cV>]"
34,Castle Hill en la contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
35,Castle Hill de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
36,Castle Hill los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
37,Castle Hill los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
38,Castle Hill calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
39,Castle Hill e medidas permiten,"[<'per':cVc>, <'mi':cv>, <'ten':cVc>]"
40,Castle Hill permiten de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
41,Castle Hill de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
42,Castle Hill contribución en la esta,"[<'es':Vs>, <'ta':cV>]"
43,Castle Hill de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
44,Castle Hill los neoliberales,"[<'ne':cV>, <'o':V>, <'li':cv>, <'be':cV>, <'ra':cV>, <'les':cVs>]"
45,Castle Hill io de la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
46,Castle Hill timo en la sopirticad,"[<'so':sV>, <'pir':cvc>, <'ti':cv>, <'cad':cVc>]"
47,Castle Hill general del progreso,"[<'pro':ccV>, <'gre':ccV>, <'so':sV>]"
48,Castle Hill se se puede ser tener,"[<'te':cV>, <'ner':cVc>]"
49,Castle Hill umbre al calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
50,Castle Hill ado de la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
