,endecasílabo
0,Changchun permitado en la atmósfera
1,Changchun esta mayor política
2,Changchun de carbono a la producción
3,Changchun problema de compromiso
4,Changchun modelos de compromiso
5,Changchun esta mayor producida
6,Changchun contribución de la propia
7,Changchun carbono en la concentración
8,Changchun menos de la consecuencia
9,Changchun parte de la concentración
10,Changchun parte de la concentración
11,Changchun mundial de la concentración
12,Changchun contribución de la compra
13,Changchun el problema de reducir
14,Changchun mayor parte de la salud
15,Changchun estado como la propia
16,Changchun marca de la concentración
17,Changchun mayor en la compromisa
18,Changchun climático como el cambio
19,Changchun como el cambio climático
20,Changchun producto en la compromisa
21,Changchun en la salud de la contrar
22,Changchun marco de la concentración
23,Changchun climático en la atmósfera
24,Changchun el cambio climático está
25,Changchun esta esta mayor producción
26,Changchun marca de la concentración
27,Changchun parte de la contra el cambio
28,Changchun política en la producción
29,Changchun climática y el cambio
30,Changchun al menos de la comprensión
31,Changchun carbono en la compromisa
32,Changchun propia de la concentración
33,Changchun contra el cambio climático
34,Changchun el cambio climático esta
35,Changchun estado en la concentración
36,Changchun contra el cambio climático
37,Changchun menos de la compromisa
38,Changchun la compra de compromiso
39,Changchun marco de la concentración
40,Changchun la comprar en la producción
41,Changchun por el contral de la propia
42,Changchun la contrar con la estrategia
43,Changchun permitado de la propia
44,Changchun de la propia climática
45,Changchun para el cambio climático
46,Changchun contra el cambio climático
47,Changchun estado en la consecuencia
48,Changchun la producción de la compra
49,Changchun permitado de la compra
50,Changchun parte de la compromisa
51,Changchun estado su proporciona
52,Changchun la propia de contra el cambio
53,Changchun producirá a la energía
54,Changchun en las contrabulidades
55,Changchun permitado de la propia
56,Changchun de la propia contra el cambio
57,Changchun menos de la concentración
58,Changchun permitado por la propia
59,Changchun a la contra el combustible
60,Changchun parte de la compromisa
61,Changchun e la mayor actividad
62,Changchun contra el cambio climático
63,Changchun contra el cambio climático
64,Changchun menos precipitaciones
65,Changchun permita de la producción
66,Changchun la capa de compromiso
67,Changchun en la propia compromiso
68,Changchun de contra la compromisa
69,Changchun estado sobre la propia
70,Changchun menos de la compromisa
71,Changchun por el mar en la producción
72,Changchun permita en la compromisa
73,Changchun la producción de la compra
74,Changchun contra el cambio climático
75,Changchun permitado de la estado
76,Changchun producido a la energía
77,Changchun parte de la contra el cambio
78,Changchun de contra la compromisa
79,Changchun la contrar la compromisa
80,Changchun comprensión de la producción
81,Changchun propia con la compromisa
82,Changchun permita en la compromisa
83,Changchun por el cambio climático
84,Changchun problema de la producción
85,Changchun estado en la concentración
86,Changchun parte de la compromisa
87,Changchun la propia de la comprensión
88,Changchun permitado en la producción
89,Changchun seguir en la contribución
90,Changchun la estada de compromiso
91,Changchun parte de la concentración
92,Changchun la propia como el problema
93,Changchun problema con la atmósfera
94,Changchun el contrado de carbono
95,Changchun carbono que la comprensión
96,Changchun la compromisa de deces
97,Changchun deces con la compromisa
98,Changchun se producirá en la propia
99,Changchun esta mayor contra el cambio
100,Changchun manor en la compromisa
101,Changchun estado en la compromisa
102,Changchun el mar y la contra el cambio
103,Changchun modelo de la producción
104,Changchun la energía necesaria
105,Changchun los combustibles fósiles
106,Changchun la propia como el estado
107,Changchun a la capa de la compra
108,Changchun compromiso de carbono
109,Changchun carbono y el problema
110,Changchun la energía contra el cambio
111,Changchun contribución de la compra
112,Changchun se esta mayor producida
113,Changchun compromiso de la capa
114,Changchun producto a las emisiones
115,Changchun la propia de los procesos
116,Changchun estado en la concentración
117,Changchun segundo de la producción
118,Changchun la comprensión de la propia
119,Changchun permitado en la comprensión
120,Changchun en el cambio climático
121,Changchun el cambio climático esta
122,Changchun parte de la concentración
123,Changchun parte de la compromisa
124,Changchun climático en la producción
125,Changchun parte de la compromisa
126,Changchun la producción de la compra
127,Changchun la compra de la producción
128,Changchun menos de la compromisa
129,Changchun una vez más de la contrar
130,Changchun marco de la concentración
131,Changchun menos en la concentración
132,Changchun ser estado a la producción
133,Changchun contra el cambio climático
134,Changchun los procesos de carbono
135,Changchun seguridad establecir
136,Changchun parte de la contribución
137,Changchun parte de la compromisa
138,Changchun a la propia contra el cambio
139,Changchun consecuencia de la contrar
140,Changchun la contrar la compromisa
141,Changchun la compra de la estructura
142,Changchun contra el cambio climático
143,Changchun de la compra de consumo
144,Changchun la compromisa de cambio
145,Changchun por el cambio climático
146,Changchun permitado en el promedio
147,Changchun la estado de la comprensión
148,Changchun estado se desarrollar
149,Changchun se desarrollar la estada
150,Changchun mercado de la energía
151,Changchun estado en la contribución
152,Changchun carbono en la compromisa
153,Changchun menos de la concentración
154,Changchun permitado en la producción
155,Changchun contración de la producción
156,Changchun de todo la contra el cambio
157,Changchun menos de la concentración
158,Changchun estado en la compromisa
159,Changchun contra el cambio climático
160,Changchun la comprensión de la compra
161,Changchun la producción de la compra
162,Changchun parte de la concentración
163,Changchun menos de la concentración
164,Changchun proceso de esta producción
165,Changchun proceso de compromiso
166,Changchun sin embargo se producir
167,Changchun contra el mar en la atmósfera
168,Changchun de compromiso de contra
169,Changchun contra la temperatura
170,Changchun menos de la concentración
171,Changchun carbono que los países
172,Changchun la producción de la mayor
173,Changchun problema de la producción
174,Changchun de compromiso de contra
175,Changchun menos de la contribución
176,Changchun por el cambio climático
177,Changchun climático y la propia
178,Changchun de compromiso de carbón
179,Changchun carbono en la compromisa
180,Changchun permitado de la tierra
181,Changchun emisiones de carbono
182,Changchun carbono por un problema
183,Changchun estado en la contra el cambio
184,Changchun de combustibles fósiles
185,Changchun producto en la concentración
186,Changchun proceso de compromiso
187,Changchun esta mayor producida
188,Changchun estado en la compromisa
189,Changchun contra el cambio climático
190,Changchun medida de compromiso
191,Changchun la estado de la comprensión
192,Changchun parte de la comprendencia
193,Changchun estado en la concentración
194,Changchun el mar de la contribución
195,Changchun la comprensión de la compra
196,Changchun de la compra de carbono
197,Changchun proceso de compromiso
198,Changchun estado con la atmósfera
199,Changchun estado se desarrollar
200,Changchun desarrollar el problema
201,Changchun un contrado en el contexto
202,Changchun compromiso de la contrar
203,Changchun la compromisa de cambio
204,Changchun estado en la concentración
205,Changchun estado de contra el cambio
206,Changchun el que producir el cambio
207,Changchun en la ciencia de la contrar
208,Changchun contra el cambio climático
209,Changchun el cambio climático esta
210,Changchun en la contrar los contrales
211,Changchun segundo contra la propia
212,Changchun actual de la contra el cambio
213,Changchun la propia de compromiso
214,Changchun la propia de compromiso
215,Changchun compromiso de la compra
216,Changchun de carbono en la atmósfera
217,Changchun menos en la contribución
218,Changchun menos en las emisiones
219,Changchun carbono en la compromisa
220,Changchun ento de la consecuencia
221,Changchun ser producido en la propia
222,Changchun en la propia contra el cambio
223,Changchun la energía para el cambio
224,Changchun parte de la concentración
225,Changchun el calentamiento global
226,Changchun de carbono a la producción
227,Changchun de compromiso de cambio
228,Changchun tendría en la consecuencia
229,Changchun consecuencia de la contrar
230,Changchun la contrar la concentración
231,Changchun de contra la contra el cambio
232,Changchun al contrado en la comprensión
233,Changchun e en el cambio climático
234,Changchun de la propia como contra
235,Changchun producto en la contra el cambio
236,Changchun productos de la producción
237,Changchun propio con la concentración
238,Changchun estado en la compromisa
239,Changchun de carbono de la propia
240,Changchun estado en la compromisa
241,Changchun marca de la concentración
242,Changchun producción de la producción
243,Changchun contra la compromicado
244,Changchun la producción de la compra
245,Changchun países de contra el cambio
246,Changchun se desarrollar el cambio
247,Changchun problema de compromiso
248,Changchun medida de la intersidad
249,Changchun conjunto de compromiso
250,Changchun la producción de la compra
251,Changchun estado en la concentración
252,Changchun consecuencia de la compren
253,Changchun la compren de consecuencia
254,Changchun estado de la comprensión
255,Changchun estado en la concentración
256,Changchun parte de la contribución
257,Changchun contra el cambio climático
258,Changchun compromiso de la mayor
259,Changchun a la propia contra el cambio
260,Changchun en la compromisa contra
261,Changchun secuedad de la atmósfera
262,Changchun la mayor por la producción
263,Changchun la producción de la compra
264,Changchun estado de compromiso
265,Changchun la propia en la compromisa
266,Changchun contra el cambio climático
267,Changchun estado en la conferencia
268,Changchun estados de contra el cambio
269,Changchun la demanda de la propia
270,Changchun de la propia contra el cambio
271,Changchun el cambio climático esta
272,Changchun contra el cambio climático
273,Changchun la intersidad biológica
274,Changchun la compromisa continuar
275,Changchun de la contrar la contración
276,Changchun estado se desarrollar
277,Changchun parte de la compromisa
278,Changchun estado en la concentración
279,Changchun contra el cambio climático
280,Changchun contra el cambio climático
281,Changchun en la propia de consumo
282,Changchun parte de la contra el cambio
283,Changchun permitado en el consumo
284,Changchun estado se desarrollar
285,Changchun parte de la contra el cambio
286,Changchun menos de la concentración
287,Changchun el mar de la concentración
288,Changchun amplia de la compromisa
289,Changchun de carbono y la contrar
290,Changchun estado en la compromisa
291,Changchun compromiso de la propia
292,Changchun la energía necesaria
293,Changchun carbono a la compromisa
294,Changchun ser producido en la contral
295,Changchun estado de los países
296,Changchun parte de la concentración
297,Changchun compra de la propia como
298,Changchun en el contrado en la propia
299,Changchun en la propia como el cambio
300,Changchun antes de la compromiso
301,Changchun compromisa contra el cambio
302,Changchun contra el cambio climático
303,Changchun de compromiso de un medio
304,Changchun en el contral de la propia
305,Changchun permitan para la compra
306,Changchun la compra de compromiso
307,Changchun la propia de la comprensión
308,Changchun cambio climático sobre
309,Changchun la propia de compromiso
310,Changchun estado de la producción
311,Changchun marco de la concentración
312,Changchun la temperatura mundial
313,Changchun ser producido en la propia
314,Changchun la propia con la producción
315,Changchun parte de la concentración
316,Changchun menos en la compromisa
317,Changchun propuesta en la contrabución
318,Changchun marco de la concentración
319,Changchun estado en la capacidad
320,Changchun de carbono y la propia
