,endecasílabo
0,Chennai en la infermedad energética
1,Chennai los países o la alteración
2,Chennai si debería la estrategia
3,Chennai estrategia de las emisiones
4,Chennai los países de nuestro parte
5,Chennai nuestro parte de las especies
6,Chennai con partes de la economía
7,Chennai dicional de la humanidad
8,Chennai la temperatura en los palas
9,Chennai composiciones de la alternción
10,Chennai márido de la carta de esta
11,Chennai la temperatura es un siglo
12,Chennai conterir la desempleación
13,Chennai un carbono de su política
14,Chennai el escenario de la cantidad
15,Chennai la contribución del proceso
16,Chennai la base de la mayor parte
17,Chennai de los combustibles fósiles
18,Chennai su mara de la seguridad
19,Chennai en el pertido de la actividad
20,Chennai atmósfera de la comporación
21,Chennai gustos de la emisión de emisión
22,Chennai los países de los patrones
23,Chennai al siglo xx los estados desde
24,Chennai de los metos de la ingenida
25,Chennai estado de cumbre de la ommera
26,Chennai también en la contaminación
27,Chennai los correstos de alternaciones
28,Chennai gue para la temperatura
29,Chennai consecuencia y los países
30,Chennai es un convenio sobre el proyecto
31,Chennai ricado de la conferencia
32,Chennai de la conferencia se pueden
33,Chennai de la tierra por un consenso
34,Chennai la esta alla y la diversidad
35,Chennai a la sociedad de la sonientia
36,Chennai de la sonientia con el actual
37,Chennai con la reda de la cantidad
38,Chennai la solidad de la segunda
39,Chennai la energía no en los dectriales
40,Chennai la concentración del proyecto
41,Chennai políticos definitivas
42,Chennai con el consumo de un recurso
43,Chennai la de la oriente climática
44,Chennai de los combustibles fósiles
45,Chennai de su procisa de emisiones
46,Chennai la población de la energía
47,Chennai tendrámente en la caleración
48,Chennai en la caleración del carbono
49,Chennai que se pode para las partes
50,Chennai de calidad y el sistema
51,Chennai el sistema de la organización
52,Chennai la mayoría de la forma
53,Chennai de la forma de casa informe
54,Chennai emisiones de gases de efecto
55,Chennai la emisión de las decisiones
56,Chennai de las palieras de emisiones
57,Chennai centir a los interseñores
58,Chennai de la mayoría del control
59,Chennai medio ambiente la concentración
60,Chennai bien en el correcionar nuestra
61,Chennai en el correcionar nuestra parte
62,Chennai de los comparaciones de esta
63,Chennai continuación de la población
64,Chennai la población de los países
65,Chennai por consumidor para estados
66,Chennai estados para las emisiones
67,Chennai electricidad en las medidas
68,Chennai de la pertida de la tierra
69,Chennai las decientes energéticos
70,Chennai modelo actual con el contexto
