,verse,terminacion
0,Chennai en la infermedad energética,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'ca':cV>]"
1,Chennai los países o la alteración,"[<'al':Vc>, <'te':cV>, <'ra':cV>, <'ción':cvVc>]"
2,Chennai si debería la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
3,Chennai estrategia de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
4,Chennai los países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
5,Chennai nuestro parte de las especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
6,Chennai con partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
7,Chennai dicional de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
8,Chennai la temperatura en los palas,"[<'pa':cV>, <'las':cVs>]"
9,Chennai composiciones de la alternción,"[<'al':Vc>, <'ter':cVc>, <'nción':ccvVc>]"
10,Chennai márido de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
11,Chennai la temperatura es un siglo,"[<'si':sv>, <'glo':ccV>]"
12,Chennai conterir la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
13,Chennai un carbono de su política,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'ca':cV>]"
14,Chennai el escenario de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
15,Chennai la contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Chennai la base de la mayor parte,"[<'par':cVc>, <'te':cV>]"
17,Chennai de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
18,Chennai su mara de la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
19,Chennai en el pertido de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
20,Chennai atmósfera de la comporación,"[<'com':cVc>, <'po':cV>, <'ra':cV>, <'ción':cvVc>]"
21,Chennai gustos de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
22,Chennai los países de los patrones,"[<'pa':cV>, <'tro':ccV>, <'nes':cVs>]"
23,Chennai al siglo xx los estados desde,"[<'des':cVs>, <'de':cV>]"
24,Chennai de los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
25,Chennai estado de cumbre de la ommera,"[<'om':Vc>, <'me':cV>, <'ra':cV>]"
