,endecasílabo
0,Chennai el proyecto de la concentración
1,Chennai permitado en la compromisa
2,Chennai en el proyecto en la contribución
3,Chennai en el proceso de compromiso
4,Chennai la concentración de la compra
5,Chennai el contrado de la concentración
6,Chennai la concentración de la propia
7,Chennai las procesos de compromiso
8,Chennai de compromiso de carbono
9,Chennai los modelos de compromiso
10,Chennai la concentración de la propia
11,Chennai de la propia de compromiso
12,Chennai ha contral de la concentración
13,Chennai provocado en la compromisa
14,Chennai el cambio climático en la propia
15,Chennai permitado en la concentración
16,Chennai en la concentración de la compra
17,Chennai la propia de la consecuencia
18,Chennai permitado en la compromitad
19,Chennai mayor parte de la producción
20,Chennai por el mar de la consecuencia
21,Chennai de carbono en la concentración
22,Chennai permitado en la compromisa
23,Chennai la contribución de la compra
24,Chennai a los procesos de compromiso
25,Chennai producción de la concentración
26,Chennai medida de la concentración
27,Chennai las problemas de compromiso
28,Chennai propia como la contra el cambio
29,Chennai la concentración de la contrar
30,Chennai la capa de la contra el cambio
31,Chennai el cambio climático es un cambio
32,Chennai la compra de la contra el cambio
33,Chennai la contrar con la concentración
34,Chennai permitado en las emisiones
35,Chennai permitado en el petróleo
36,Chennai en el petróleo y la propia
37,Chennai las emisiones de carbono
38,Chennai carbono y la compromiso
39,Chennai cambio climático está contra
40,Chennai producido en la compromisa
41,Chennai la concentración de la propia
42,Chennai la compromisa climática
43,Chennai de carbono en la compromisa
44,Chennai permitado en la concentración
45,Chennai la propia de la concentración
46,Chennai producción de la concentración
47,Chennai la concentración de la compra
48,Chennai compromitad de la comprensión
49,Chennai contra el cambio climático esta
50,Chennai las emisiones de carbono
51,Chennai de la compra de compromiso
52,Chennai permitado en la compromiso
53,Chennai producido en la compromisa
54,Chennai de la comprar en la producción
55,Chennai demanda de la compromisa
56,Chennai compromisa de compromiso
57,Chennai compromiso de compromiso
58,Chennai el promedio de la conferencia
59,Chennai la conferencia de la estada
60,Chennai la capacidad de carbono
61,Chennai procesos de la concentración
62,Chennai en la propia de la concentración
63,Chennai el proyecto de la concentración
64,Chennai la compra de la concentración
65,Chennai la capa de las emisiones
66,Chennai el proceso de la concentración
67,Chennai el tendero de las emisiones
68,Chennai problema de la concentración
69,Chennai la concentración de la compra
70,Chennai se producirá a la energía
71,Chennai de la contrar la compromisa
72,Chennai problema de la concentración
73,Chennai la concentración de la propia
74,Chennai compromiso de esta población
75,Chennai el cambio climático es la propia
76,Chennai la propia de la contribución
77,Chennai de compromiso de carbono
78,Chennai la compromisa de carbono
79,Chennai en el contrado en la compromisa
80,Chennai producción de la concentración
81,Chennai cambio climático es proceso
82,Chennai el cambio climático en la estado
83,Chennai comprensión de la concentración
84,Chennai la contra el cambio climático
85,Chennai la contra el cambio climático
86,Chennai la propia de la contribución
87,Chennai de los procesos de carbono
88,Chennai la propia de la contribución
89,Chennai en la compromisa de carbono
90,Chennai permitado en la compromisa
91,Chennai compra de carbono a la propia
92,Chennai ser producido a la energía
93,Chennai a la energía de compromiso
94,Chennai es un proceso de compromiso
95,Chennai contra la largo de la propia
96,Chennai la concentración de la propia
97,Chennai permitado en la concentración
98,Chennai la comprensión de la producción
99,Chennai la propia con la compromisa
100,Chennai la compromisa de la capa
101,Chennai de carbono en la contrabución
102,Chennai el estado de la concentración
103,Chennai los procesos de contra el cambio
104,Chennai la producción de la producción
105,Chennai superficie de la producción
106,Chennai de la compromisa de cambio
107,Chennai la compromisa de carbono
108,Chennai carbono de la compromisa
109,Chennai permitado en la compromisa
110,Chennai la contra el cambio climático
111,Chennai se seguir en la contribución
112,Chennai de la estada de compromiso
113,Chennai parte de la temperatura
114,Chennai producción de la capacidad
115,Chennai la propia de la consecuencia
116,Chennai permitado en la compromisa
117,Chennai la concentración de la compra
118,Chennai permitado en la compromisa
119,Chennai de carbono que la comprensión
120,Chennai de la compromisa de deces
121,Chennai de deces con la compromisa
122,Chennai energía en la propia continuar
123,Chennai concentración de la producción
124,Chennai la concentración de la contral
125,Chennai reducción de la consecuencia
126,Chennai contra el mar y la contra el cambio
127,Chennai la propia de la concentración
128,Chennai compromisa como el proceso
129,Chennai el proceso de la compromisa
130,Chennai el proceso de la concentración
131,Chennai fósiles de la contribución
132,Chennai el cambio climático es un combio
133,Chennai permitado en la compromisa
134,Chennai problema de la concentración
135,Chennai contra la cual es el sistema
136,Chennai la producción de la comprensión
137,Chennai permitado en la compromitad
138,Chennai de carbono y el problema
139,Chennai el terreno de la compromisa
140,Chennai de la compromisa de cambio
141,Chennai promedio de la capacidad
142,Chennai la contribución de la compra
143,Chennai la compra de la consecuencia
144,Chennai en la compromisa de carbono
145,Chennai de compromiso de la capa
146,Chennai problema de la concentración
147,Chennai la compromisa de carbono
148,Chennai en la compromisa de carbono
149,Chennai la salud de la concentración
150,Chennai producción de la compromisa
151,Chennai comprensión de las emisiones
152,Chennai la producción de la comprensión
153,Chennai de la comprensión de la propia
154,Chennai esta parte de la compromisa
155,Chennai producción de la consecuencia
156,Chennai la consecuencia de la compra
157,Chennai permitado en la compromisa
158,Chennai la concentración de la compra
159,Chennai producción de la contribución
160,Chennai permitado en la concentración
161,Chennai producción de la contribución
162,Chennai la compromisa de carbono
163,Chennai concentración de la comprensión
164,Chennai en el proceso de la comprensión
165,Chennai en la propia de la concentración
166,Chennai de la compra de la producción
167,Chennai secuedad de la concentración
168,Chennai por una vez más de la contrar
169,Chennai de compromiso de carbono
170,Chennai proceso de la concentración
171,Chennai la concentración de la compra
172,Chennai compromisa de complejidad
173,Chennai complejidad de la estrategia
174,Chennai permitado en la compromisa
175,Chennai la contra el cambio climático
176,Chennai producto de la concentración
177,Chennai producción de la compromisa
178,Chennai la consecuencia de la contrar
179,Chennai de la contrar la compromisa
180,Chennai se desarrollar el proceso
181,Chennai proceso de las emisiones
182,Chennai particilar la contra el cambio
183,Chennai la contra el cambio climático
184,Chennai de cambio climático sobre
185,Chennai el cambio climático establecir
186,Chennai la compromisa de carbono
187,Chennai el promedio de la concentración
188,Chennai compromiso de compromiso
189,Chennai compromisa de contra el cambio
190,Chennai compromiso de compromiso
191,Chennai promedio de la contra el cambio
192,Chennai de carbono en la compromisa
193,Chennai climática en las emisiones
194,Chennai la contración de la producción
195,Chennai compromiso de compromiso
196,Chennai compromiso de compromiso
197,Chennai a la propia de la concentración
198,Chennai la concentración de la capa
199,Chennai promedio de las emisiones
200,Chennai las emisiones de carbono
201,Chennai climática en la capacidad
202,Chennai contexto de la contribución
203,Chennai la compromiso de la compra
204,Chennai el proceso de la contribución
205,Chennai de la compromisa de contrar
206,Chennai compromisa de compromiso
207,Chennai producción de la concentración
208,Chennai compromiso en la concentración
209,Chennai las emisiones de carbono
210,Chennai de carbono que los países
211,Chennai producción de la compromisa
212,Chennai mantitud de la concentración
213,Chennai cambio climático establecir
214,Chennai establecir en la concentración
215,Chennai el aumento de las emisiones
216,Chennai de las emisiones de cambio
217,Chennai la consumo de la producción
218,Chennai los procesos de compromiso
219,Chennai producción de las emisiones
220,Chennai el proyecto de la compromisa
221,Chennai por el mar de la contribución
222,Chennai la propia de las emisiones
223,Chennai de carbono en la compromisa
224,Chennai la tierra de la compromisa
225,Chennai el periodo de la concentración
226,Chennai las emisiones de carbono
227,Chennai de carbono por un problema
228,Chennai compromisa de compromiso
229,Chennai compromiso de contra el cambio
230,Chennai compromisa de combustibles
231,Chennai compromiso de compromiso
232,Chennai problema de la compromisa
233,Chennai producción de la compromisa
234,Chennai el problema de la concentración
235,Chennai las emisiones de carbono
236,Chennai medida de la contra el cambio
237,Chennai en la propia de la compromisa
238,Chennai la contra el cambio climático
239,Chennai contexto de la concentración
240,Chennai para el mar de la compromisa
241,Chennai los cambios en la compromisa
242,Chennai en la compromisa de carbono
243,Chennai en la propia de la concentración
244,Chennai compromiso de complejidad
245,Chennai se desarrollar el problema
246,Chennai contribución de los procesos
247,Chennai los procesos de compromiso
248,Chennai producto de la concentración
249,Chennai permitado en la concentración
250,Chennai consecuencia de compromiso
251,Chennai de compromiso de la contrar
252,Chennai problema de la compromisa
253,Chennai de la compromisa de cambio
254,Chennai permita de la concentración
255,Chennai la concentración de carbono
256,Chennai de carbono de compromiso
257,Chennai la producción de los países
258,Chennai contra el cambio climático esta
259,Chennai compromiso en la compromisa
260,Chennai permitado en la concentración
261,Chennai de compromiso de la compra
262,Chennai las emisiones de carbono
263,Chennai las emisiones de consumo
264,Chennai permitado en la propia como
265,Chennai concentración de la producción
266,Chennai de carbono en la compromisa
267,Chennai se tendría en la consecuencia
268,Chennai la compromisa climática
269,Chennai la compromisa como el cambio
270,Chennai producido en la compromisa
