,endecasílabo
0,Chicago permitado en la atmósfera
1,Chicago en el proyecto de la tierra
2,Chicago de carbono a la producción
3,Chicago problema de compromiso
4,Chicago modelos de compromiso
5,Chicago contribución de la propia
6,Chicago entre el mar de la concentración
7,Chicago carbono en la concentración
8,Chicago menos de la consecuencia
9,Chicago parte de la concentración
10,Chicago parte de la concentración
11,Chicago mundial de la concentración
12,Chicago contribución de la compra
13,Chicago mayor parte de la salud
14,Chicago marca de la concentración
15,Chicago mayor en la compromisa
16,Chicago climático como el cambio
17,Chicago como el cambio climático
18,Chicago producto en la compromisa
19,Chicago el petróleo y la propia
20,Chicago marco de la concentración
21,Chicago climático en la atmósfera
22,Chicago está contra la compromica
23,Chicago marca de la concentración
24,Chicago parte de la contra el cambio
25,Chicago política en la producción
26,Chicago climática y el cambio
27,Chicago carbono en la compromisa
28,Chicago propia de la concentración
29,Chicago contra el cambio climático
30,Chicago contra el cambio climático
31,Chicago el cambio climático sobre
32,Chicago menos de la compromisa
33,Chicago la compra de compromiso
34,Chicago marco de la concentración
35,Chicago la comprar en la producción
36,Chicago por el contral de la propia
37,Chicago el contral de la propia contra
38,Chicago en el proceso de la propia
39,Chicago la contrar con la estrategia
40,Chicago permitado de la propia
41,Chicago de la propia climática
42,Chicago para el cambio climático
43,Chicago contra el cambio climático
44,Chicago el cambio climático sobre
45,Chicago la producción de la compra
46,Chicago permitado de la compra
47,Chicago parte de la compromisa
48,Chicago emisiones de contra el cambio
49,Chicago la propia de contra el cambio
50,Chicago producirá a la energía
51,Chicago el proyecto de la actualidad
52,Chicago permitado de la propia
53,Chicago de la propia contra el cambio
54,Chicago menos de la concentración
55,Chicago permitado por la propia
56,Chicago el contrado en la compromisa
57,Chicago parte de la compromisa
58,Chicago en la propia de la comprensión
59,Chicago contra el cambio climático
60,Chicago contra el cambio climático
61,Chicago menos precipitaciones
62,Chicago permita de la producción
63,Chicago la capa de compromiso
64,Chicago de contra la compromisa
65,Chicago menos de la compromisa
66,Chicago por el mar en la producción
67,Chicago permita en la compromisa
68,Chicago la producción de la compra
69,Chicago contra el cambio climático
70,Chicago permitado de la estado
71,Chicago producido a la energía
72,Chicago el proceso de compromiso
73,Chicago parte de la contra el cambio
74,Chicago de contra la compromisa
75,Chicago la contrar la compromisa
76,Chicago comprensión de la producción
77,Chicago propia con la compromisa
78,Chicago permita en la compromisa
79,Chicago por el cambio climático
80,Chicago problema de la producción
81,Chicago parte de la compromisa
82,Chicago la propia de la comprensión
83,Chicago el mercado de la producción
84,Chicago permitado en la producción
85,Chicago seguir en la contribución
86,Chicago la estada de compromiso
87,Chicago parte de la concentración
88,Chicago la propia como el problema
89,Chicago problema con la atmósfera
90,Chicago carbono que la comprensión
91,Chicago la compromisa de deces
92,Chicago deces con la compromisa
93,Chicago se producirá en la propia
94,Chicago en la propia de compromiso
95,Chicago manor en la compromisa
96,Chicago modelo de la producción
97,Chicago el cambio climático sobre
98,Chicago la energía necesaria
99,Chicago los combustibles fósiles
100,Chicago la propia como el estado
101,Chicago compromiso de carbono
102,Chicago carbono y el problema
103,Chicago la energía contra el cambio
104,Chicago contribución de la compra
105,Chicago se esta mayor producida
106,Chicago compromiso de la capa
107,Chicago el contrado en la compromisa
108,Chicago producto a las emisiones
109,Chicago la propia de los procesos
110,Chicago el contrado en la concentración
111,Chicago segundo de la producción
112,Chicago la comprensión de la propia
113,Chicago a la propia de compromiso
114,Chicago permitado en la comprensión
115,Chicago parte de la concentración
116,Chicago parte de la compromisa
117,Chicago climático en la producción
118,Chicago parte de la compromisa
119,Chicago el proceso de la comprensión
120,Chicago la producción de la compra
121,Chicago la compra de la producción
122,Chicago menos de la compromisa
123,Chicago marco de la concentración
124,Chicago menos en la concentración
125,Chicago ser estado a la producción
126,Chicago contra el cambio climático
127,Chicago los procesos de carbono
128,Chicago seguridad establecir
129,Chicago parte de la contribución
130,Chicago parte de la compromisa
131,Chicago consecuencia de la contrar
132,Chicago la contrar la compromisa
133,Chicago en la producción de la capa
134,Chicago en la cumbre de la actualidad
135,Chicago la compra de la estructura
136,Chicago contra el cambio climático
137,Chicago de la compra de consumo
138,Chicago la compromisa de cambio
139,Chicago por el cambio climático
140,Chicago permitado en el promedio
141,Chicago la estado de la comprensión
142,Chicago se desarrollar la estada
143,Chicago mercado de la energía
144,Chicago carbono en la compromisa
145,Chicago menos de la concentración
146,Chicago permitado en la producción
147,Chicago contración de la producción
148,Chicago el contral de la concentración
149,Chicago de todo la contra el cambio
150,Chicago menos de la concentración
151,Chicago contra el cambio climático
