,verse,terminacion
0,Christchurch del proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Christchurch aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
2,Christchurch países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
3,Christchurch los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
4,Christchurch partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
5,Christchurch de los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
6,Christchurch para marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
7,Christchurch contonce más el peligro,"[<'pe':cV>, <'li':cv>, <'gro':ccV>]"
8,Christchurch las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Christchurch de la biosfera de precios,"[<'pre':ccV>, <'cios':cvVs>]"
10,Christchurch de la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
11,Christchurch sa amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Christchurch a el mismo para la salud,"[<'sa':sV>, <'lud':cvc>]"
13,Christchurch un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
14,Christchurch ndia de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
15,Christchurch el consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
16,Christchurch el calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
17,Christchurch contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
18,Christchurch guardo estado a la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
19,Christchurch a la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
20,Christchurch a la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
21,Christchurch la actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
22,Christchurch es de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
23,Christchurch el aumento del madida,"[<'ma':cV>, <'di':cv>, <'da':cV>]"
24,Christchurch diración de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
25,Christchurch n el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
26,Christchurch me considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
27,Christchurch al siglo xx los estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
28,Christchurch los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
29,Christchurch se desalian el especie,"[<'es':Vs>, <'pe':cV>, <'cie':cvV>]"
30,Christchurch especie de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
31,Christchurch ir el estado de cumbre,"[<'cum':cvc>, <'bre':ccV>]"
32,Christchurch correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
33,Christchurch para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
34,Christchurch y los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
35,Christchurch la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
36,Christchurch de los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
37,Christchurch de calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
38,Christchurch la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
39,Christchurch contribución en la esta alla,"[<'a':V>, <'lla':ccV>]"
40,Christchurch salia del calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
41,Christchurch que los neoliberales,"[<'ne':cV>, <'o':V>, <'li':cv>, <'be':cV>, <'ra':cV>, <'les':cVs>]"
42,Christchurch la aperación de la centra,"[<'cen':cVc>, <'tra':ccV>]"
43,Christchurch pertinente con la reda,"[<'re':cV>, <'da':cV>]"
44,Christchurch la reda de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
45,Christchurch de la cantidad de tiempo,"[<'tiem':cvVc>, <'po':cV>]"
46,Christchurch los procesos de la inversión,"[<'in':vc>, <'ver':cVc>, <'sión':svVc>]"
47,Christchurch el amor con los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
48,Christchurch e se se puede ser tener,"[<'te':cV>, <'ner':cVc>]"
49,Christchurch amor para que se poner,"[<'po':cV>, <'ner':cVc>]"
50,Christchurch el consumo de un recurso,"[<'re':cV>, <'cur':cvc>, <'so':sV>]"
51,Christchurch de la oriente climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
52,Christchurch la temperatura medio,"[<'me':cV>, <'dio':cvV>]"
53,Christchurch medio albiente con su fecha,"[<'fec':cVc>, <'ha':cV>]"
54,Christchurch los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
55,Christchurch por el paso de la guerra,"[<'gue':cvV>, <'rra':ccV>]"
56,Christchurch escala de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
57,Christchurch la forma de casa informe,"[<'in':vc>, <'for':cVc>, <'me':cV>]"
58,Christchurch el consumo de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
59,Christchurch r para mayor aumento,"[<'au':Vv>, <'men':cVc>, <'to':cV>]"
60,Christchurch se podría energética,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'ca':cV>]"
61,Christchurch y las oficinas para,"[<'pa':cV>, <'ra':cV>]"
62,Christchurch marcha de la mayoría,"[<'ma':cV>, <'yo':cV>, <'rí':cV>, <'a':V>]"
63,Christchurch la mayoría del control,"[<'con':cVc>, <'trol':ccVc>]"
64,Christchurch con bien en el correcionar,"[<'co':cV>, <'rre':ccV>, <'cio':cvV>, <'nar':cVc>]"
65,Christchurch o de los comparaciones,"[<'com':cVc>, <'pa':cV>, <'ra':cV>, <'cio':cvV>, <'nes':cVs>]"
66,Christchurch los comparaciones de esta,"[<'es':Vs>, <'ta':cV>]"
67,Christchurch a por consumidor para,"[<'pa':cV>, <'ra':cV>]"
68,Christchurch el siglo xx que los partes,"[<'par':cVc>, <'tes':cVs>]"
69,Christchurch de las pautas de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
70,Christchurch utica de la pertida,"[<'per':cVc>, <'ti':cv>, <'da':cV>]"
71,Christchurch la pertida de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
72,Christchurch decientes energéticos,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'cos':cVs>]"
73,Christchurch se puede ser concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
74,Christchurch ser concentración del caso,"[<'ca':cV>, <'so':sV>]"
75,Christchurch de la tierra en contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
76,Christchurch el estema de consumo,"[<'con':cVc>, <'su':sv>, <'mo':cV>]"
77,Christchurch consumo con el estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
78,Christchurch concentración de los medios,"[<'me':cV>, <'dios':cvVs>]"
79,Christchurch la manor aliminación,"[<'a':V>, <'li':cv>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
80,Christchurch que se hace la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
81,Christchurch disponibles contribuyen,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'yen':cVc>]"
82,Christchurch el aumento del problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
83,Christchurch a primer calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
84,Christchurch que están en el medio ambiente,"[<'am':Vc>, <'bien':cvVc>, <'te':cV>]"
85,Christchurch lización de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
86,Christchurch proceso de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
87,Christchurch e la tierra y contención,"[<'con':cVc>, <'ten':cVc>, <'ción':cvVc>]"
88,Christchurch y contención de los partes,"[<'par':cVc>, <'tes':cVs>]"
89,Christchurch la actividad de las gases,"[<'ga':cV>, <'ses':sVs>]"
90,Christchurch sociedad de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
91,Christchurch ista disculpa en la lado,"[<'la':cV>, <'do':cV>]"
92,Christchurch ró el mismo de los asuntos,"[<'a':V>, <'sun':svc>, <'tos':cVs>]"
93,Christchurch la previsión de los medios,"[<'me':cV>, <'dios':cvVs>]"
94,Christchurch de carbono e internacional,"[<'in':vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nal':cVc>]"
95,Christchurch el problema de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
96,Christchurch e del gas de los altimos,"[<'al':Vc>, <'ti':cv>, <'mos':cVs>]"
