,endecasílabo
0,Christchurch permitado en la atmósfera
1,Christchurch esta mayor política
2,Christchurch de carbono a la producción
3,Christchurch problema de compromiso
4,Christchurch modelos de compromiso
5,Christchurch esta mayor producida
6,Christchurch contribución de la propia
7,Christchurch carbono en la concentración
8,Christchurch menos de la consecuencia
9,Christchurch parte de la concentración
10,Christchurch parte de la concentración
11,Christchurch mundial de la concentración
12,Christchurch contribución de la compra
13,Christchurch el problema de reducir
14,Christchurch mayor parte de la salud
15,Christchurch estado como la propia
16,Christchurch marca de la concentración
17,Christchurch mayor en la compromisa
18,Christchurch climático como el cambio
19,Christchurch como el cambio climático
20,Christchurch producto en la compromisa
21,Christchurch en la salud de la contrar
22,Christchurch marco de la concentración
23,Christchurch climático en la atmósfera
24,Christchurch el cambio climático está
25,Christchurch esta esta mayor producción
26,Christchurch marca de la concentración
27,Christchurch parte de la contra el cambio
28,Christchurch política en la producción
29,Christchurch climática y el cambio
30,Christchurch al menos de la comprensión
31,Christchurch carbono en la compromisa
32,Christchurch propia de la concentración
33,Christchurch contra el cambio climático
34,Christchurch el cambio climático esta
35,Christchurch estado en la concentración
36,Christchurch contra el cambio climático
37,Christchurch menos de la compromisa
38,Christchurch la compra de compromiso
39,Christchurch marco de la concentración
40,Christchurch la comprar en la producción
41,Christchurch por el contral de la propia
42,Christchurch la contrar con la estrategia
43,Christchurch permitado de la propia
44,Christchurch de la propia climática
45,Christchurch para el cambio climático
46,Christchurch contra el cambio climático
47,Christchurch estado en la consecuencia
48,Christchurch la producción de la compra
49,Christchurch permitado de la compra
50,Christchurch parte de la compromisa
51,Christchurch estado su proporciona
52,Christchurch la propia de contra el cambio
53,Christchurch producirá a la energía
54,Christchurch en las contrabulidades
55,Christchurch permitado de la propia
56,Christchurch de la propia contra el cambio
57,Christchurch menos de la concentración
58,Christchurch permitado por la propia
59,Christchurch a la contra el combustible
60,Christchurch parte de la compromisa
61,Christchurch e la mayor actividad
62,Christchurch contra el cambio climático
63,Christchurch contra el cambio climático
64,Christchurch menos precipitaciones
65,Christchurch permita de la producción
66,Christchurch la capa de compromiso
67,Christchurch en la propia compromiso
68,Christchurch de contra la compromisa
69,Christchurch estado sobre la propia
70,Christchurch menos de la compromisa
71,Christchurch por el mar en la producción
72,Christchurch permita en la compromisa
73,Christchurch la producción de la compra
74,Christchurch contra el cambio climático
75,Christchurch permitado de la estado
76,Christchurch producido a la energía
77,Christchurch parte de la contra el cambio
78,Christchurch de contra la compromisa
79,Christchurch la contrar la compromisa
80,Christchurch comprensión de la producción
81,Christchurch propia con la compromisa
82,Christchurch permita en la compromisa
83,Christchurch por el cambio climático
84,Christchurch problema de la producción
85,Christchurch estado en la concentración
86,Christchurch parte de la compromisa
87,Christchurch la propia de la comprensión
88,Christchurch permitado en la producción
89,Christchurch seguir en la contribución
90,Christchurch la estada de compromiso
91,Christchurch parte de la concentración
92,Christchurch la propia como el problema
93,Christchurch problema con la atmósfera
94,Christchurch el contrado de carbono
95,Christchurch carbono que la comprensión
96,Christchurch la compromisa de deces
97,Christchurch deces con la compromisa
98,Christchurch se producirá en la propia
99,Christchurch esta mayor contra el cambio
100,Christchurch manor en la compromisa
101,Christchurch estado en la compromisa
102,Christchurch el mar y la contra el cambio
103,Christchurch modelo de la producción
104,Christchurch la energía necesaria
105,Christchurch los combustibles fósiles
106,Christchurch la propia como el estado
107,Christchurch a la capa de la compra
108,Christchurch compromiso de carbono
109,Christchurch carbono y el problema
110,Christchurch la energía contra el cambio
111,Christchurch contribución de la compra
112,Christchurch se esta mayor producida
113,Christchurch compromiso de la capa
114,Christchurch producto a las emisiones
115,Christchurch la propia de los procesos
116,Christchurch estado en la concentración
117,Christchurch segundo de la producción
118,Christchurch la comprensión de la propia
119,Christchurch permitado en la comprensión
120,Christchurch en el cambio climático
121,Christchurch el cambio climático esta
122,Christchurch parte de la concentración
123,Christchurch parte de la compromisa
124,Christchurch climático en la producción
125,Christchurch parte de la compromisa
126,Christchurch la producción de la compra
127,Christchurch la compra de la producción
128,Christchurch menos de la compromisa
129,Christchurch una vez más de la contrar
130,Christchurch marco de la concentración
131,Christchurch menos en la concentración
132,Christchurch ser estado a la producción
133,Christchurch contra el cambio climático
134,Christchurch los procesos de carbono
135,Christchurch seguridad establecir
136,Christchurch parte de la contribución
137,Christchurch parte de la compromisa
138,Christchurch a la propia contra el cambio
139,Christchurch consecuencia de la contrar
140,Christchurch la contrar la compromisa
141,Christchurch la compra de la estructura
142,Christchurch contra el cambio climático
143,Christchurch de la compra de consumo
144,Christchurch la compromisa de cambio
145,Christchurch por el cambio climático
146,Christchurch permitado en el promedio
147,Christchurch la estado de la comprensión
148,Christchurch estado se desarrollar
149,Christchurch se desarrollar la estada
150,Christchurch mercado de la energía
151,Christchurch estado en la contribución
152,Christchurch carbono en la compromisa
153,Christchurch menos de la concentración
154,Christchurch permitado en la producción
155,Christchurch contración de la producción
156,Christchurch de todo la contra el cambio
157,Christchurch menos de la concentración
158,Christchurch estado en la compromisa
159,Christchurch contra el cambio climático
160,Christchurch la comprensión de la compra
161,Christchurch la producción de la compra
162,Christchurch parte de la concentración
163,Christchurch menos de la concentración
164,Christchurch proceso de esta producción
165,Christchurch proceso de compromiso
166,Christchurch sin embargo se producir
167,Christchurch contra el mar en la atmósfera
168,Christchurch de compromiso de contra
169,Christchurch contra la temperatura
170,Christchurch menos de la concentración
171,Christchurch carbono que los países
172,Christchurch la producción de la mayor
173,Christchurch problema de la producción
174,Christchurch de compromiso de contra
175,Christchurch menos de la contribución
176,Christchurch por el cambio climático
177,Christchurch climático y la propia
178,Christchurch de compromiso de carbón
179,Christchurch carbono en la compromisa
180,Christchurch permitado de la tierra
181,Christchurch emisiones de carbono
182,Christchurch carbono por un problema
183,Christchurch estado en la contra el cambio
184,Christchurch de combustibles fósiles
185,Christchurch producto en la concentración
186,Christchurch proceso de compromiso
187,Christchurch esta mayor producida
188,Christchurch estado en la compromisa
189,Christchurch contra el cambio climático
190,Christchurch medida de compromiso
191,Christchurch la estado de la comprensión
192,Christchurch parte de la comprendencia
193,Christchurch estado en la concentración
194,Christchurch el mar de la contribución
195,Christchurch la comprensión de la compra
196,Christchurch de la compra de carbono
197,Christchurch proceso de compromiso
198,Christchurch estado con la atmósfera
199,Christchurch estado se desarrollar
200,Christchurch desarrollar el problema
201,Christchurch un contrado en el contexto
202,Christchurch compromiso de la contrar
203,Christchurch la compromisa de cambio
204,Christchurch estado en la concentración
205,Christchurch estado de contra el cambio
206,Christchurch el que producir el cambio
207,Christchurch en la ciencia de la contrar
208,Christchurch contra el cambio climático
209,Christchurch el cambio climático esta
210,Christchurch en la contrar los contrales
211,Christchurch segundo contra la propia
212,Christchurch actual de la contra el cambio
213,Christchurch la propia de compromiso
