,verse,terminacion
0,Ciudad Juárez proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Ciudad Juárez en la recursosidad,"[<'re':cV>, <'cur':cvc>, <'so':sV>, <'si':sv>, <'dad':cVc>]"
2,Ciudad Juárez de entre el parto del mismo,"[<'mis':cvs>, <'mo':cV>]"
3,Ciudad Juárez ural de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
4,Ciudad Juárez los países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
5,Ciudad Juárez los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
6,Ciudad Juárez la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
7,Ciudad Juárez as en el sistema almo,"[<'al':Vc>, <'mo':cV>]"
8,Ciudad Juárez nte de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
9,Ciudad Juárez márido de la carta,"[<'car':cVc>, <'ta':cV>]"
10,Ciudad Juárez es un siglo xx estos,"[<'es':Vs>, <'tos':cVs>]"
11,Ciudad Juárez de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
12,Ciudad Juárez consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
13,Ciudad Juárez de la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
14,Ciudad Juárez calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
15,Ciudad Juárez las nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Ciudad Juárez la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
17,Ciudad Juárez la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
18,Ciudad Juárez te de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
19,Ciudad Juárez de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
20,Ciudad Juárez ntuad para diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
21,Ciudad Juárez es el mercado pero,"[<'pe':cV>, <'ro':cV>]"
22,Ciudad Juárez de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
23,Ciudad Juárez es de algunos países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
24,Ciudad Juárez compensario a la intersión,"[<'in':vc>, <'ter':cVc>, <'sión':svVc>]"
25,Ciudad Juárez carbona en la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
26,Ciudad Juárez e la nueva alta al nivel,"[<'ni':cv>, <'vel':cVc>]"
27,Ciudad Juárez en la inercia de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
28,Ciudad Juárez re en la emisión de todos,"[<'to':cV>, <'dos':cVs>]"
29,Ciudad Juárez el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
30,Ciudad Juárez considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
31,Ciudad Juárez lo que hay que se viere,"[<'vie':cvV>, <'re':cV>]"
32,Ciudad Juárez el estado de cumbre,"[<'cum':cvc>, <'bre':ccV>]"
33,Ciudad Juárez de cumbre de la ommera,"[<'om':Vc>, <'me':cV>, <'ra':cV>]"
34,Ciudad Juárez en la contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
35,Ciudad Juárez de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
36,Ciudad Juárez los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
37,Ciudad Juárez los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
38,Ciudad Juárez calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
39,Ciudad Juárez e medidas permiten,"[<'per':cVc>, <'mi':cv>, <'ten':cVc>]"
40,Ciudad Juárez permiten de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
41,Ciudad Juárez de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
42,Ciudad Juárez contribución en la esta,"[<'es':Vs>, <'ta':cV>]"
43,Ciudad Juárez de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
44,Ciudad Juárez los neoliberales,"[<'ne':cV>, <'o':V>, <'li':cv>, <'be':cV>, <'ra':cV>, <'les':cVs>]"
45,Ciudad Juárez io de la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
46,Ciudad Juárez timo en la sopirticad,"[<'so':sV>, <'pir':cvc>, <'ti':cv>, <'cad':cVc>]"
47,Ciudad Juárez general del progreso,"[<'pro':ccV>, <'gre':ccV>, <'so':sV>]"
48,Ciudad Juárez se se puede ser tener,"[<'te':cV>, <'ner':cVc>]"
49,Ciudad Juárez umbre al calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
50,Ciudad Juárez ado de la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
51,Ciudad Juárez en la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
52,Ciudad Juárez de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
53,Ciudad Juárez s de esta poderpera,"[<'po':cV>, <'der':cVc>, <'pe':cV>, <'ra':cV>]"
54,Ciudad Juárez n las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
55,Ciudad Juárez la lucha de ser alta,"[<'al':Vc>, <'ta':cV>]"
56,Ciudad Juárez el paso de la guerra,"[<'gue':cvV>, <'rra':ccV>]"
57,Ciudad Juárez ente a la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
58,Ciudad Juárez de las temperaturas,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ras':cVs>]"
59,Ciudad Juárez ición de su procisa,"[<'pro':ccV>, <'ci':cv>, <'sa':sV>]"
60,Ciudad Juárez por la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
61,Ciudad Juárez e que se pode para,"[<'pa':cV>, <'ra':cV>]"
62,Ciudad Juárez a un forzamiento también,"[<'tam':cVc>, <'bién':cvVc>]"
63,Ciudad Juárez de la forma de casa,"[<'ca':cV>, <'sa':sV>]"
64,Ciudad Juárez consumo de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
65,Ciudad Juárez de emisiones de gases,"[<'ga':cV>, <'ses':sVs>]"
66,Ciudad Juárez se desarrollan casa,"[<'ca':cV>, <'sa':sV>]"
67,Ciudad Juárez e a mucha marca descual,"[<'des':cVs>, <'cual':cvVc>]"
68,Ciudad Juárez para mayor aumento,"[<'au':Vv>, <'men':cVc>, <'to':cV>]"
69,Ciudad Juárez del mar de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
70,Ciudad Juárez consideración para,"[<'pa':cV>, <'ra':cV>]"
71,Ciudad Juárez inda de las palieras,"[<'pa':cV>, <'lie':cvV>, <'ras':cVs>]"
72,Ciudad Juárez cuentia de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
73,Ciudad Juárez podría energética,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'ca':cV>]"
74,Ciudad Juárez a los interseñores,"[<'in':vc>, <'ter':cVc>, <'se':sV>, <'ño':cV>, <'res':cVs>]"
75,Ciudad Juárez las oficinas para,"[<'pa':cV>, <'ra':cV>]"
76,Ciudad Juárez bien en el correcionar,"[<'co':cV>, <'rre':ccV>, <'cio':cvV>, <'nar':cVc>]"
77,Ciudad Juárez de los comparaciones,"[<'com':cVc>, <'pa':cV>, <'ra':cV>, <'cio':cvV>, <'nes':cVs>]"
78,Ciudad Juárez comparaciones de esta,"[<'es':Vs>, <'ta':cV>]"
79,Ciudad Juárez por consumidor para,"[<'pa':cV>, <'ra':cV>]"
80,Ciudad Juárez siglo xx que los partes,"[<'par':cVc>, <'tes':cVs>]"
81,Ciudad Juárez los combustibles fueron,"[<'fue':cvV>, <'ron':cVc>]"
82,Ciudad Juárez entarión de las pautas,"[<'pau':cVv>, <'tas':cVs>]"
83,Ciudad Juárez las pautas de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
84,Ciudad Juárez energéticos entre,"[<'en':Vc>, <'tre':ccV>]"
85,Ciudad Juárez puede ser concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
86,Ciudad Juárez concentración del caso,"[<'ca':cV>, <'so':sV>]"
87,Ciudad Juárez se se contenta el marco,"[<'mar':cVc>, <'co':cV>]"
88,Ciudad Juárez así como un problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
89,Ciudad Juárez s de la contratuira,"[<'con':cVc>, <'tra':ccV>, <'tui':cvv>, <'ra':cV>]"
90,Ciudad Juárez consecuencia del clima,"[<'cli':ccv>, <'ma':cV>]"
91,Ciudad Juárez del clima de modelos,"[<'mo':cV>, <'de':cV>, <'los':cVs>]"
92,Ciudad Juárez aumento del problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
93,Ciudad Juárez primer calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
94,Ciudad Juárez calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
95,Ciudad Juárez global de la estudida,"[<'es':Vs>, <'tu':cv>, <'di':cv>, <'da':cV>]"
96,Ciudad Juárez ientia de la previsión,"[<'pre':ccV>, <'vi':cv>, <'sión':svVc>]"
97,Ciudad Juárez e de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
98,Ciudad Juárez la tierra y contención,"[<'con':cVc>, <'ten':cVc>, <'ción':cvVc>]"
99,Ciudad Juárez contención de los partes,"[<'par':cVc>, <'tes':cVs>]"
100,Ciudad Juárez ente de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
101,Ciudad Juárez de las gases de efecto,"[<'e':V>, <'fec':cVc>, <'to':cV>]"
102,Ciudad Juárez mente de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
103,Ciudad Juárez de la población están,"[<'es':Vs>, <'tán':cVc>]"
104,Ciudad Juárez previsión de los medios,"[<'me':cV>, <'dios':cvVs>]"
105,Ciudad Juárez carbono e internacional,"[<'in':vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nal':cVc>]"
106,Ciudad Juárez problema de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
107,Ciudad Juárez del gas de los altimos,"[<'al':Vc>, <'ti':cv>, <'mos':cVs>]"
108,Ciudad Juárez de los altimos o antes,"[<'an':Vc>, <'tes':cVs>]"
109,Ciudad Juárez ico de los alternos,"[<'al':Vc>, <'ter':cVc>, <'nos':cVs>]"
110,Ciudad Juárez los alternos de especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
111,Ciudad Juárez idente en los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
112,Ciudad Juárez es puedo estar la salud,"[<'sa':sV>, <'lud':cvc>]"
113,Ciudad Juárez ente de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
114,Ciudad Juárez el estado por algo,"[<'al':Vc>, <'go':cV>]"
115,Ciudad Juárez con el calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
116,Ciudad Juárez s pueden el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
117,Ciudad Juárez el mercado que el amor,"[<'a':V>, <'mor':cVc>]"
118,Ciudad Juárez ima de la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
119,Ciudad Juárez de las países para,"[<'pa':cV>, <'ra':cV>]"
120,Ciudad Juárez que el impacto de un clima,"[<'cli':ccv>, <'ma':cV>]"
121,Ciudad Juárez de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
122,Ciudad Juárez producto a los estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
123,Ciudad Juárez despertar lo que es una,"[<'u':v>, <'na':cV>]"
124,Ciudad Juárez a de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
125,Ciudad Juárez de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
126,Ciudad Juárez cial en los retroposos,"[<'re':cV>, <'tro':ccV>, <'po':cV>, <'sos':sVs>]"
127,Ciudad Juárez del principal responsar,"[<'res':cVs>, <'pon':cVc>, <'sar':sVc>]"
128,Ciudad Juárez tiempo la mayor parte,"[<'par':cVc>, <'te':cV>]"
129,Ciudad Juárez e partir del problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
130,Ciudad Juárez del problema del medio,"[<'me':cV>, <'dio':cvV>]"
131,Ciudad Juárez en la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
132,Ciudad Juárez del nivel del mar de estos,"[<'es':Vs>, <'tos':cVs>]"
133,Ciudad Juárez a la precisión para,"[<'pa':cV>, <'ra':cV>]"
134,Ciudad Juárez esta de los periodos,"[<'pe':cV>, <'rio':cvV>, <'dos':cVs>]"
135,Ciudad Juárez los periodos del pauso,"[<'pau':cVv>, <'so':sV>]"
136,Ciudad Juárez del pauso medio ambiente,"[<'am':Vc>, <'bien':cvVc>, <'te':cV>]"
137,Ciudad Juárez medidas por la emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
138,Ciudad Juárez intencia de agua tantos,"[<'tan':cVc>, <'tos':cVs>]"
139,Ciudad Juárez los países previstos,"[<'pre':ccV>, <'vis':cvs>, <'tos':cVs>]"
140,Ciudad Juárez procesos que permitan,"[<'per':cVc>, <'mi':cv>, <'tan':cVc>]"
141,Ciudad Juárez los efectos fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
142,Ciudad Juárez del mar soda este tiempo,"[<'tiem':cvVc>, <'po':cV>]"
143,Ciudad Juárez de los economistas,"[<'e':V>, <'co':cV>, <'no':cV>, <'mis':cvs>, <'tas':cVs>]"
144,Ciudad Juárez o continua el distinto,"[<'dis':cvs>, <'tin':cvc>, <'to':cV>]"
145,Ciudad Juárez en crecimiento sobre,"[<'so':sV>, <'bre':ccV>]"
146,Ciudad Juárez sobre la diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
147,Ciudad Juárez gran pera de los solor,"[<'so':sV>, <'lor':cVc>]"
148,Ciudad Juárez los solor por el carbón,"[<'car':cVc>, <'bón':cVc>]"
149,Ciudad Juárez calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
150,Ciudad Juárez bar de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
151,Ciudad Juárez de la segunda escala,"[<'es':Vs>, <'ca':cV>, <'la':cV>]"
152,Ciudad Juárez el amor de la capa,"[<'ca':cV>, <'pa':cV>]"
153,Ciudad Juárez interecificación,"[<'in':vc>, <'te':cV>, <'re':cV>, <'ci':cv>, <'fi':cv>, <'ca':cV>, <'ción':cvVc>]"
154,Ciudad Juárez cuenta a los paleares,"[<'pa':cV>, <'le':cV>, <'a':V>, <'res':cVs>]"
155,Ciudad Juárez de la ieversidad dio esta,"[<'es':Vs>, <'ta':cV>]"
156,Ciudad Juárez que el consumo en la mayor,"[<'ma':cV>, <'yor':cVc>]"
157,Ciudad Juárez de calar el informe,"[<'in':vc>, <'for':cVc>, <'me':cV>]"
158,Ciudad Juárez el informe del nivel,"[<'ni':cv>, <'vel':cVc>]"
159,Ciudad Juárez la energía nuclear,"[<'nu':cv>, <'cle':ccV>, <'ar':Vc>]"
160,Ciudad Juárez ivo de la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
161,Ciudad Juárez nada ha muy difícil,"[<'di':cv>, <'fí':cV>, <'cil':cvc>]"
162,Ciudad Juárez de la alta a la antórica,"[<'an':Vc>, <'tó':cV>, <'ri':cv>, <'ca':cV>]"
163,Ciudad Juárez e de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
164,Ciudad Juárez consecuencia del poder,"[<'po':cV>, <'der':cVc>]"
165,Ciudad Juárez del poder de los partes,"[<'par':cVc>, <'tes':cVs>]"
166,Ciudad Juárez gei y el consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
167,Ciudad Juárez de la cumbre del clima,"[<'cli':ccv>, <'ma':cV>]"
