,verse,terminacion
0,Craigieburn proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Craigieburn en la recursosidad,"[<'re':cV>, <'cur':cvc>, <'so':sV>, <'si':sv>, <'dad':cVc>]"
2,Craigieburn de entre el parto del mismo,"[<'mis':cvs>, <'mo':cV>]"
3,Craigieburn ural de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
4,Craigieburn los países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
5,Craigieburn los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
6,Craigieburn la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
7,Craigieburn as en el sistema almo,"[<'al':Vc>, <'mo':cV>]"
8,Craigieburn nte de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
9,Craigieburn márido de la carta,"[<'car':cVc>, <'ta':cV>]"
10,Craigieburn es un siglo xx estos,"[<'es':Vs>, <'tos':cVs>]"
11,Craigieburn de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
12,Craigieburn consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
13,Craigieburn de la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
14,Craigieburn calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
15,Craigieburn las nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Craigieburn la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
17,Craigieburn la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
18,Craigieburn te de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
19,Craigieburn de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
