,endecasílabo
0,Córdoba permitado en la atmósfera
1,Córdoba en el proyecto de la tierra
2,Córdoba de carbono a la producción
3,Córdoba problema de compromiso
4,Córdoba modelos de compromiso
5,Córdoba contribución de la propia
6,Córdoba entre el mar de la concentración
7,Córdoba carbono en la concentración
8,Córdoba menos de la consecuencia
9,Córdoba parte de la concentración
10,Córdoba parte de la concentración
11,Córdoba mundial de la concentración
12,Córdoba contribución de la compra
13,Córdoba mayor parte de la salud
14,Córdoba marca de la concentración
15,Córdoba mayor en la compromisa
16,Córdoba climático como el cambio
17,Córdoba como el cambio climático
18,Córdoba producto en la compromisa
19,Córdoba el petróleo y la propia
20,Córdoba marco de la concentración
21,Córdoba climático en la atmósfera
22,Córdoba está contra la compromica
23,Córdoba marca de la concentración
24,Córdoba parte de la contra el cambio
25,Córdoba política en la producción
26,Córdoba climática y el cambio
27,Córdoba carbono en la compromisa
28,Córdoba propia de la concentración
29,Córdoba contra el cambio climático
30,Córdoba contra el cambio climático
31,Córdoba el cambio climático sobre
32,Córdoba menos de la compromisa
33,Córdoba la compra de compromiso
34,Córdoba marco de la concentración
35,Córdoba la comprar en la producción
36,Córdoba por el contral de la propia
37,Córdoba el contral de la propia contra
38,Córdoba en el proceso de la propia
39,Córdoba la contrar con la estrategia
40,Córdoba permitado de la propia
41,Córdoba de la propia climática
42,Córdoba para el cambio climático
43,Córdoba contra el cambio climático
44,Córdoba el cambio climático sobre
45,Córdoba la producción de la compra
46,Córdoba permitado de la compra
47,Córdoba parte de la compromisa
48,Córdoba emisiones de contra el cambio
49,Córdoba la propia de contra el cambio
50,Córdoba producirá a la energía
51,Córdoba el proyecto de la actualidad
52,Córdoba permitado de la propia
53,Córdoba de la propia contra el cambio
54,Córdoba menos de la concentración
55,Córdoba permitado por la propia
56,Córdoba el contrado en la compromisa
57,Córdoba parte de la compromisa
58,Córdoba en la propia de la comprensión
59,Córdoba contra el cambio climático
60,Córdoba contra el cambio climático
61,Córdoba menos precipitaciones
62,Córdoba permita de la producción
63,Córdoba la capa de compromiso
64,Córdoba de contra la compromisa
65,Córdoba menos de la compromisa
66,Córdoba por el mar en la producción
67,Córdoba permita en la compromisa
68,Córdoba la producción de la compra
69,Córdoba contra el cambio climático
70,Córdoba permitado de la estado
71,Córdoba producido a la energía
72,Córdoba el proceso de compromiso
73,Córdoba parte de la contra el cambio
74,Córdoba de contra la compromisa
75,Córdoba la contrar la compromisa
76,Córdoba comprensión de la producción
77,Córdoba propia con la compromisa
78,Córdoba permita en la compromisa
79,Córdoba por el cambio climático
80,Córdoba problema de la producción
81,Córdoba parte de la compromisa
82,Córdoba la propia de la comprensión
83,Córdoba el mercado de la producción
84,Córdoba permitado en la producción
85,Córdoba seguir en la contribución
86,Córdoba la estada de compromiso
87,Córdoba parte de la concentración
88,Córdoba la propia como el problema
89,Córdoba problema con la atmósfera
90,Córdoba carbono que la comprensión
91,Córdoba la compromisa de deces
92,Córdoba deces con la compromisa
93,Córdoba se producirá en la propia
94,Córdoba en la propia de compromiso
95,Córdoba manor en la compromisa
96,Córdoba modelo de la producción
97,Córdoba el cambio climático sobre
98,Córdoba la energía necesaria
99,Córdoba los combustibles fósiles
100,Córdoba la propia como el estado
101,Córdoba compromiso de carbono
102,Córdoba carbono y el problema
103,Córdoba la energía contra el cambio
104,Córdoba contribución de la compra
105,Córdoba se esta mayor producida
106,Córdoba compromiso de la capa
107,Córdoba el contrado en la compromisa
108,Córdoba producto a las emisiones
109,Córdoba la propia de los procesos
110,Córdoba el contrado en la concentración
111,Córdoba segundo de la producción
112,Córdoba la comprensión de la propia
113,Córdoba a la propia de compromiso
114,Córdoba permitado en la comprensión
115,Córdoba parte de la concentración
116,Córdoba parte de la compromisa
117,Córdoba climático en la producción
118,Córdoba parte de la compromisa
119,Córdoba el proceso de la comprensión
120,Córdoba la producción de la compra
121,Córdoba la compra de la producción
122,Córdoba menos de la compromisa
123,Córdoba marco de la concentración
124,Córdoba menos en la concentración
125,Córdoba ser estado a la producción
126,Córdoba contra el cambio climático
127,Córdoba los procesos de carbono
128,Córdoba seguridad establecir
129,Córdoba parte de la contribución
130,Córdoba parte de la compromisa
131,Córdoba consecuencia de la contrar
132,Córdoba la contrar la compromisa
133,Córdoba en la producción de la capa
134,Córdoba en la cumbre de la actualidad
135,Córdoba la compra de la estructura
136,Córdoba contra el cambio climático
137,Córdoba de la compra de consumo
138,Córdoba la compromisa de cambio
139,Córdoba por el cambio climático
140,Córdoba permitado en el promedio
141,Córdoba la estado de la comprensión
142,Córdoba se desarrollar la estada
143,Córdoba mercado de la energía
144,Córdoba carbono en la compromisa
145,Córdoba menos de la concentración
146,Córdoba permitado en la producción
147,Córdoba contración de la producción
148,Córdoba el contral de la concentración
149,Córdoba de todo la contra el cambio
150,Córdoba menos de la concentración
151,Córdoba contra el cambio climático
152,Córdoba la comprensión de la compra
153,Córdoba la producción de la compra
154,Córdoba parte de la concentración
155,Córdoba menos de la concentración
156,Córdoba proceso de esta producción
157,Córdoba proceso de compromiso
158,Córdoba sin embargo se producir
159,Córdoba contra el mar en la atmósfera
160,Córdoba de compromiso de contra
161,Córdoba contra la temperatura
162,Córdoba menos de la concentración
163,Córdoba carbono que los países
164,Córdoba la producción de la mayor
165,Córdoba problema de la producción
166,Córdoba de compromiso de contra
167,Córdoba menos de la contribución
168,Córdoba por el cambio climático
169,Córdoba climático y la propia
170,Córdoba de compromiso de carbón
171,Córdoba carbono en la compromisa
172,Córdoba permitado de la tierra
173,Córdoba carbono por un problema
174,Córdoba de combustibles fósiles
175,Córdoba producto en la concentración
176,Córdoba proceso de compromiso
177,Córdoba el proyecto en la compromisa
178,Córdoba contra el cambio climático
179,Córdoba medida de compromiso
180,Córdoba la estado de la comprensión
181,Córdoba parte de la comprendencia
182,Córdoba la comprensión de la compra
183,Córdoba de la compra de carbono
184,Córdoba proceso de compromiso
185,Córdoba desarrollar el problema
186,Córdoba compromiso de la contrar
187,Córdoba la compromisa de cambio
188,Córdoba contra el cambio climático
189,Córdoba segundo contra la propia
190,Córdoba la propia de compromiso
191,Córdoba la propia de compromiso
192,Córdoba compromiso de la compra
193,Córdoba de carbono en la atmósfera
194,Córdoba menos en la contribución
195,Córdoba menos en las emisiones
196,Córdoba carbono en la compromisa
197,Córdoba ser producido en la propia
198,Córdoba la energía para el cambio
199,Córdoba a la producción de la propia
200,Córdoba parte de la concentración
201,Córdoba de carbono a la producción
202,Córdoba de compromiso de cambio
203,Córdoba tendría en la consecuencia
204,Córdoba consecuencia de la contrar
205,Córdoba la contrar la concentración
206,Córdoba de contra la contra el cambio
207,Córdoba en la comprensión de la estada
208,Córdoba en el cambio climático esta
209,Córdoba de la propia como contra
210,Córdoba producto en la contra el cambio
211,Córdoba productos de la producción
212,Córdoba propio con la concentración
213,Córdoba de carbono de la propia
214,Córdoba marca de la concentración
215,Córdoba producción de la producción
216,Córdoba contra la compromicado
217,Córdoba la producción de la compra
218,Córdoba países de contra el cambio
219,Córdoba se desarrollar el cambio
220,Córdoba problema de compromiso
221,Córdoba medida de la intersidad
222,Córdoba el proceso de contra el cambio
223,Córdoba conjunto de compromiso
224,Córdoba la producción de la compra
225,Córdoba en la concentración de la actual
226,Córdoba consecuencia de la compren
227,Córdoba la compren de consecuencia
228,Córdoba parte de la contribución
229,Córdoba contra el cambio climático
230,Córdoba compromiso de la mayor
231,Córdoba secuedad de la atmósfera
232,Córdoba la mayor por la producción
233,Córdoba la producción de la compra
234,Córdoba la propia en la compromisa
235,Córdoba contra el cambio climático
236,Córdoba la demanda de la propia
237,Córdoba de la propia contra el cambio
238,Córdoba contra el cambio climático
239,Córdoba la intersidad biológica
240,Córdoba la compromisa continuar
241,Córdoba de la contrar la contración
242,Córdoba el problema de compromiso
243,Córdoba parte de la compromisa
244,Córdoba contra el cambio climático
245,Córdoba contra el cambio climático
246,Córdoba economía necesitad
247,Córdoba parte de la contra el cambio
248,Córdoba permitado en el consumo
249,Córdoba parte de la contra el cambio
250,Córdoba menos de la concentración
251,Córdoba de carbono y la contrar
252,Córdoba compromiso de la propia
253,Córdoba la energía necesaria
254,Córdoba carbono a la compromisa
255,Córdoba en el cambio climático esta
256,Córdoba ser producido en la contral
257,Córdoba parte de la concentración
258,Córdoba compra de la propia como
259,Córdoba el contrado en la propia como
260,Córdoba compromisa contra el cambio
261,Córdoba contra el cambio climático
262,Córdoba el cambio climático sobre
263,Córdoba de compromiso de un medio
264,Córdoba permitan para la compra
265,Córdoba la compra de compromiso
266,Córdoba la propia de la comprensión
267,Córdoba cambio climático sobre
268,Córdoba la propia de compromiso
269,Córdoba marco de la concentración
270,Córdoba la temperatura mundial
271,Córdoba ser producido en la propia
272,Córdoba la propia con la producción
273,Córdoba parte de la concentración
274,Córdoba menos en la compromisa
275,Córdoba en el mar de la contribución
276,Córdoba propuesta en la contrabución
277,Córdoba marco de la concentración
278,Córdoba de carbono y la propia
279,Córdoba el sumento de la demanda
