,endecasílabo
0,Dakar permitado en la compromisa
1,Dakar la concentración de la compra
2,Dakar la concentración de la propia
3,Dakar las procesos de compromiso
4,Dakar de compromiso de carbono
5,Dakar los modelos de compromiso
6,Dakar la concentración de la propia
7,Dakar de la propia de compromiso
8,Dakar ha contral de la concentración
9,Dakar provocado en la compromisa
10,Dakar permitado en la concentración
11,Dakar la propia de la consecuencia
12,Dakar permitado en la compromitad
13,Dakar entre el mar de la concentración
14,Dakar mayor parte de la producción
15,Dakar por el mar de la consecuencia
16,Dakar de carbono en la concentración
17,Dakar a menos de la consecuencia
18,Dakar permitado en la compromisa
19,Dakar la contribución de la compra
20,Dakar producción de la concentración
21,Dakar medida de la concentración
22,Dakar las problemas de compromiso
23,Dakar propia como la contra el cambio
24,Dakar la concentración de la contrar
25,Dakar la capa de la contra el cambio
26,Dakar la compra de la contra el cambio
27,Dakar la contrar con la concentración
28,Dakar permitado en las emisiones
29,Dakar permitado en el petróleo
30,Dakar las emisiones de carbono
31,Dakar carbono y la compromiso
32,Dakar cambio climático está contra
33,Dakar producido en la compromisa
34,Dakar la concentración de la propia
35,Dakar esta contrar la concentración
36,Dakar la compromisa climática
37,Dakar de carbono en la compromisa
38,Dakar permitado en la concentración
39,Dakar la propia de la concentración
40,Dakar producción de la concentración
41,Dakar la concentración de la compra
42,Dakar compromitad de la comprensión
43,Dakar contra el cambio climático esta
44,Dakar las emisiones de carbono
45,Dakar de la compra de compromiso
46,Dakar permitado en la compromiso
47,Dakar producido en la compromisa
48,Dakar de la comprar en la producción
49,Dakar el contral de la propia contra
50,Dakar demanda de la compromisa
51,Dakar compromisa de compromiso
52,Dakar compromiso de compromiso
53,Dakar la conferencia de la estada
54,Dakar estado de la consecuencia
55,Dakar estamos en la concentración
56,Dakar la capacidad de carbono
57,Dakar procesos de la concentración
58,Dakar la compra de la concentración
59,Dakar la capa de las emisiones
60,Dakar estado con la compromisa
61,Dakar problema de la concentración
62,Dakar la concentración de la compra
63,Dakar se producirá a la energía
64,Dakar de la contrar la compromisa
65,Dakar problema de la concentración
66,Dakar la concentración de la propia
67,Dakar el proyecto de la actualidad
68,Dakar compromiso de esta población
69,Dakar la propia de la contribución
70,Dakar de compromiso de carbono
71,Dakar estado con la compromisa
72,Dakar la compromisa de carbono
73,Dakar producción de la concentración
74,Dakar cambio climático es proceso
75,Dakar comprensión de la concentración
76,Dakar la contra el cambio climático
77,Dakar la contra el cambio climático
78,Dakar la propia de la contribución
79,Dakar esta parte de la producción
80,Dakar de los procesos de carbono
81,Dakar la propia de la contribución
82,Dakar permitado en la compromisa
83,Dakar compra de carbono a la propia
84,Dakar ser producido a la energía
85,Dakar el proceso de compromiso
86,Dakar contra la largo de la propia
87,Dakar la concentración de la propia
88,Dakar esta mayor posibilidad
89,Dakar permitado en la concentración
90,Dakar la comprensión de la producción
91,Dakar la propia con la compromisa
92,Dakar la compromisa de la capa
93,Dakar de carbono en la contrabución
94,Dakar los procesos de contra el cambio
95,Dakar la producción de la producción
96,Dakar superficie de la producción
97,Dakar el mercado de la producción
98,Dakar de la compromisa de cambio
99,Dakar la compromisa de carbono
100,Dakar carbono de la compromisa
101,Dakar permitado en la compromisa
102,Dakar la contra el cambio climático
103,Dakar se seguir en la contribución
104,Dakar de la estada de compromiso
105,Dakar parte de la temperatura
106,Dakar producción de la capacidad
107,Dakar estado de la concentración
108,Dakar la propia de la consecuencia
109,Dakar permitado en la compromisa
110,Dakar la concentración de la compra
111,Dakar permitado en la compromisa
112,Dakar de carbono que la comprensión
113,Dakar de la compromisa de deces
114,Dakar de deces con la compromisa
115,Dakar concentración de la producción
116,Dakar estado de la concentración
117,Dakar la concentración de la contral
118,Dakar reducción de la consecuencia
119,Dakar contra el mar y la contra el cambio
120,Dakar la propia de la concentración
121,Dakar compromisa como el proceso
122,Dakar e el cambio climático sobre
123,Dakar en los combustibles fósiles
124,Dakar fósiles de la contribución
125,Dakar permitado en la compromisa
126,Dakar problema de la concentración
127,Dakar contra la cual es el sistema
128,Dakar la producción de la comprensión
129,Dakar permitado en la compromitad
130,Dakar de carbono y el problema
131,Dakar de la compromisa de cambio
132,Dakar promedio de la capacidad
133,Dakar la contribución de la compra
134,Dakar la compra de la consecuencia
135,Dakar de compromiso de la capa
136,Dakar problema de la concentración
137,Dakar esta contra la compromisa
138,Dakar la compromisa de carbono
139,Dakar el contrado en la compromisa
140,Dakar la salud de la concentración
141,Dakar producción de la compromisa
142,Dakar el contrado en la concentración
143,Dakar comprensión de las emisiones
144,Dakar la producción de la comprensión
145,Dakar de la comprensión de la propia
146,Dakar a la propia de compromiso
147,Dakar producción de la consecuencia
148,Dakar la consecuencia de la compra
149,Dakar permitado en la compromisa
150,Dakar la concentración de la compra
151,Dakar en el cambio climático esta
152,Dakar producción de la contribución
153,Dakar permitado en la concentración
154,Dakar producción de la contribución
155,Dakar la compromisa de carbono
156,Dakar estado de la contra el cambio
157,Dakar concentración de la comprensión
158,Dakar a la producción de la compra
159,Dakar de la compra de la producción
160,Dakar secuedad de la concentración
161,Dakar estado de la compromisa
162,Dakar por una vez más de la contrar
163,Dakar de compromiso de carbono
164,Dakar proceso de la concentración
165,Dakar la concentración de la compra
166,Dakar compromisa de complejidad
167,Dakar complejidad de la estrategia
168,Dakar permitado en la compromisa
169,Dakar la contra el cambio climático
170,Dakar producto de la concentración
171,Dakar a los procesos de carbono
172,Dakar establecir la concentración
173,Dakar producción de la compromisa
174,Dakar la consecuencia de la contrar
175,Dakar de la contrar la compromisa
176,Dakar se desarrollar el proceso
177,Dakar proceso de las emisiones
178,Dakar particilar la contra el cambio
179,Dakar la contra el cambio climático
180,Dakar de cambio climático sobre
181,Dakar la compromisa de carbono
182,Dakar compromiso de compromiso
183,Dakar compromisa de contra el cambio
184,Dakar compromiso de compromiso
185,Dakar promedio de la contra el cambio
186,Dakar el mercado de la energía
187,Dakar de carbono en la compromisa
188,Dakar climática en las emisiones
189,Dakar la contración de la producción
190,Dakar compromiso de compromiso
191,Dakar compromiso de compromiso
192,Dakar la concentración de la capa
193,Dakar promedio de las emisiones
194,Dakar las emisiones de carbono
195,Dakar climática en la capacidad
196,Dakar contexto de la contribución
197,Dakar la compromiso de la compra
198,Dakar de la compromisa de contrar
199,Dakar compromisa de compromiso
200,Dakar producción de la concentración
201,Dakar compromiso en la concentración
202,Dakar las emisiones de carbono
203,Dakar de carbono que los países
204,Dakar producción de la compromisa
205,Dakar mantitud de la concentración
206,Dakar cambio climático establecir
207,Dakar de las emisiones de cambio
208,Dakar la consumo de la producción
209,Dakar los procesos de compromiso
210,Dakar producción de las emisiones
211,Dakar por el mar de la contribución
212,Dakar estado de la contribución
213,Dakar la propia de las emisiones
214,Dakar de carbono en la compromisa
215,Dakar la tierra de la compromisa
216,Dakar las emisiones de carbono
217,Dakar de carbono por un problema
218,Dakar compromisa de compromiso
219,Dakar compromiso de contra el cambio
220,Dakar compromisa de combustibles
221,Dakar el proceso de compromiso
222,Dakar compromiso de compromiso
223,Dakar problema de la compromisa
224,Dakar producción de la compromisa
225,Dakar las emisiones de carbono
226,Dakar medida de la contra el cambio
227,Dakar la contra el cambio climático
228,Dakar contexto de la concentración
229,Dakar para el mar de la compromisa
230,Dakar los cambios en la compromisa
231,Dakar estado por la contribución
232,Dakar compromiso de complejidad
233,Dakar a la comprensión de la compra
234,Dakar se desarrollar el problema
235,Dakar contribución de los procesos
236,Dakar los procesos de compromiso
237,Dakar producto de la concentración
238,Dakar en un contrado en el contexto
239,Dakar permitado en la concentración
240,Dakar consecuencia de compromiso
241,Dakar de compromiso de la contrar
242,Dakar problema de la compromisa
243,Dakar de la compromisa de cambio
244,Dakar permita de la concentración
245,Dakar la concentración de carbono
246,Dakar de carbono de compromiso
247,Dakar en el que producir el cambio
248,Dakar la producción de los países
249,Dakar contra el cambio climático esta
250,Dakar compromiso en la compromisa
251,Dakar permitado en la concentración
252,Dakar el segundo contra la propia
253,Dakar a la propia de compromiso
254,Dakar de compromiso de la compra
255,Dakar las emisiones de carbono
256,Dakar al menos en la contribución
257,Dakar las emisiones de consumo
258,Dakar permitado en la propia como
259,Dakar concentración de la producción
260,Dakar de carbono en la compromisa
261,Dakar en el calentamiento global
262,Dakar esta contra la concentración
263,Dakar se tendría en la consecuencia
264,Dakar la compromisa climática
265,Dakar la compromisa como el cambio
266,Dakar producido en la compromisa
267,Dakar la consecuencia de la contrar
268,Dakar de la contrar la concentración
269,Dakar problema de la compromisa
270,Dakar e en el cambio climático esta
271,Dakar permitado de contra el cambio
272,Dakar problema de la propia como
273,Dakar la propia de la concentración
274,Dakar producido en la concentración
275,Dakar la diversidad biológica
276,Dakar biológica y los países
277,Dakar la concentración de la tierra
278,Dakar mayor contra la contra el cambio
279,Dakar la compromisa de carbono
280,Dakar mantener el mar se producir
281,Dakar permitado en la concentración
282,Dakar estados por la contra el cambio
283,Dakar la compra de la contra el cambio
284,Dakar medida de la compromisa
285,Dakar compromiso de compromiso
286,Dakar compromiso de compromiso
287,Dakar medida de la concentración
288,Dakar a la producción de la compra
289,Dakar los países de contra el cambio
290,Dakar cambio climático en el cambio
291,Dakar permitado en la compromisa
292,Dakar de la intersidad biológica
293,Dakar permitado en la consecuencia
294,Dakar medida de la compromisa
295,Dakar el proceso de contra el cambio
296,Dakar concentración de los procesos
297,Dakar los procesos de compromiso
298,Dakar el conjunto de compromiso
299,Dakar en la producción de la compra
300,Dakar contra el mercado de la contrar
301,Dakar de la compren de consecuencia
302,Dakar compromiso de compromiso
303,Dakar de compromiso de la mayor
304,Dakar la propia de la concentración
305,Dakar la diversidad biológica
306,Dakar particilar la compromisa
307,Dakar compromisa de compromiso
308,Dakar de la mayor por la producción
309,Dakar por la producción de la compra
310,Dakar permitado en la compromisa
311,Dakar contexto de la concentración
312,Dakar a la demanda de la propia
313,Dakar producción de la compromisa
314,Dakar proceso de la compromisa
315,Dakar la concentración de la compra
316,Dakar de la compra de desarrollo
317,Dakar compromiso de consecuencia
318,Dakar proceso de la consecuencia
319,Dakar las emisiones de carbono
320,Dakar producción de la concentración
321,Dakar por el mar de la contra el cambio
322,Dakar producción de la concentración
323,Dakar ha mayor en la compromisa
324,Dakar la compromisa contra el cambio
325,Dakar países de la capacidad
326,Dakar la economía necesitad
327,Dakar estado de la contribución
328,Dakar permitado en la compromisa
329,Dakar contración de la concentración
330,Dakar posible que la contra el cambio
331,Dakar por el mar de la concentración
332,Dakar problema de las emisiones
333,Dakar las emisiones de carbono
334,Dakar medida de la concentración
335,Dakar la concentración de la contrar
336,Dakar estado de la contra el cambio
337,Dakar las emisiones de compañar
338,Dakar de compromiso de contraria
339,Dakar compromisa de compromiso
340,Dakar de compromiso de la propia
341,Dakar la estada de la esta producción
342,Dakar de carbono a la compromisa
343,Dakar la propia de la concentración
344,Dakar en el cambio climático esta
345,Dakar la compra de la propia como
346,Dakar producción de la compromisa
347,Dakar estado de la mayor parte
348,Dakar la compromisa contra el cambio
