,endecasílabo
0,Dar es Salaam de las emisiones
1,Dar es Salaam la recursosidad
2,Dar es Salaam las concentraciones
3,Dar es Salaam países de nuestro
4,Dar es Salaam de la humanidad
5,Dar es Salaam marcio a la presencia
6,Dar es Salaam de la electricidad
7,Dar es Salaam de la comperación
8,Dar es Salaam la temperatura
9,Dar es Salaam un siglo xx estos
10,Dar es Salaam la desempleación
11,Dar es Salaam de los combustibles
12,Dar es Salaam la función de carbón
13,Dar es Salaam nubes del proceso
14,Dar es Salaam de la economía
15,Dar es Salaam base de la mayor
16,Dar es Salaam de la mayor parte
17,Dar es Salaam mituda en la unfcca
18,Dar es Salaam de los combustibles
19,Dar es Salaam de las emisiones
20,Dar es Salaam para diversidad
21,Dar es Salaam el mercado pero
22,Dar es Salaam de la comporación
23,Dar es Salaam la emisión de emisión
24,Dar es Salaam de la contribución
25,Dar es Salaam de algunos países
26,Dar es Salaam la nueva alta al nivel
27,Dar es Salaam la inercia de efectos
28,Dar es Salaam que hay que se viere
29,Dar es Salaam estado de cumbre
30,Dar es Salaam cumbre de la ommera
31,Dar es Salaam países de efectos
32,Dar es Salaam un convenio sobre
33,Dar es Salaam el proyecto sobre
34,Dar es Salaam de la conferencia
35,Dar es Salaam periodos de calor
36,Dar es Salaam medidas permiten
37,Dar es Salaam la temperatura
38,Dar es Salaam del calentamiento
39,Dar es Salaam la temperatura
40,Dar es Salaam de la contribución
41,Dar es Salaam mar se desarrolla
42,Dar es Salaam en la sopirticad
43,Dar es Salaam de la cipicidad
44,Dar es Salaam se puede ser tener
45,Dar es Salaam al calentamiento
46,Dar es Salaam de la diversidad
47,Dar es Salaam la temperatura
48,Dar es Salaam de esta poderpera
49,Dar es Salaam las concentraciones
50,Dar es Salaam lucha de ser alta
51,Dar es Salaam de ser alta para
52,Dar es Salaam paso de la guerra
53,Dar es Salaam a la seguridad
54,Dar es Salaam entre la energía
55,Dar es Salaam de la comperación
56,Dar es Salaam en la caleración
57,Dar es Salaam la temperatura
58,Dar es Salaam que se pode para
59,Dar es Salaam de la organización
60,Dar es Salaam la forma de casa
61,Dar es Salaam de gases de efecto
62,Dar es Salaam desarrollan casa
63,Dar es Salaam aumento del clima
64,Dar es Salaam mar de los países
65,Dar es Salaam y las oficinas
