,verse,terminacion
0,Delhi en la infermedad energética,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'ca':cV>]"
1,Delhi los países o la alteración,"[<'al':Vc>, <'te':cV>, <'ra':cV>, <'ción':cvVc>]"
2,Delhi si debería la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
3,Delhi estrategia de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
4,Delhi los países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
5,Delhi nuestro parte de las especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
6,Delhi con partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
7,Delhi dicional de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
8,Delhi la temperatura en los palas,"[<'pa':cV>, <'las':cVs>]"
9,Delhi composiciones de la alternción,"[<'al':Vc>, <'ter':cVc>, <'nción':ccvVc>]"
10,Delhi márido de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
11,Delhi la temperatura es un siglo,"[<'si':sv>, <'glo':ccV>]"
12,Delhi conterir la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
13,Delhi un carbono de su política,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'ca':cV>]"
14,Delhi el escenario de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
15,Delhi la contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Delhi la base de la mayor parte,"[<'par':cVc>, <'te':cV>]"
17,Delhi de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
18,Delhi su mara de la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
19,Delhi en el pertido de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
20,Delhi atmósfera de la comporación,"[<'com':cVc>, <'po':cV>, <'ra':cV>, <'ción':cvVc>]"
21,Delhi gustos de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
22,Delhi los países de los patrones,"[<'pa':cV>, <'tro':ccV>, <'nes':cVs>]"
23,Delhi al siglo xx los estados desde,"[<'des':cVs>, <'de':cV>]"
24,Delhi de los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
25,Delhi estado de cumbre de la ommera,"[<'om':Vc>, <'me':cV>, <'ra':cV>]"
26,Delhi también en la contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
27,Delhi los correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
28,Delhi gue para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
29,Delhi consecuencia y los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
30,Delhi es un convenio sobre el proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
31,Delhi ricado de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
32,Delhi de la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
33,Delhi de la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
34,Delhi la esta alla y la diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
35,Delhi a la sociedad de la sonientia,"[<'so':sV>, <'nien':cvVc>, <'tia':cvV>]"
36,Delhi de la sonientia con el actual,"[<'ac':Vc>, <'tual':cvVc>]"
37,Delhi con la reda de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
38,Delhi la solidad de la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
39,Delhi la energía no en los dectriales,"[<'dec':cVc>, <'tria':ccvV>, <'les':cVs>]"
40,Delhi la concentración del proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
41,Delhi políticos definitivas,"[<'de':cV>, <'fi':cv>, <'ni':cv>, <'ti':cv>, <'vas':cVs>]"
42,Delhi con el consumo de un recurso,"[<'re':cV>, <'cur':cvc>, <'so':sV>]"
43,Delhi la de la oriente climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
44,Delhi de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
45,Delhi de su procisa de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
46,Delhi la población de la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
47,Delhi tendrámente en la caleración,"[<'ca':cV>, <'le':cV>, <'ra':cV>, <'ción':cvVc>]"
48,Delhi en la caleración del carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
49,Delhi que se pode para las partes,"[<'par':cVc>, <'tes':cVs>]"
50,Delhi de calidad y el sistema,"[<'sis':svs>, <'te':cV>, <'ma':cV>]"
51,Delhi el sistema de la organización,"[<'or':Vc>, <'ga':cV>, <'ni':cv>, <'za':cV>, <'ción':cvVc>]"
52,Delhi la mayoría de la forma,"[<'for':cVc>, <'ma':cV>]"
53,Delhi de la forma de casa informe,"[<'in':vc>, <'for':cVc>, <'me':cV>]"
54,Delhi emisiones de gases de efecto,"[<'e':V>, <'fec':cVc>, <'to':cV>]"
55,Delhi la emisión de las decisiones,"[<'de':cV>, <'ci':cv>, <'sio':svV>, <'nes':cVs>]"
56,Delhi de las palieras de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
57,Delhi centir a los interseñores,"[<'in':vc>, <'ter':cVc>, <'se':sV>, <'ño':cV>, <'res':cVs>]"
58,Delhi de la mayoría del control,"[<'con':cVc>, <'trol':ccVc>]"
59,Delhi medio ambiente la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
60,Delhi bien en el correcionar nuestra,"[<'nues':cvVs>, <'tra':ccV>]"
61,Delhi en el correcionar nuestra parte,"[<'par':cVc>, <'te':cV>]"
62,Delhi de los comparaciones de esta,"[<'es':Vs>, <'ta':cV>]"
63,Delhi continuación de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
64,Delhi la población de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
65,Delhi por consumidor para estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
66,Delhi estados para las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
67,Delhi electricidad en las medidas,"[<'me':cV>, <'di':cv>, <'das':cVs>]"
68,Delhi de la pertida de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
69,Delhi las decientes energéticos,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'cos':cVs>]"
70,Delhi modelo actual con el contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
71,Delhi de consumo con el estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
72,Delhi la concentración de los medios,"[<'me':cV>, <'dios':cvVs>]"
73,Delhi funda se se contenta el marco,"[<'mar':cVc>, <'co':cV>]"
74,Delhi como un problema como el siglo,"[<'si':sv>, <'glo':ccV>]"
75,Delhi registrar como consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
76,Delhi como consecuencia del clima,"[<'cli':ccv>, <'ma':cV>]"
77,Delhi contribuyen a los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
78,Delhi primer calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
79,Delhi las inversiones en el caso,"[<'ca':cV>, <'so':sV>]"
80,Delhi de los efectos finalistas,"[<'fi':cv>, <'na':cV>, <'lis':cvs>, <'tas':cVs>]"
81,Delhi contribución sobre el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
82,Delhi sobre el carbono y las partes,"[<'par':cVc>, <'tes':cVs>]"
83,Delhi de la previsión del acesto,"[<'a':V>, <'ces':cVs>, <'to':cV>]"
84,Delhi del acesto de la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
85,Delhi los países de la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
86,Delhi de la actividad de las gases,"[<'ga':cV>, <'ses':sVs>]"
87,Delhi mente de la población están,"[<'es':Vs>, <'tán':cVc>]"
88,Delhi la sociedad de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
89,Delhi la población de la información,"[<'in':vc>, <'for':cVc>, <'ma':cV>, <'ción':cvVc>]"
90,Delhi previsión de los medios de este,"[<'es':Vs>, <'te':cV>]"
91,Delhi en la recisión de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
92,Delhi del gas de los altimos o antes,"[<'an':Vc>, <'tes':cVs>]"
93,Delhi por la buena contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
94,Delhi los países de la eficiencia,"[<'e':V>, <'fi':cv>, <'cien':cvVc>, <'cia':cvV>]"
95,Delhi la combustión de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
96,Delhi puedo estar la salud humana,"[<'hu':cv>, <'ma':cV>, <'na':cV>]"
97,Delhi te parte de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
98,Delhi de las emisiones del nivel,"[<'ni':cv>, <'vel':cVc>]"
99,Delhi de los efectos para el amor,"[<'a':V>, <'mor':cVc>]"
100,Delhi contente de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
101,Delhi cantidad de mantenida entre,"[<'en':Vc>, <'tre':ccV>]"
102,Delhi mantenida entre la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
103,Delhi con el calentamiento medio,"[<'me':cV>, <'dio':cvV>]"
104,Delhi el calentamiento medio ambiente,"[<'am':Vc>, <'bien':cvVc>, <'te':cV>]"
105,Delhi pueden el mercado que el amor,"[<'a':V>, <'mor':cVc>]"
106,Delhi mercado que el amor de viento,"[<'vien':cvVc>, <'to':cV>]"
107,Delhi de la segunda concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
108,Delhi las países para virturar,"[<'vi':cv>, <'rtu':ccv>, <'rar':cVc>]"
109,Delhi la concentración de la educción,"[<'e':V>, <'duc':cvc>, <'ción':cvVc>]"
110,Delhi la contentación de energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
111,Delhi de energía por el contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
112,Delhi pueda despertar lo que es una,"[<'u':v>, <'na':cV>]"
113,Delhi de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
114,Delhi fósiles y las inversiones,"[<'in':vc>, <'ver':cVc>, <'sio':svV>, <'nes':cVs>]"
115,Delhi la superficie de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
116,Delhi de los medios de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
117,Delhi la concentración del proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
118,Delhi información de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
119,Delhi de carbono algo internacional,"[<'in':vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nal':cVc>]"
120,Delhi en el actual también en el medio,"[<'me':cV>, <'dio':cvV>]"
121,Delhi la reducida del principal,"[<'prin':ccvc>, <'ci':cv>, <'pal':cVc>]"
122,Delhi principal responsar la salud,"[<'sa':sV>, <'lud':cvc>]"
123,Delhi partir del problema del medio,"[<'me':cV>, <'dio':cvV>]"
124,Delhi del problema del medio ambiente,"[<'am':Vc>, <'bien':cvVc>, <'te':cV>]"
125,Delhi se ha encreto de los distintos,"[<'dis':cvs>, <'tin':cvc>, <'tos':cVs>]"
126,Delhi los de los civilizaciones,"[<'ci':cv>, <'vi':cv>, <'li':cv>, <'za':cV>, <'cio':cvV>, <'nes':cVs>]"
127,Delhi la temperatura del nivel,"[<'ni':cv>, <'vel':cVc>]"
128,Delhi contribución a la precisión,"[<'pre':ccV>, <'ci':cv>, <'sión':svVc>]"
129,Delhi los periodos del pauso medio,"[<'me':cV>, <'dio':cvV>]"
130,Delhi medidas por la emisión de este,"[<'es':Vs>, <'te':cV>]"
131,Delhi de carbono para el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
132,Delhi de eren en las palanidades,"[<'pa':cV>, <'la':cV>, <'ni':cv>, <'da':cV>, <'des':cVs>]"
133,Delhi medio ambiente por la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
134,Delhi de agua tantos de los modelos,"[<'mo':cV>, <'de':cV>, <'los':cVs>]"
135,Delhi dicionadas de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
136,Delhi los países temperaturas,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ras':cVs>]"
137,Delhi contribuir el albedo es la alta,"[<'al':Vc>, <'ta':cV>]"
138,Delhi concentración de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
139,Delhi la contribución del mar soda,"[<'so':sV>, <'da':cV>]"
140,Delhi contribución del mar soda este,"[<'es':Vs>, <'te':cV>]"
141,Delhi ción en la actividad del nivel,"[<'ni':cv>, <'vel':cVc>]"
142,Delhi medio ambiente y un problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
143,Delhi y un problema de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
144,Delhi la contención al energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
145,Delhi con el sector energético,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'co':cV>]"
146,Delhi mundo en el besta del modelo,"[<'mo':cV>, <'de':cV>, <'lo':cV>]"
147,Delhi la internacional del convenio,"[<'con':cVc>, <'ve':cV>, <'nio':cvV>]"
148,Delhi de la cual controlar el amor,"[<'a':V>, <'mor':cVc>]"
149,Delhi esta desestudión de los pasos,"[<'pa':cV>, <'sos':sVs>]"
150,Delhi de las partes de los procesos,"[<'pro':ccV>, <'ce':cV>, <'sos':sVs>]"
151,Delhi los contenidos por la emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
152,Delhi golíticos entre la estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
153,Delhi el gas de la esta de la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
154,Delhi estados de sus actividades,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'da':cV>, <'des':cVs>]"
155,Delhi sus actividades por solo,"[<'so':sV>, <'lo':cV>]"
156,Delhi la ieversidad dio esta tendencia,"[<'ten':cVc>, <'den':cVc>, <'cia':cvV>]"
157,Delhi guarda ante para lo que es algo,"[<'al':Vc>, <'go':cV>]"
158,Delhi que el consumo en la mayor parte,"[<'par':cVc>, <'te':cV>]"
159,Delhi la consecuencia energética,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'ca':cV>]"
160,Delhi calar el informe del nivel,"[<'ni':cv>, <'vel':cVc>]"
161,Delhi los países de los pationes,"[<'pa':cV>, <'tio':cvV>, <'nes':cVs>]"
162,Delhi de la estrategia de los pales,"[<'pa':cV>, <'les':cVs>]"
163,Delhi contribución a la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
164,Delhi de la sociedad de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
165,Delhi esta concentración de las partes,"[<'par':cVc>, <'tes':cVs>]"
166,Delhi la deficienta de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
167,Delhi de carbono de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
168,Delhi de la conferencia del país,"[<'pa':cV>, <'ís':Vs>]"
169,Delhi del país de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
170,Delhi la cumbre del clima este estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
171,Delhi marca a elemente con la salud,"[<'sa':sV>, <'lud':cvc>]"
172,Delhi transmitivo de la cupación,"[<'cu':cv>, <'pa':cV>, <'ción':cvVc>]"
173,Delhi cantidad de los partes de esta,"[<'es':Vs>, <'ta':cV>]"
174,Delhi electricidad de la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
175,Delhi una previsión de los modelos,"[<'mo':cV>, <'de':cV>, <'los':cVs>]"
176,Delhi de un contexto de las ciudades,"[<'ciu':cvv>, <'da':cV>, <'des':cVs>]"
177,Delhi genencia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
178,Delhi de la concentración del país,"[<'pa':cV>, <'ís':Vs>]"
179,Delhi la mitura de los restondes,"[<'res':cVs>, <'ton':cVc>, <'des':cVs>]"
180,Delhi los restondes en el corbunto,"[<'cor':cVc>, <'bun':cvc>, <'to':cV>]"
181,Delhi su hermano de los productos,"[<'pro':ccV>, <'duc':cvc>, <'tos':cVs>]"
182,Delhi contexto de la diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
183,Delhi recursos de la que el contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
184,Delhi nor un sumo de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
185,Delhi la sociedad para compesar,"[<'com':cVc>, <'pe':cV>, <'sar':sVc>]"
186,Delhi los países de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
187,Delhi las emisiones de derechos,"[<'de':cV>, <'rec':cVc>, <'hos':cVs>]"
188,Delhi s intervales de los años,"[<'a':V>, <'ños':cVs>]"
189,Delhi tencia de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
190,Delhi cuerte para los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
191,Delhi estrategia que es de la previsión,"[<'pre':ccV>, <'vi':cv>, <'sión':svVc>]"
192,Delhi ndo en la actualización del clima,"[<'cli':ccv>, <'ma':cV>]"
193,Delhi la cauda por la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
194,Delhi muchas discribes para menos,"[<'me':cV>, <'nos':cVs>]"
195,Delhi del fundo de la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
196,Delhi del nivel del mar de permitir,"[<'pe':cV>, <'rmi':ccv>, <'tir':cvc>]"
197,Delhi de los combastibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
198,Delhi tan la marta de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
199,Delhi la incertidumbre en la matura,"[<'ma':cV>, <'tu':cv>, <'ra':cV>]"
200,Delhi de la contemplación del mismo,"[<'mis':cvs>, <'mo':cV>]"
201,Delhi el desarrollo de la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
202,Delhi de la sociedad sobre el siglo,"[<'si':sv>, <'glo':ccV>]"
203,Delhi de los países de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
204,Delhi adaptación entre las recursos,"[<'re':cV>, <'cur':cvc>, <'sos':sVs>]"
205,Delhi en la atmósfera el tiempo de la entre,"[<'en':Vc>, <'tre':ccV>]"
206,Delhi de los consumo de la vida,"[<'vi':cv>, <'da':cV>]"
207,Delhi de los estados de los gases,"[<'ga':cV>, <'ses':sVs>]"
208,Delhi estados de los gases de efecto,"[<'e':V>, <'fec':cVc>, <'to':cV>]"
209,Delhi la primera agua el enfermedad,"[<'en':Vc>, <'fer':cVc>, <'me':cV>, <'dad':cVc>]"
210,Delhi agua el enfermedad de la escaso,"[<'es':Vs>, <'ca':cV>, <'so':sV>]"
211,Delhi para la estado en la situación,"[<'si':sv>, <'tua':cvV>, <'ción':cvVc>]"
212,Delhi son los menos para consirter,"[<'con':cVc>, <'si':sv>, <'rter':ccVc>]"
213,Delhi la cauda del siglo xxi fillen,"[<'fi':cv>, <'llen':ccVc>]"
214,Delhi contra el almo el internacional,"[<'in':vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nal':cVc>]"
215,Delhi medida por la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
216,Delhi la contribución del madeo,"[<'ma':cV>, <'de':cV>, <'o':V>]"
217,Delhi contaminacion en recursos,"[<'re':cV>, <'cur':cvc>, <'sos':sVs>]"
218,Delhi para el algo del medio ambiente,"[<'am':Vc>, <'bien':cvVc>, <'te':cV>]"
219,Delhi l que esta ver su distribución,"[<'dis':cvs>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
220,Delhi los metanos de la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
221,Delhi en la temperatura del siglo,"[<'si':sv>, <'glo':ccV>]"
222,Delhi el consecuencia y de los gases,"[<'ga':cV>, <'ses':sVs>]"
223,Delhi de la segunda concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
224,Delhi el numero de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
225,Delhi es un problema de compensación,"[<'com':cVc>, <'pen':cVc>, <'sa':sV>, <'ción':cvVc>]"
226,Delhi de calentamiento de ciencia,"[<'cien':cvVc>, <'cia':cvV>]"
227,Delhi de cos siguientes en el sector,"[<'sec':sVc>, <'tor':cVc>]"
228,Delhi ser la capa que me de mi esta,"[<'es':Vs>, <'ta':cV>]"
229,Delhi la forma internacional de esta,"[<'es':Vs>, <'ta':cV>]"
230,Delhi de los países de los medios,"[<'me':cV>, <'dios':cvVs>]"
231,Delhi una esta contamora los partes,"[<'par':cVc>, <'tes':cVs>]"
232,Delhi de la energía para anterior,"[<'an':Vc>, <'te':cV>, <'rior':cvVc>]"
233,Delhi perdirio de los políticos,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'cos':cVs>]"
234,Delhi n muy probable que el problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
235,Delhi los cambien el transmision como,"[<'co':cV>, <'mo':cV>]"
236,Delhi de los sistemas cantidades,"[<'can':cVc>, <'ti':cv>, <'da':cV>, <'des':cVs>]"
237,Delhi sistemas cantidades de esta,"[<'es':Vs>, <'ta':cV>]"
238,Delhi seria de la contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
239,Delhi de tiempos de calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
240,Delhi de calentamiento del mito,"[<'mi':cv>, <'to':cV>]"
241,Delhi la estableción de la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
242,Delhi nacional de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
243,Delhi emisiones de gol en la oriente,"[<'o':V>, <'rien':cvVc>, <'te':cV>]"
244,Delhi las emisiones con el suelo,"[<'sue':svV>, <'lo':cV>]"
245,Delhi emisiones con el suelo mucho,"[<'muc':cvc>, <'ho':cV>]"
246,Delhi de la contempia internacional,"[<'in':vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nal':cVc>]"
247,Delhi internacional y el estedo,"[<'es':Vs>, <'te':cV>, <'do':cV>]"
248,Delhi recursos en la simulación,"[<'si':sv>, <'mu':cv>, <'la':cV>, <'ción':cvVc>]"
249,Delhi el menos a la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
250,Delhi la muerte no se de apareza,"[<'a':V>, <'pa':cV>, <'re':cV>, <'za':cV>]"
251,Delhi la economía y las propias,"[<'pro':ccV>, <'pias':cvVs>]"
252,Delhi en la actualidad y los comsectos,"[<'com':cVc>, <'sec':sVc>, <'tos':cVs>]"
253,Delhi el proceso de la organización,"[<'or':Vc>, <'ga':cV>, <'ni':cv>, <'za':cV>, <'ción':cvVc>]"
254,Delhi de la salud y la intersención,"[<'in':vc>, <'ter':cVc>, <'sen':sVc>, <'ción':cvVc>]"
255,Delhi la evolución de los hidrogos,"[<'hi':cv>, <'dro':ccV>, <'gos':cVs>]"
256,Delhi la despersión de la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
