,endecasílabo
0,Dhaka la comprendencia de la tierra
1,Dhaka cambio climático es el cambio
2,Dhaka de la salud de la estableción
3,Dhaka producido a la principación
4,Dhaka el cambio climático en el cambio
5,Dhaka los problemas de compromiso
6,Dhaka compromiso de los países
7,Dhaka la diversidad biológica
8,Dhaka de estado de la compromiso
9,Dhaka la tierra de la comprendencia
10,Dhaka la comprendencia de la especie
11,Dhaka respuesta de la comunidad
12,Dhaka el problema de la comprendencia
13,Dhaka la tierra y la diversidad
14,Dhaka población de la contra el cambio
15,Dhaka el cambio climático es el cambio
16,Dhaka el combosmente a la desarralla
17,Dhaka la compromiso de la estado
18,Dhaka la conferencia de la tierra
19,Dhaka la tierra de la compromiso
20,Dhaka de las emisiones de gases
21,Dhaka producción de la compromiso
22,Dhaka la compromiso de la tierra
23,Dhaka cambio climático en el cambio
24,Dhaka s medio ambientes de la tierra
25,Dhaka de la estructura de la tierra
26,Dhaka de la compromiso de la estres
27,Dhaka climático y es el cambio
28,Dhaka cambio climático es el cambio
29,Dhaka probable que se ha actividad
30,Dhaka se ha actividad de la salud
31,Dhaka la estración de la compromiso
32,Dhaka compromiso de la estructiva
33,Dhaka la estructiva de la contención
34,Dhaka de la tierra a la contra el cambio
35,Dhaka a los países de combustibles
36,Dhaka de la comprendería esta alta
37,Dhaka problema de la compensación
38,Dhaka el cambio climático es el cambio
39,Dhaka la seguida de la actualidad
40,Dhaka cambio climático es el cambio
41,Dhaka la seguida de la producción
42,Dhaka cambio climático es el cambio
43,Dhaka de la espacio a la diversidad
44,Dhaka de las emisiones de emisión
45,Dhaka la convención de la contración
46,Dhaka demanda de la consecuencia
47,Dhaka la consecuencia de la tierra
48,Dhaka problema de la comprendencia
49,Dhaka el problema de la consecuencia
50,Dhaka el cambio climático es el cambio
51,Dhaka cambio climático en el cambio
52,Dhaka como esta de la estabilidad
53,Dhaka las emisiones de la expansión
54,Dhaka la comprender en el consejo
55,Dhaka cambio climático en el cambio
56,Dhaka el cambio climático es el cambio
57,Dhaka compromiso de la reducción
58,Dhaka compromiso de la sociedad
59,Dhaka la comprendencia de la estado
60,Dhaka la compromiso de la tierra
61,Dhaka cambio climático es el cambio
62,Dhaka de la comprender el problema
63,Dhaka la compromiso de la tierra
64,Dhaka de la tierra a la compromiso
65,Dhaka cambio climático es el cambio
66,Dhaka de la estres de las emisiones
67,Dhaka consecuencia de la estructura
68,Dhaka cambio climático es el cambio
69,Dhaka la salud de la comprendencia
70,Dhaka la estado de la consecuencia
71,Dhaka siguifica y los países
72,Dhaka climático y en el cambio
73,Dhaka sociedad de la comprobación
74,Dhaka la temperatura en el cambio
75,Dhaka de estados para la energía
76,Dhaka la compromiso de la estado
77,Dhaka la estado de la compromiso
78,Dhaka la tierra de la compromiso
79,Dhaka de la comprenderá en el cambio
80,Dhaka el cambio climático es el cambio
81,Dhaka el cambio climático es el cambio
82,Dhaka producción de la compromiso
83,Dhaka la estado de la secursidad
84,Dhaka la actualidad de la comprensión
85,Dhaka de la intersión de la segunda
86,Dhaka la diversidad biológica
87,Dhaka biológica y la comprender
88,Dhaka países de la contra el cambio
89,Dhaka producción de la consecuencia
90,Dhaka modelo de la contra el cambio
91,Dhaka reducción de la comprobación
92,Dhaka que las conseguir en el cambio
93,Dhaka la diversidad biológica
94,Dhaka las emisiones de carbono
95,Dhaka carbono se ha desarrollo
96,Dhaka el cambio climático es el cambio
97,Dhaka producción de las emisiones
98,Dhaka el consejo de la comprendercia
99,Dhaka la diversidad biológica
100,Dhaka biológica y el problema
101,Dhaka producidad por el consejo
102,Dhaka la producción de la comprender
103,Dhaka el cambio climático en el cambio
104,Dhaka la contra el cambio climático
105,Dhaka la producción de la comprender
106,Dhaka de la comprender en el cambio
107,Dhaka la diversidad biológica
108,Dhaka desarralión de la actualidad
109,Dhaka de la actualidad de la estado
110,Dhaka de emisión de la comprobación
111,Dhaka la diversidad biológica
112,Dhaka de la actualidad de la estado
113,Dhaka cambio climático es el cambio
114,Dhaka la consecuencia de la tierra
115,Dhaka la diversidad biológica
116,Dhaka cambio climático es el cambio
117,Dhaka se ha atmósfera es el problema
118,Dhaka la agención de la comprendera
119,Dhaka la temperatura en el cambio
120,Dhaka el aumento de la comprendencia
121,Dhaka se producir en el aumento
122,Dhaka el aumento de las emisiones
123,Dhaka de la economía en el cambio
124,Dhaka compromiso de la comprender
125,Dhaka productos de la estres estados
126,Dhaka el cambio climático es el cambio
127,Dhaka la especie de la comprendera
128,Dhaka de los problemas de la tierra
129,Dhaka la contra el cambio climático
130,Dhaka que se han alta a la actualidad
131,Dhaka la demanda de la comprender
132,Dhaka la comprender en el aumento
133,Dhaka producción de la comprendera
134,Dhaka la reducción de la producción
135,Dhaka la producción de la comprender
136,Dhaka producción de la comprendera
137,Dhaka compromisos de combustibles
138,Dhaka el cambio climático es el cambio
139,Dhaka el cambio climático es el cambio
140,Dhaka la estado de la comprendencia
141,Dhaka la compromiso en la comprender
142,Dhaka los problemas de combustibles
143,Dhaka reducción de la comprendencia
144,Dhaka la compromiso de la tierra
145,Dhaka la estado de la compromiso
146,Dhaka el cambio climático en el cambio
147,Dhaka de estado de la compromiso
148,Dhaka el cambio climático es el cambio
149,Dhaka probable que se ha registro
150,Dhaka el cambio climático es el cambio
151,Dhaka consideración de la estado
152,Dhaka de la estado de la producción
153,Dhaka el consengo de la comprendera
154,Dhaka el cambio climático es el cambio
155,Dhaka el cambio climático es el cambio
156,Dhaka contra los cambios en el cambio
157,Dhaka propicia de la comprendencia
158,Dhaka el cambio climático es el cambio
159,Dhaka problema de la compromiso
160,Dhaka de la estres de la comprendera
161,Dhaka la diversidad biológica
162,Dhaka la actividad de la convención
163,Dhaka problemas de la compromiso
164,Dhaka producción de la diversidad
165,Dhaka la salud de la comprendera
166,Dhaka la compromiso de la estado
167,Dhaka de la estado de los problemas
168,Dhaka el cambio climático es el cambio
169,Dhaka la diversidad biológica
170,Dhaka en el problema de combustibles
171,Dhaka la compromiso de la estado
172,Dhaka la diversidad biológica
173,Dhaka la contra el cambio climático
174,Dhaka conseguidas en el aumento
175,Dhaka el cambio climático es el cambio
176,Dhaka cambio climático es el cambio
177,Dhaka el consemo de la compromiso
178,Dhaka cambio climático en el cambio
179,Dhaka s presentación en el cambio
180,Dhaka cambio climático es el cambio
181,Dhaka actividad de la compromiso
182,Dhaka la región de la compromiso
183,Dhaka probable que se ha actividad
184,Dhaka probable que la comprendencia
185,Dhaka la estabilidad de la salud
186,Dhaka las emisiones de carbono
187,Dhaka emisiones de carbono sobre
188,Dhaka problemas de co2 para el cambio
