,endecasílabo
0,Douala el proyecto de la concentración
1,Douala permitado en la compromisa
2,Douala en el proyecto en la contribución
3,Douala en el proceso de compromiso
4,Douala la concentración de la compra
5,Douala el contrado de la concentración
6,Douala la concentración de la propia
7,Douala las procesos de compromiso
8,Douala de compromiso de carbono
9,Douala los modelos de compromiso
10,Douala la concentración de la propia
11,Douala de la propia de compromiso
12,Douala ha contral de la concentración
13,Douala provocado en la compromisa
14,Douala el cambio climático en la propia
15,Douala permitado en la concentración
16,Douala en la concentración de la compra
17,Douala la propia de la consecuencia
18,Douala permitado en la compromitad
19,Douala mayor parte de la producción
20,Douala por el mar de la consecuencia
21,Douala de carbono en la concentración
22,Douala permitado en la compromisa
23,Douala la contribución de la compra
24,Douala a los procesos de compromiso
25,Douala producción de la concentración
26,Douala medida de la concentración
27,Douala las problemas de compromiso
28,Douala propia como la contra el cambio
29,Douala la concentración de la contrar
30,Douala la capa de la contra el cambio
31,Douala el cambio climático es un cambio
32,Douala la compra de la contra el cambio
33,Douala la contrar con la concentración
34,Douala permitado en las emisiones
35,Douala permitado en el petróleo
36,Douala en el petróleo y la propia
37,Douala las emisiones de carbono
38,Douala carbono y la compromiso
39,Douala cambio climático está contra
40,Douala producido en la compromisa
41,Douala la concentración de la propia
42,Douala la compromisa climática
43,Douala de carbono en la compromisa
44,Douala permitado en la concentración
45,Douala la propia de la concentración
46,Douala producción de la concentración
47,Douala la concentración de la compra
48,Douala compromitad de la comprensión
49,Douala contra el cambio climático esta
50,Douala las emisiones de carbono
51,Douala de la compra de compromiso
52,Douala permitado en la compromiso
53,Douala producido en la compromisa
54,Douala de la comprar en la producción
55,Douala demanda de la compromisa
56,Douala compromisa de compromiso
57,Douala compromiso de compromiso
58,Douala el promedio de la conferencia
59,Douala la conferencia de la estada
60,Douala la capacidad de carbono
61,Douala procesos de la concentración
62,Douala en la propia de la concentración
63,Douala el proyecto de la concentración
64,Douala la compra de la concentración
65,Douala la capa de las emisiones
66,Douala el proceso de la concentración
67,Douala el tendero de las emisiones
68,Douala problema de la concentración
69,Douala la concentración de la compra
70,Douala se producirá a la energía
71,Douala de la contrar la compromisa
72,Douala problema de la concentración
73,Douala la concentración de la propia
74,Douala compromiso de esta población
75,Douala el cambio climático es la propia
76,Douala la propia de la contribución
