,endecasílabo
0,East Honolulu load libraries
1,East Honolulu ### load model
2,East Honolulu nte en la infermedad
3,East Honolulu de los países
4,East Honolulu si debería
5,East Honolulu las emisiones
6,East Honolulu la concentración
7,East Honolulu de los países
8,East Honolulu de la población
9,East Honolulu de nuestro parte
10,East Honolulu de las especies
11,East Honolulu la deferencia
12,East Honolulu de los palabres
13,East Honolulu los eficientes
14,East Honolulu más el peligro
15,East Honolulu de la transición
16,East Honolulu composiciones
17,East Honolulu la carta de esta
18,East Honolulu un siglo xx estos
19,East Honolulu de la sociedad
20,East Honolulu como un carbono
21,East Honolulu de los países
22,East Honolulu de la población
23,East Honolulu de la cantidad
24,East Honolulu calentamiento
25,East Honolulu la contribución
26,East Honolulu n su presente
27,East Honolulu el mercado pero
28,East Honolulu de los países
29,East Honolulu de los patrones
30,East Honolulu de la actividad
31,East Honolulu de la respuesta
32,East Honolulu través de enfrentir
33,East Honolulu de los efectos
34,East Honolulu estado de cumbre
35,East Honolulu y los países
36,East Honolulu un convenio sobre
37,East Honolulu sobre el proyecto
38,East Honolulu el proyecto sobre
39,East Honolulu se pueden marcha
40,East Honolulu de los periodos
41,East Honolulu nible en el carbón
42,East Honolulu de la sonientia
43,East Honolulu y el problema
44,East Honolulu en la sopirticad
45,East Honolulu de la segunda
46,East Honolulu la concentración
47,East Honolulu al calentamiento
48,East Honolulu definitivas
49,East Honolulu de la sociedad
50,East Honolulu de los efectos
51,East Honolulu de los efectos
52,East Honolulu con el consumo
53,East Honolulu la de la oriente
54,East Honolulu los combustibles
55,East Honolulu co en la energía
56,East Honolulu a la seguridad
57,East Honolulu entre la energía
58,East Honolulu de su procisa
59,East Honolulu de la población
60,East Honolulu de la energía
61,East Honolulu en la caleración
62,East Honolulu ción en la cauta
63,East Honolulu y el sistema
64,East Honolulu la mayoría
65,East Honolulu se desarrollan
66,East Honolulu la concentración
67,East Honolulu las principales
68,East Honolulu r para mayor
69,East Honolulu aumento del clima
70,East Honolulu clima en la tierra
71,East Honolulu consideración
72,East Honolulu para despector
73,East Honolulu de las palieras
74,East Honolulu de la producción
