,endecasílabo
0,Faaa permitado en la atmósfera
1,Faaa en el proyecto de la tierra
2,Faaa de carbono a la producción
3,Faaa problema de compromiso
4,Faaa modelos de compromiso
5,Faaa contribución de la propia
6,Faaa entre el mar de la concentración
7,Faaa carbono en la concentración
8,Faaa menos de la consecuencia
9,Faaa parte de la concentración
10,Faaa parte de la concentración
11,Faaa mundial de la concentración
12,Faaa contribución de la compra
13,Faaa mayor parte de la salud
14,Faaa marca de la concentración
15,Faaa mayor en la compromisa
16,Faaa climático como el cambio
17,Faaa como el cambio climático
18,Faaa producto en la compromisa
19,Faaa el petróleo y la propia
20,Faaa marco de la concentración
21,Faaa climático en la atmósfera
22,Faaa está contra la compromica
23,Faaa marca de la concentración
24,Faaa parte de la contra el cambio
25,Faaa política en la producción
26,Faaa climática y el cambio
27,Faaa carbono en la compromisa
28,Faaa propia de la concentración
29,Faaa contra el cambio climático
30,Faaa contra el cambio climático
31,Faaa el cambio climático sobre
32,Faaa menos de la compromisa
33,Faaa la compra de compromiso
34,Faaa marco de la concentración
35,Faaa la comprar en la producción
36,Faaa por el contral de la propia
37,Faaa el contral de la propia contra
38,Faaa en el proceso de la propia
39,Faaa la contrar con la estrategia
40,Faaa permitado de la propia
41,Faaa de la propia climática
42,Faaa para el cambio climático
43,Faaa contra el cambio climático
44,Faaa el cambio climático sobre
45,Faaa la producción de la compra
46,Faaa permitado de la compra
47,Faaa parte de la compromisa
48,Faaa emisiones de contra el cambio
49,Faaa la propia de contra el cambio
50,Faaa producirá a la energía
51,Faaa el proyecto de la actualidad
52,Faaa permitado de la propia
53,Faaa de la propia contra el cambio
54,Faaa menos de la concentración
55,Faaa permitado por la propia
56,Faaa el contrado en la compromisa
57,Faaa parte de la compromisa
58,Faaa en la propia de la comprensión
59,Faaa contra el cambio climático
60,Faaa contra el cambio climático
61,Faaa menos precipitaciones
62,Faaa permita de la producción
63,Faaa la capa de compromiso
64,Faaa de contra la compromisa
65,Faaa menos de la compromisa
66,Faaa por el mar en la producción
67,Faaa permita en la compromisa
68,Faaa la producción de la compra
69,Faaa contra el cambio climático
70,Faaa permitado de la estado
71,Faaa producido a la energía
72,Faaa el proceso de compromiso
73,Faaa parte de la contra el cambio
74,Faaa de contra la compromisa
75,Faaa la contrar la compromisa
76,Faaa comprensión de la producción
77,Faaa propia con la compromisa
78,Faaa permita en la compromisa
79,Faaa por el cambio climático
80,Faaa problema de la producción
81,Faaa parte de la compromisa
82,Faaa la propia de la comprensión
83,Faaa el mercado de la producción
84,Faaa permitado en la producción
85,Faaa seguir en la contribución
86,Faaa la estada de compromiso
87,Faaa parte de la concentración
88,Faaa la propia como el problema
89,Faaa problema con la atmósfera
90,Faaa carbono que la comprensión
91,Faaa la compromisa de deces
92,Faaa deces con la compromisa
93,Faaa se producirá en la propia
94,Faaa en la propia de compromiso
95,Faaa manor en la compromisa
96,Faaa modelo de la producción
97,Faaa el cambio climático sobre
98,Faaa la energía necesaria
99,Faaa los combustibles fósiles
100,Faaa la propia como el estado
101,Faaa compromiso de carbono
102,Faaa carbono y el problema
103,Faaa la energía contra el cambio
104,Faaa contribución de la compra
105,Faaa se esta mayor producida
106,Faaa compromiso de la capa
107,Faaa el contrado en la compromisa
108,Faaa producto a las emisiones
109,Faaa la propia de los procesos
110,Faaa el contrado en la concentración
111,Faaa segundo de la producción
112,Faaa la comprensión de la propia
113,Faaa a la propia de compromiso
114,Faaa permitado en la comprensión
115,Faaa parte de la concentración
116,Faaa parte de la compromisa
117,Faaa climático en la producción
118,Faaa parte de la compromisa
119,Faaa el proceso de la comprensión
120,Faaa la producción de la compra
121,Faaa la compra de la producción
122,Faaa menos de la compromisa
123,Faaa marco de la concentración
124,Faaa menos en la concentración
125,Faaa ser estado a la producción
126,Faaa contra el cambio climático
127,Faaa los procesos de carbono
128,Faaa seguridad establecir
129,Faaa parte de la contribución
130,Faaa parte de la compromisa
131,Faaa consecuencia de la contrar
132,Faaa la contrar la compromisa
133,Faaa en la producción de la capa
134,Faaa en la cumbre de la actualidad
135,Faaa la compra de la estructura
136,Faaa contra el cambio climático
137,Faaa de la compra de consumo
138,Faaa la compromisa de cambio
139,Faaa por el cambio climático
140,Faaa permitado en el promedio
141,Faaa la estado de la comprensión
142,Faaa se desarrollar la estada
143,Faaa mercado de la energía
144,Faaa carbono en la compromisa
145,Faaa menos de la concentración
146,Faaa permitado en la producción
147,Faaa contración de la producción
148,Faaa el contral de la concentración
149,Faaa de todo la contra el cambio
150,Faaa menos de la concentración
151,Faaa contra el cambio climático
152,Faaa la comprensión de la compra
153,Faaa la producción de la compra
154,Faaa parte de la concentración
155,Faaa menos de la concentración
156,Faaa proceso de esta producción
157,Faaa proceso de compromiso
158,Faaa sin embargo se producir
159,Faaa contra el mar en la atmósfera
160,Faaa de compromiso de contra
161,Faaa contra la temperatura
162,Faaa menos de la concentración
163,Faaa carbono que los países
164,Faaa la producción de la mayor
165,Faaa problema de la producción
166,Faaa de compromiso de contra
167,Faaa menos de la contribución
168,Faaa por el cambio climático
169,Faaa climático y la propia
170,Faaa de compromiso de carbón
171,Faaa carbono en la compromisa
172,Faaa permitado de la tierra
173,Faaa carbono por un problema
174,Faaa de combustibles fósiles
175,Faaa producto en la concentración
176,Faaa proceso de compromiso
177,Faaa el proyecto en la compromisa
178,Faaa contra el cambio climático
179,Faaa medida de compromiso
180,Faaa la estado de la comprensión
181,Faaa parte de la comprendencia
182,Faaa la comprensión de la compra
183,Faaa de la compra de carbono
184,Faaa proceso de compromiso
185,Faaa desarrollar el problema
186,Faaa compromiso de la contrar
187,Faaa la compromisa de cambio
188,Faaa contra el cambio climático
189,Faaa segundo contra la propia
190,Faaa la propia de compromiso
191,Faaa la propia de compromiso
192,Faaa compromiso de la compra
193,Faaa de carbono en la atmósfera
194,Faaa menos en la contribución
195,Faaa menos en las emisiones
196,Faaa carbono en la compromisa
197,Faaa ser producido en la propia
198,Faaa la energía para el cambio
199,Faaa a la producción de la propia
200,Faaa parte de la concentración
201,Faaa de carbono a la producción
202,Faaa de compromiso de cambio
203,Faaa tendría en la consecuencia
204,Faaa consecuencia de la contrar
205,Faaa la contrar la concentración
206,Faaa de contra la contra el cambio
207,Faaa en la comprensión de la estada
208,Faaa en el cambio climático esta
209,Faaa de la propia como contra
210,Faaa producto en la contra el cambio
211,Faaa productos de la producción
212,Faaa propio con la concentración
213,Faaa de carbono de la propia
214,Faaa marca de la concentración
215,Faaa producción de la producción
216,Faaa contra la compromicado
217,Faaa la producción de la compra
218,Faaa países de contra el cambio
219,Faaa se desarrollar el cambio
220,Faaa problema de compromiso
221,Faaa medida de la intersidad
222,Faaa el proceso de contra el cambio
223,Faaa conjunto de compromiso
224,Faaa la producción de la compra
225,Faaa en la concentración de la actual
226,Faaa consecuencia de la compren
227,Faaa la compren de consecuencia
228,Faaa parte de la contribución
229,Faaa contra el cambio climático
230,Faaa compromiso de la mayor
231,Faaa secuedad de la atmósfera
232,Faaa la mayor por la producción
233,Faaa la producción de la compra
234,Faaa la propia en la compromisa
235,Faaa contra el cambio climático
236,Faaa la demanda de la propia
237,Faaa de la propia contra el cambio
238,Faaa contra el cambio climático
239,Faaa la intersidad biológica
240,Faaa la compromisa continuar
241,Faaa de la contrar la contración
242,Faaa el problema de compromiso
243,Faaa parte de la compromisa
244,Faaa contra el cambio climático
245,Faaa contra el cambio climático
246,Faaa economía necesitad
247,Faaa parte de la contra el cambio
248,Faaa permitado en el consumo
249,Faaa parte de la contra el cambio
250,Faaa menos de la concentración
251,Faaa de carbono y la contrar
252,Faaa compromiso de la propia
253,Faaa la energía necesaria
254,Faaa carbono a la compromisa
255,Faaa en el cambio climático esta
256,Faaa ser producido en la contral
257,Faaa parte de la concentración
258,Faaa compra de la propia como
259,Faaa el contrado en la propia como
260,Faaa compromisa contra el cambio
261,Faaa contra el cambio climático
262,Faaa el cambio climático sobre
263,Faaa de compromiso de un medio
264,Faaa permitan para la compra
265,Faaa la compra de compromiso
266,Faaa la propia de la comprensión
