,endecasílabo
0,Faratsiho producto en el proyecto
1,Faratsiho el proyecto de la tierra
2,Faratsiho contra la compromisa
3,Faratsiho carbono a la producción
4,Faratsiho su propia de la propia
5,Faratsiho parte de la producción
6,Faratsiho el mar de la consecuencia
7,Faratsiho problema de reducir
8,Faratsiho como la propia como
9,Faratsiho como la contra el cambio
10,Faratsiho contra la propia contra
11,Faratsiho contra la compromisa
12,Faratsiho la salud de la contrar
13,Faratsiho el sistema climático
14,Faratsiho contra las emisiones
15,Faratsiho emisiones de carbono
16,Faratsiho se producir el cambio
17,Faratsiho cambio climático está
18,Faratsiho climático está contra
19,Faratsiho contrar la concentración
20,Faratsiho contra la compromisa
21,Faratsiho menos de la comprensión
22,Faratsiho sobre la compromisa
23,Faratsiho ser en la compromiso
24,Faratsiho permitado en la propia
25,Faratsiho contra las emisiones
26,Faratsiho emisiones de carbono
27,Faratsiho el cambio climático esta
28,Faratsiho problema de la comprar
29,Faratsiho en el contrado en el cambio
30,Faratsiho el proceso de la propia
31,Faratsiho contrar con la estrategia
32,Faratsiho la cual con la producción
33,Faratsiho la propia climática
34,Faratsiho permitan para el cambio
35,Faratsiho de carbono a la propia
36,Faratsiho sobre la economía
37,Faratsiho sobre la capacidad
38,Faratsiho producción de la compra
39,Faratsiho de la compra de cambio
40,Faratsiho permitado en la propia
41,Faratsiho propia de contra el cambio
42,Faratsiho producto de la contrar
43,Faratsiho las contrabulidades
44,Faratsiho parte de la producción
45,Faratsiho climático es la propia
46,Faratsiho la propia contra el cambio
47,Faratsiho contra la compromisa
48,Faratsiho medio de la demanda
49,Faratsiho la contra el combustible
50,Faratsiho la mayor actividad
51,Faratsiho permitado en la propia
52,Faratsiho de la temperatura
53,Faratsiho parte de la producción
54,Faratsiho de las contribuciones
55,Faratsiho capa de compromiso
56,Faratsiho la propia compromiso
57,Faratsiho compromiso de contra
58,Faratsiho contra la compromisa
59,Faratsiho producción de la compra
60,Faratsiho de carbono a la propia
61,Faratsiho a la propia de carbono
62,Faratsiho contra la concentración
63,Faratsiho contrar la compromisa
64,Faratsiho la largo de la propia
65,Faratsiho mayor posibilidad
66,Faratsiho promedio de la compra
67,Faratsiho de la temperatura
68,Faratsiho ser de la concentración
69,Faratsiho climático es un cambio
70,Faratsiho contra la compromisa
71,Faratsiho contrado de carbono
72,Faratsiho producirá en la propia
73,Faratsiho la energía en la propia
74,Faratsiho el mar y la contra el cambio
75,Faratsiho energía necesaria
76,Faratsiho la capa de la compra
77,Faratsiho la cual es el sistema
78,Faratsiho energía contra el cambio
79,Faratsiho esta mayor producida
80,Faratsiho mar en la compromisa
81,Faratsiho contra la compromisa
82,Faratsiho propia de los procesos
83,Faratsiho de la temperatura
84,Faratsiho en el cambio climático
85,Faratsiho de la compra de cambio
86,Faratsiho cambio climático esta
87,Faratsiho contra la compromisa
88,Faratsiho de la temperatura
89,Faratsiho permitado en la propia
90,Faratsiho contra las emisiones
91,Faratsiho una vez más de la contrar
92,Faratsiho la propia contra el cambio
93,Faratsiho menos de contra el cambio
94,Faratsiho permitado en la cumbre
95,Faratsiho la compra de consumo
96,Faratsiho compromisa de cambio
97,Faratsiho de cambio climático
98,Faratsiho contra la compromiso
99,Faratsiho marco de la secuedad
100,Faratsiho contra la compromisa
101,Faratsiho estado de la comprensión
102,Faratsiho desarrollar la estada
103,Faratsiho contra la compromisa
104,Faratsiho mantenimiento sobre
105,Faratsiho compromiso de todo
106,Faratsiho todo la contra el cambio
107,Faratsiho de la temperatura
108,Faratsiho comprensión de la compra
109,Faratsiho producción de la compra
110,Faratsiho entre el cambio climático
111,Faratsiho compromiso de contra
112,Faratsiho parte de los países
113,Faratsiho contra las emisiones
114,Faratsiho emisiones de carbono
115,Faratsiho climático establecir
116,Faratsiho producción de la mayor
117,Faratsiho de la mayor producción
118,Faratsiho en el cambio climático
119,Faratsiho contra la compromisa
120,Faratsiho la capa de la contrar
121,Faratsiho el mar de la contribución
122,Faratsiho a el desarrollo sontente
123,Faratsiho compromiso de carbón
124,Faratsiho emisiones de carbono
125,Faratsiho parte de la producción
126,Faratsiho de la energía contra
127,Faratsiho contra la concentración
128,Faratsiho estado de la comprensión
129,Faratsiho mar de la contribución
130,Faratsiho un contrado en el contexto
131,Faratsiho en la compromisa central
132,Faratsiho el que producir el cambio
133,Faratsiho compromiso en la ciencia
134,Faratsiho en la ciencia de la contrar
135,Faratsiho el cambio climático esta
136,Faratsiho se producir el cambio
137,Faratsiho la contrar los contrales
138,Faratsiho el consumo de carbono
139,Faratsiho carbono en la atmósfera
140,Faratsiho la esta a la concentración
141,Faratsiho permitado en la propia
142,Faratsiho metos las emisiones
143,Faratsiho producido en la propia
144,Faratsiho en la propia contra el cambio
145,Faratsiho energía para el cambio
146,Faratsiho contra la concentración
147,Faratsiho producto a la producción
148,Faratsiho el calentamiento global
149,Faratsiho contra la compromisa
150,Faratsiho carbono a la producción
151,Faratsiho contra la concentración
152,Faratsiho contra la compromisa
153,Faratsiho contra la contra el cambio
154,Faratsiho contrado en la comprensión
155,Faratsiho segundo las mayores
156,Faratsiho las mayores producción
157,Faratsiho contra la compromisa
158,Faratsiho en el cambio climático
159,Faratsiho el cambio climático esta
160,Faratsiho problema de la propia
161,Faratsiho la propia como contra
162,Faratsiho contra la diversidad
163,Faratsiho parte de la producción
164,Faratsiho contra la contra el cambio
165,Faratsiho contra las emisiones
166,Faratsiho emisiones de carbono
167,Faratsiho carbono de la propia
168,Faratsiho con la propia de cambio
169,Faratsiho desarrollar el cambio
170,Faratsiho climático en el cambio
171,Faratsiho contra la compromisa
172,Faratsiho el mercado de la contrar
173,Faratsiho ser seguir en el cambio
174,Faratsiho contra la capacidad
175,Faratsiho la propia contra el cambio
176,Faratsiho contra la diversidad
