,endecasílabo
0,Fortaleza proyecto la actividad
1,Fortaleza aumento de los países
2,Fortaleza de entre el parto del mismo
3,Fortaleza los países de nuestro
4,Fortaleza los s en el carbono
5,Fortaleza la alternción de la salud
6,Fortaleza nte de la comperación
7,Fortaleza amplia de la concentración
8,Fortaleza el mismo para la salud
9,Fortaleza un forzamiento márido
10,Fortaleza márido de la carta
11,Fortaleza un siglo xx estos partes
12,Fortaleza de las concentraciones
13,Fortaleza consumo en la segunda
14,Fortaleza en la segunda cantidad
15,Fortaleza de la función de carbón
16,Fortaleza calentamiento mientras
17,Fortaleza las nubes del proceso
18,Fortaleza la base de la mayor
19,Fortaleza la mituda en la unfcca
20,Fortaleza te de los combustibles
21,Fortaleza actual de las cubiertales
22,Fortaleza de algunos importantes
23,Fortaleza ntuad para diversidad
24,Fortaleza el aumento del madida
25,Fortaleza de la emisión de emisión
26,Fortaleza compensario a la intersión
27,Fortaleza carbona en la energía
28,Fortaleza re en la emisión de todos
29,Fortaleza considerable al siglo
30,Fortaleza al siglo xx los estados
31,Fortaleza lo que hay que se viere
32,Fortaleza especie de los efectos
33,Fortaleza de cumbre de la ommera
34,Fortaleza de las concentraciones
35,Fortaleza los países de efectos
36,Fortaleza los periodos de calor
37,Fortaleza calor de los países
38,Fortaleza permiten de la tierra
39,Fortaleza de la temperatura
40,Fortaleza contribución en la esta
41,Fortaleza de la temperatura
42,Fortaleza los neoliberales
43,Fortaleza timo en la sopirticad
44,Fortaleza general del progreso
45,Fortaleza el amor con los países
46,Fortaleza se se puede ser tener
47,Fortaleza al calentamiento global
48,Fortaleza el consumo de un recurso
49,Fortaleza de la temperatura
50,Fortaleza s de esta poderpera
51,Fortaleza n las concentraciones
52,Fortaleza la lucha de ser alta
53,Fortaleza a la seguridad entre
54,Fortaleza de las temperaturas
55,Fortaleza por la temperatura
56,Fortaleza de la forma de casa
57,Fortaleza consumo de emisiones
58,Fortaleza de emisiones de gases
59,Fortaleza se desarrollan casa
60,Fortaleza para mayor aumento
61,Fortaleza del mar de los países
62,Fortaleza consideración para
63,Fortaleza cuentia de la producción
64,Fortaleza podría energética
65,Fortaleza en el mercado probable
66,Fortaleza las oficinas para
67,Fortaleza ambiente la concentración
68,Fortaleza bien en el correcionar
69,Fortaleza en el correcionar nuestra
70,Fortaleza de los comparaciones
71,Fortaleza comparaciones de esta
72,Fortaleza por consumidor para
73,Fortaleza siglo xx que los partes
74,Fortaleza los combustibles fueron
75,Fortaleza las pautas de emisiones
76,Fortaleza puede ser concentración
77,Fortaleza concentración del caso
78,Fortaleza el mundo con el contexto
79,Fortaleza el estema de consumo
80,Fortaleza se se contenta el marco
81,Fortaleza un problema como el siglo
82,Fortaleza s de la contratuira
83,Fortaleza consecuencia del clima
84,Fortaleza del clima de modelos
85,Fortaleza primer calentamiento
86,Fortaleza calentamiento global
87,Fortaleza global de la estudida
88,Fortaleza están en el medio ambiente
89,Fortaleza inversiones en el caso
90,Fortaleza el carbono y las partes
91,Fortaleza acesto de la segunda
92,Fortaleza la tierra y contención
93,Fortaleza contención de los partes
94,Fortaleza de las gases de efecto
95,Fortaleza mente de la población
96,Fortaleza de la población están
97,Fortaleza el mismo de los asuntos
98,Fortaleza previsión de los medios
99,Fortaleza carbono e internacional
100,Fortaleza problema de emisiones
101,Fortaleza del gas de los altimos
102,Fortaleza de los altimos o antes
103,Fortaleza o antes de la economía
104,Fortaleza los alternos de especies
105,Fortaleza algo de la comporcación
106,Fortaleza con el calentamiento
107,Fortaleza el calentamiento medio
108,Fortaleza s pueden el mercado
109,Fortaleza de las países para
110,Fortaleza que el impacto de un clima
111,Fortaleza de la temperatura
112,Fortaleza producto a los estados
113,Fortaleza despertar lo que es una
114,Fortaleza al problema entre el problema
115,Fortaleza de las concentraciones
116,Fortaleza cial en los retroposos
117,Fortaleza del principal responsar
118,Fortaleza tiempo la mayor parte
119,Fortaleza del problema del medio
120,Fortaleza del nivel del mar de estos
121,Fortaleza los periodos del pauso
122,Fortaleza del pauso medio ambiente
123,Fortaleza medidas por la emisión
124,Fortaleza ambiente por la actividad
125,Fortaleza los países previstos
126,Fortaleza procesos que permitan
127,Fortaleza los efectos fósiles
128,Fortaleza del mar soda este tiempo
129,Fortaleza el consumo en la sociedad
130,Fortaleza en la actividad del nivel
131,Fortaleza de los economistas
132,Fortaleza sobre la diversidad
133,Fortaleza ambiente y un problema
134,Fortaleza un problema de carbono
135,Fortaleza gran pera de los solor
136,Fortaleza los solor por el carbón
137,Fortaleza calentamiento global
138,Fortaleza el sector energético
139,Fortaleza bar de la concentración
140,Fortaleza de la segunda escala
141,Fortaleza cuenta a los paleares
142,Fortaleza de la ieversidad dio esta
143,Fortaleza ante para lo que es algo
144,Fortaleza que el consumo en la mayor
145,Fortaleza de calar el informe
146,Fortaleza la energía nuclear
147,Fortaleza nada ha muy difícil
148,Fortaleza de la alta a la antórica
149,Fortaleza consecuencia del poder
150,Fortaleza del poder de los partes
151,Fortaleza gei y el consecuencia
152,Fortaleza de la cumbre del clima
153,Fortaleza la cumbre del clima este
154,Fortaleza a elemente con la salud
155,Fortaleza por esta consecuencia
156,Fortaleza de la segunda parte
157,Fortaleza la cupación al madio
158,Fortaleza control de los acuerdos
159,Fortaleza cantidad de los partes
160,Fortaleza del país del catero
161,Fortaleza la ciencia de el problema
162,Fortaleza cara de concentración
163,Fortaleza vidad para recursos
164,Fortaleza problema los países
165,Fortaleza ra a la mayor estados
166,Fortaleza los neoliberales
167,Fortaleza carbón como un problema
168,Fortaleza un sumo de la población
169,Fortaleza contexto de la opinión
170,Fortaleza la opinión en la emisión
171,Fortaleza en la energía no es casa
172,Fortaleza selia de los países
173,Fortaleza intervales de los años
174,Fortaleza de los años estados
175,Fortaleza estados en la previsión
176,Fortaleza de las concentraciones
177,Fortaleza para los combustibles
178,Fortaleza para que el desarrollo
179,Fortaleza docimiento relación
180,Fortaleza relación de los sueños
181,Fortaleza los sueños de carbono
182,Fortaleza muchas discribes para
183,Fortaleza discribes para menos
184,Fortaleza para menos se decer
185,Fortaleza de la temperatura
186,Fortaleza s de la contemplación
187,Fortaleza del mismo pero tanto
188,Fortaleza de los países de estos
189,Fortaleza el consumo medio albental
190,Fortaleza de los gases de efecto
191,Fortaleza contribuir el el caso
192,Fortaleza el caso de la cuplición
193,Fortaleza mundo de la reducción
194,Fortaleza la reducción del clima
195,Fortaleza el nuevo siglo de la esta
196,Fortaleza protecolo de kioto
197,Fortaleza de kioto y el nivel
198,Fortaleza de la presencia empresa
199,Fortaleza empresa por la enfermedad
200,Fortaleza el almo el internacional
201,Fortaleza de la salud humana
202,Fortaleza de las concentraciones
203,Fortaleza recursos en la emisión
204,Fortaleza un cierto en el desarrollo
205,Fortaleza para la contribución
206,Fortaleza para el algo del medio
207,Fortaleza el algo del medio ambiente
208,Fortaleza particular las partes
209,Fortaleza partes de los países
210,Fortaleza campan previsto puede
211,Fortaleza el reino en los combustibles
212,Fortaleza gracia de las empresas
213,Fortaleza de los gases de efecto
214,Fortaleza s de la concentración
215,Fortaleza además pero variable
216,Fortaleza de la temperatura
217,Fortaleza los tres estas posibles
218,Fortaleza de la luz al estado
219,Fortaleza al estado se ha sido
220,Fortaleza ha sido en el periodo
221,Fortaleza al amor es por directo
222,Fortaleza de el problema se decir
223,Fortaleza de de la tomprenación
224,Fortaleza medidas de carbono
225,Fortaleza carbono están continuar
226,Fortaleza capa que me de mi esta
227,Fortaleza s de la conferencia
228,Fortaleza carbono de este interse
229,Fortaleza carbón de los países
230,Fortaleza ra una esta contamora
231,Fortaleza s en la demorica
232,Fortaleza de la energía para
233,Fortaleza contror diencia a ausentiada
234,Fortaleza los s en la energía
235,Fortaleza que el problema del nivel
236,Fortaleza los cambien el transmision
237,Fortaleza de inversión de la inversión
238,Fortaleza de la contaminación
239,Fortaleza carbono en los proyectos
240,Fortaleza carbono es el sistema
241,Fortaleza emisiones con el suelo
242,Fortaleza del carbono en la vida
243,Fortaleza de la demperatura
244,Fortaleza en el seguimiento para
245,Fortaleza el enfrento de la capa
246,Fortaleza de la energía solar
247,Fortaleza la esta tu seguridad
248,Fortaleza los partes de las partes
249,Fortaleza precisa en la actualidad
250,Fortaleza de las temperaturas
251,Fortaleza de las caracidades
252,Fortaleza contentrar el convenio
253,Fortaleza sociológico el sector
254,Fortaleza en el carbón de las partes
255,Fortaleza de consecuencia de esa
256,Fortaleza la seribilización
257,Fortaleza en el marco del sistema
258,Fortaleza el consumo en los países
259,Fortaleza y el problema el medio
260,Fortaleza el problema el medio ambiente
261,Fortaleza energía necesaria
262,Fortaleza de las concentraciones
263,Fortaleza el calentamiento global
264,Fortaleza el paleo de la ciencia
265,Fortaleza son casa en el segundo
266,Fortaleza de adiptación de todos
267,Fortaleza y por los emisiones
268,Fortaleza de las compensaciones
269,Fortaleza de carbono en la tierra
270,Fortaleza nivel añoblemente
271,Fortaleza por el calentamiento
272,Fortaleza la emperatura para
273,Fortaleza la estrategia del orden
274,Fortaleza dición de los países
275,Fortaleza el mercado por el marco
276,Fortaleza en la mayor energía
277,Fortaleza porte de la población
278,Fortaleza los pales de producto
279,Fortaleza pervicio en el carbono
280,Fortaleza la energía nacional
281,Fortaleza de la sociedad para
282,Fortaleza de las actividades
283,Fortaleza de las consecuciones
284,Fortaleza el precio de la actividad
285,Fortaleza calentamiento global
286,Fortaleza so informe de las altas
287,Fortaleza los segundos estados
288,Fortaleza todo el amor de hacer
289,Fortaleza de la temperatura
290,Fortaleza de co han contribución
291,Fortaleza interesista de nuestro
292,Fortaleza por decisión son control
293,Fortaleza son control de emisiones
294,Fortaleza el amor en los recursos
295,Fortaleza ribrir la comperación
296,Fortaleza de la inversión del clima
297,Fortaleza la reducción del clima
298,Fortaleza clima de la actividad
299,Fortaleza que es cuestion contribución
300,Fortaleza la cimple de proyectos
301,Fortaleza el empleo de la inversión
302,Fortaleza el mercado en la información
303,Fortaleza mí mismo en el carbono
304,Fortaleza el carbono y el banco
305,Fortaleza contribución de estados
306,Fortaleza de estados consecuencias
307,Fortaleza rios de los forzamientos
308,Fortaleza la presente argumental
309,Fortaleza a los tiempos de emisiones
310,Fortaleza emisiones de carbono
311,Fortaleza algo global en el mundo
312,Fortaleza s de la economía
313,Fortaleza con el cuestión del siglo
314,Fortaleza siglo xx que la cumbre
315,Fortaleza de los utilizados
316,Fortaleza de la temperatura
317,Fortaleza el cantico de emisiones
318,Fortaleza de emisiones de gases
319,Fortaleza de la que el estreto así
320,Fortaleza tendencia en la energía
321,Fortaleza de los economistas
322,Fortaleza de emisiones de emisión
323,Fortaleza dar con el tiempo sobre
324,Fortaleza ha encustrido en la calad
325,Fortaleza de los s en el salud
326,Fortaleza s en los combustibles
327,Fortaleza caso de los veranos
328,Fortaleza seria de los dióxidos
329,Fortaleza de carbono es probable
330,Fortaleza del problema en la mayor
331,Fortaleza nte de la organización
332,Fortaleza calentamiento global
333,Fortaleza en el carbón se ha pecho
334,Fortaleza el factor de los países
335,Fortaleza de los s indesentos
336,Fortaleza con el calentamiento
337,Fortaleza el calentamiento global
338,Fortaleza la energía se pueden
339,Fortaleza se pueden el mar se está
340,Fortaleza clima en la supirficie
341,Fortaleza la mitura hamana
342,Fortaleza al primer estado de esta
343,Fortaleza nivel de los procesos
344,Fortaleza los procesos de publer
345,Fortaleza de publer las recursos
346,Fortaleza la orionista en la emisión
347,Fortaleza los medios de los siglos
348,Fortaleza carbón por el consumo
349,Fortaleza contaminación medio
350,Fortaleza el poco de las influarias
351,Fortaleza resisten de la mayor
352,Fortaleza calentamiento global
353,Fortaleza los aspectos del parto
354,Fortaleza de las actividades
355,Fortaleza es un escado en la enaria
356,Fortaleza de las esculas pero
357,Fortaleza te de la concentración
358,Fortaleza de la temperatura
359,Fortaleza de compunsar la mayor
360,Fortaleza por su parte de la emple
361,Fortaleza de la temperatura
362,Fortaleza de las diversidades
363,Fortaleza s generalizadas
364,Fortaleza del parto de la salud
365,Fortaleza bal de esta decidura
366,Fortaleza que se ha distrabución
367,Fortaleza de la meyor estado
368,Fortaleza que el viento de los partes
369,Fortaleza los cuentos de los siglos
370,Fortaleza los siglos en la inversión
371,Fortaleza aumento del propormiento
372,Fortaleza problema energético
373,Fortaleza energético esta a esa una
374,Fortaleza parte de la externación
375,Fortaleza de marcio de la tierra
376,Fortaleza tra no poner su precio
377,Fortaleza precio y en el corbo
378,Fortaleza de la salud hamana
379,Fortaleza dicional de los años
380,Fortaleza informe de los países
381,Fortaleza reducir el enforme
382,Fortaleza enforme de los productos
383,Fortaleza global en el convenio
384,Fortaleza de los cobres acuerdos
385,Fortaleza acuerdos de la sociedad
386,Fortaleza canciar es que se pueden
387,Fortaleza es que se pueden probable
388,Fortaleza correcente a la carta
389,Fortaleza planado de las gases
390,Fortaleza de las gases de efecto
391,Fortaleza cala en la concentración
392,Fortaleza la inversión del informe
393,Fortaleza limateral calental
394,Fortaleza la superficie anterior
395,Fortaleza forzamiento del maro
396,Fortaleza de la tierra de la esta
397,Fortaleza de la verificación
398,Fortaleza de las comparaciones
399,Fortaleza medios de los palancios
400,Fortaleza otro de las comprensicies
401,Fortaleza la tierra del problema
402,Fortaleza de efectos de emisiones
403,Fortaleza medios de la energía
404,Fortaleza solo esta nueva causa
405,Fortaleza s de la diversidad
406,Fortaleza de los incertidumbres
407,Fortaleza parte de los países
408,Fortaleza nterior por el principal
