,endecasílabo
0,Foshan ir aumento de los países
1,Foshan los países o la alteración
2,Foshan si debería la estrategia
3,Foshan los países de nuestro parte
4,Foshan nuestro parte de las especies
5,Foshan en los eficientes con partes
6,Foshan con partes de la economía
7,Foshan dicional de la humanidad
8,Foshan e las partes de la biosfera
9,Foshan la temperatura en los palas
10,Foshan composiciones de la alternción
11,Foshan en un forzamiento márido
12,Foshan márido de la carta de esta
13,Foshan la temperatura es un siglo
14,Foshan conterir la desempleación
15,Foshan la contribución del proceso
16,Foshan la base de la mayor parte
17,Foshan de los combustibles fósiles
18,Foshan su mara de la seguridad
19,Foshan gustos de la emisión de emisión
20,Foshan los países de los patrones
21,Foshan de los metos de la ingenida
22,Foshan el especie de los efectos
23,Foshan también en la contaminación
24,Foshan los correstos de alternaciones
25,Foshan gue para la temperatura
26,Foshan consecuencia y los países
27,Foshan ricado de la conferencia
28,Foshan de la conferencia se pueden
29,Foshan de la tierra por un consenso
30,Foshan la esta alla y la diversidad
31,Foshan de la sonientia con el actual
32,Foshan en la aperación de la centra
33,Foshan con la reda de la cantidad
34,Foshan en los procesos de la inversión
35,Foshan estar general del progreso
36,Foshan la solidad de la segunda
37,Foshan ir el amor con los países
38,Foshan la energía no en los dectriales
39,Foshan la concentración del proyecto
40,Foshan umbre al calentamiento global
41,Foshan actividades políticos
42,Foshan políticos definitivas
43,Foshan con el consumo de un recurso
44,Foshan la de la oriente climática
45,Foshan en la temperatura medio
46,Foshan de los combustibles fósiles
47,Foshan ente de la temperatura
48,Foshan ente a la seguridad entre
49,Foshan de su procisa de emisiones
50,Foshan la población de la energía
51,Foshan tendrámente en la caleración
52,Foshan que se pode para las partes
53,Foshan en la cauta de las segundas
54,Foshan de calidad y el sistema
55,Foshan la mayoría de la forma
56,Foshan de la forma de casa informe
57,Foshan la emisión de las decisiones
58,Foshan aumento del clima en la tierra
59,Foshan de las palieras de emisiones
60,Foshan energética en el mercado
61,Foshan centir a los interseñores
62,Foshan de la mayoría del control
63,Foshan medio ambiente la concentración
64,Foshan bien en el correcionar nuestra
65,Foshan de los comparaciones de esta
66,Foshan continuación de la población
67,Foshan la población de los países
68,Foshan por consumidor para estados
69,Foshan de la pertida de la tierra
70,Foshan las decientes energéticos
71,Foshan modelo actual con el contexto
72,Foshan esta el mundo con el contexto
73,Foshan en el estema de consumo
74,Foshan de consumo con el estado
75,Foshan la concentración de los medios
76,Foshan funda se se contenta el marco
77,Foshan como un problema como el siglo
78,Foshan registrar como consecuencia
79,Foshan como consecuencia del clima
80,Foshan en la manor aliminación
81,Foshan o que se hace la energía
82,Foshan contribuyen a los países
83,Foshan primer calentamiento global
84,Foshan las inversiones en el caso
85,Foshan de los efectos finalistas
86,Foshan contribución sobre el carbono
87,Foshan sobre el carbono y las partes
88,Foshan de la previsión del acesto
89,Foshan del acesto de la segunda
90,Foshan el proceso de los países
91,Foshan los países de la sociedad
92,Foshan de la actividad de las gases
93,Foshan mente de la población están
94,Foshan la sociedad de la población
95,Foshan la población de la información
96,Foshan previsión de los medios de este
97,Foshan del gas de los altimos o antes
98,Foshan por la buena contaminación
