,endecasílabo
0,Gaziantep del proyecto la actividad
1,Gaziantep aumento de los países
2,Gaziantep países de nuestro parte
3,Gaziantep los eficientes con partes
4,Gaziantep partes de la economía
5,Gaziantep de los s en el carbono
6,Gaziantep para marcio a la presencia
7,Gaziantep contonce más el peligro
8,Gaziantep las partes de la biosfera
9,Gaziantep de la biosfera de precios
10,Gaziantep de la alternción de la salud
11,Gaziantep sa amplia de la concentración
12,Gaziantep a el mismo para la salud
13,Gaziantep un forzamiento márido
14,Gaziantep ndia de las concentraciones
15,Gaziantep el consumo en la segunda
16,Gaziantep el calentamiento mientras
17,Gaziantep contribución del proceso
18,Gaziantep guardo estado a la subida
19,Gaziantep a la base de la mayor
20,Gaziantep a la mituda en la unfcca
21,Gaziantep la actual de las cubiertales
22,Gaziantep es de algunos importantes
23,Gaziantep el aumento del madida
24,Gaziantep diración de los países
25,Gaziantep n el que debe el mercado
26,Gaziantep me considerable al siglo
27,Gaziantep al siglo xx los estados
28,Gaziantep los metos de la ingenida
29,Gaziantep se desalian el especie
30,Gaziantep especie de los efectos
31,Gaziantep ir el estado de cumbre
32,Gaziantep correstos de alternaciones
33,Gaziantep para la temperatura
34,Gaziantep y los países de efectos
35,Gaziantep la conferencia se pueden
36,Gaziantep de los periodos de calor
37,Gaziantep de calor de los países
38,Gaziantep la tierra por un consenso
39,Gaziantep contribución en la esta alla
40,Gaziantep salia del calentamiento
41,Gaziantep que los neoliberales
42,Gaziantep la aperación de la centra
43,Gaziantep pertinente con la reda
44,Gaziantep la reda de la cantidad
45,Gaziantep de la cantidad de tiempo
46,Gaziantep los procesos de la inversión
47,Gaziantep el amor con los países
48,Gaziantep e se se puede ser tener
49,Gaziantep amor para que se poner
50,Gaziantep el consumo de un recurso
51,Gaziantep de la oriente climática
52,Gaziantep la temperatura medio
53,Gaziantep medio albiente con su fecha
54,Gaziantep los combustibles fósiles
55,Gaziantep por el paso de la guerra
56,Gaziantep escala de la población
57,Gaziantep la forma de casa informe
58,Gaziantep el consumo de emisiones
59,Gaziantep r para mayor aumento
60,Gaziantep se podría energética
61,Gaziantep y las oficinas para
62,Gaziantep marcha de la mayoría
63,Gaziantep la mayoría del control
64,Gaziantep con bien en el correcionar
65,Gaziantep o de los comparaciones
66,Gaziantep los comparaciones de esta
67,Gaziantep a por consumidor para
68,Gaziantep el siglo xx que los partes
69,Gaziantep de las pautas de emisiones
70,Gaziantep utica de la pertida
71,Gaziantep la pertida de la tierra
72,Gaziantep decientes energéticos
73,Gaziantep se puede ser concentración
74,Gaziantep ser concentración del caso
75,Gaziantep de la tierra en contribución
76,Gaziantep el estema de consumo
77,Gaziantep consumo con el estado
78,Gaziantep concentración de los medios
79,Gaziantep la manor aliminación
80,Gaziantep que se hace la energía
81,Gaziantep disponibles contribuyen
82,Gaziantep el aumento del problema
83,Gaziantep a primer calentamiento
84,Gaziantep que están en el medio ambiente
85,Gaziantep lización de los efectos
86,Gaziantep proceso de los países
87,Gaziantep e la tierra y contención
88,Gaziantep y contención de los partes
89,Gaziantep la actividad de las gases
90,Gaziantep sociedad de la población
91,Gaziantep ista disculpa en la lado
92,Gaziantep ró el mismo de los asuntos
