,verse,terminacion
0,Gisborne del proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Gisborne países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
2,Gisborne los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
3,Gisborne partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
4,Gisborne de los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
5,Gisborne para marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
6,Gisborne a la presencia de la salud,"[<'sa':sV>, <'lud':cvc>]"
7,Gisborne contonce más el peligro,"[<'pe':cV>, <'li':cv>, <'gro':ccV>]"
8,Gisborne las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Gisborne de la biosfera de precios,"[<'pre':ccV>, <'cios':cvVs>]"
10,Gisborne de la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
11,Gisborne sa amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Gisborne es un siglo xx estos partes,"[<'par':cVc>, <'tes':cVs>]"
13,Gisborne ndia de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
14,Gisborne contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
15,Gisborne guardo estado a la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
16,Gisborne la actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
17,Gisborne aumenta de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
18,Gisborne en el que se definitica,"[<'de':cV>, <'fi':cv>, <'ni':cv>, <'ti':cv>, <'ca':cV>]"
19,Gisborne diración de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
20,Gisborne a la intersión del capacidad,"[<'ca':cV>, <'pa':cV>, <'ci':cv>, <'dad':cVc>]"
21,Gisborne n el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
22,Gisborne me considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
23,Gisborne los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
24,Gisborne se desalian el especie,"[<'es':Vs>, <'pe':cV>, <'cie':cvV>]"
25,Gisborne correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
26,Gisborne para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
27,Gisborne y los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
28,Gisborne la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
29,Gisborne de los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
30,Gisborne de calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
31,Gisborne la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
32,Gisborne en el carbón y al contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
33,Gisborne contribución en la esta alla,"[<'a':V>, <'lla':ccV>]"
34,Gisborne salia del calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
35,Gisborne que los neoliberales,"[<'ne':cV>, <'o':V>, <'li':cv>, <'be':cV>, <'ra':cV>, <'les':cVs>]"
36,Gisborne la aperación de la centra,"[<'cen':cVc>, <'tra':ccV>]"
37,Gisborne pertinente con la reda,"[<'re':cV>, <'da':cV>]"
38,Gisborne la reda de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
39,Gisborne de la cantidad de tiempo,"[<'tiem':cvVc>, <'po':cV>]"
40,Gisborne los procesos de la inversión,"[<'in':vc>, <'ver':cVc>, <'sión':svVc>]"
41,Gisborne energía no en los dectriales,"[<'dec':cVc>, <'tria':ccvV>, <'les':cVs>]"
42,Gisborne actividades políticos,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'cos':cVs>]"
43,Gisborne de la oriente climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
44,Gisborne la temperatura medio,"[<'me':cV>, <'dio':cvV>]"
45,Gisborne medio albiente con su fecha,"[<'fec':cVc>, <'ha':cV>]"
46,Gisborne los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
47,Gisborne por el paso de la guerra,"[<'gue':cvV>, <'rra':ccV>]"
48,Gisborne en la cauta de las segundas,"[<'se':sV>, <'gun':cvc>, <'das':cVs>]"
49,Gisborne la forma de casa informe,"[<'in':vc>, <'for':cVc>, <'me':cV>]"
50,Gisborne r para mayor aumento,"[<'au':Vv>, <'men':cVc>, <'to':cV>]"
51,Gisborne se podría energética,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'ca':cV>]"
52,Gisborne y las oficinas para,"[<'pa':cV>, <'ra':cV>]"
53,Gisborne marcha de la mayoría,"[<'ma':cV>, <'yo':cV>, <'rí':cV>, <'a':V>]"
54,Gisborne la mayoría del control,"[<'con':cVc>, <'trol':ccVc>]"
55,Gisborne con bien en el correcionar,"[<'co':cV>, <'rre':ccV>, <'cio':cvV>, <'nar':cVc>]"
56,Gisborne los comparaciones de esta,"[<'es':Vs>, <'ta':cV>]"
57,Gisborne de las pautas de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
58,Gisborne la pertida de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
59,Gisborne decientes energéticos,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'cos':cVs>]"
60,Gisborne se puede ser concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
61,Gisborne ser concentración del caso,"[<'ca':cV>, <'so':sV>]"
62,Gisborne de la tierra en contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
63,Gisborne consumo con el estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
64,Gisborne concentración de los medios,"[<'me':cV>, <'dios':cvVs>]"
65,Gisborne la manor aliminación,"[<'a':V>, <'li':cv>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
66,Gisborne que se hace la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
67,Gisborne disponibles contribuyen,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'yen':cVc>]"
68,Gisborne en el carbón en los estrenos,"[<'es':Vs>, <'tre':ccV>, <'nos':cVs>]"
69,Gisborne que están en el medio ambiente,"[<'am':Vc>, <'bien':cvVc>, <'te':cV>]"
70,Gisborne lización de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
71,Gisborne proceso de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
72,Gisborne y contención de los partes,"[<'par':cVc>, <'tes':cVs>]"
73,Gisborne la actividad de las gases,"[<'ga':cV>, <'ses':sVs>]"
74,Gisborne sociedad de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
75,Gisborne en la lado de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
76,Gisborne ró el mismo de los asuntos,"[<'a':V>, <'sun':svc>, <'tos':cVs>]"
77,Gisborne la previsión de los medios,"[<'me':cV>, <'dios':cvVs>]"
78,Gisborne establecida de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
79,Gisborne de carbono e internacional,"[<'in':vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nal':cVc>]"
80,Gisborne gas de los altimos o antes,"[<'an':Vc>, <'tes':cVs>]"
81,Gisborne de los alternos de especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
82,Gisborne en los países de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
83,Gisborne parte de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
84,Gisborne las emisiones del nivel,"[<'ni':cv>, <'vel':cVc>]"
85,Gisborne los efectos para el amor,"[<'a':V>, <'mor':cVc>]"
86,Gisborne para el amor de la función,"[<'fun':cvc>, <'ción':cvVc>]"
87,Gisborne cantidad de mantenida,"[<'man':cVc>, <'te':cV>, <'ni':cv>, <'da':cV>]"
