,verse,terminacion
0,Giza el proyecto de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
1,Giza permitado en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
2,Giza en el proyecto en la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
3,Giza en el proceso de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
4,Giza la concentración de la compra,"[<'com':cVc>, <'pra':ccV>]"
5,Giza el contrado de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
6,Giza la concentración de la propia,"[<'pro':ccV>, <'pia':cvV>]"
7,Giza las procesos de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
8,Giza de compromiso de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
9,Giza los modelos de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
10,Giza la concentración de la propia,"[<'pro':ccV>, <'pia':cvV>]"
11,Giza de la propia de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
12,Giza ha contral de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
13,Giza provocado en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
14,Giza el cambio climático en la propia,"[<'pro':ccV>, <'pia':cvV>]"
15,Giza permitado en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
16,Giza en la concentración de la compra,"[<'com':cVc>, <'pra':ccV>]"
17,Giza la propia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
18,Giza permitado en la compromitad,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'tad':cVc>]"
19,Giza mayor parte de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
20,Giza por el mar de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
21,Giza de carbono en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
22,Giza permitado en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
23,Giza la contribución de la compra,"[<'com':cVc>, <'pra':ccV>]"
24,Giza a los procesos de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
25,Giza producción de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
26,Giza medida de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
27,Giza las problemas de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
28,Giza propia como la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
29,Giza la concentración de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
30,Giza la capa de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
31,Giza el cambio climático es un cambio,"[<'cam':cVc>, <'bio':cvV>]"
32,Giza la compra de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
33,Giza la contrar con la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
34,Giza permitado en las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
35,Giza permitado en el petróleo,"[<'pe':cV>, <'tró':ccV>, <'le':cV>, <'o':V>]"
36,Giza en el petróleo y la propia,"[<'pro':ccV>, <'pia':cvV>]"
37,Giza las emisiones de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
38,Giza carbono y la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
39,Giza cambio climático está contra,"[<'con':cVc>, <'tra':ccV>]"
40,Giza producido en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
41,Giza la concentración de la propia,"[<'pro':ccV>, <'pia':cvV>]"
42,Giza la compromisa climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
43,Giza de carbono en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
44,Giza permitado en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
45,Giza la propia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
46,Giza producción de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
47,Giza la concentración de la compra,"[<'com':cVc>, <'pra':ccV>]"
48,Giza compromitad de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
49,Giza contra el cambio climático esta,"[<'es':Vs>, <'ta':cV>]"
50,Giza las emisiones de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
51,Giza de la compra de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
52,Giza permitado en la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
53,Giza producido en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
54,Giza de la comprar en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
55,Giza demanda de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
56,Giza compromisa de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
57,Giza compromiso de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
58,Giza el promedio de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
59,Giza la conferencia de la estada,"[<'es':Vs>, <'ta':cV>, <'da':cV>]"
60,Giza la capacidad de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
61,Giza procesos de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
62,Giza en la propia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
63,Giza el proyecto de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
64,Giza la compra de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
65,Giza la capa de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
66,Giza el proceso de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
67,Giza el tendero de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
68,Giza problema de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
69,Giza la concentración de la compra,"[<'com':cVc>, <'pra':ccV>]"
70,Giza se producirá a la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
71,Giza de la contrar la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
72,Giza problema de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
73,Giza la concentración de la propia,"[<'pro':ccV>, <'pia':cvV>]"
74,Giza compromiso de esta población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
75,Giza el cambio climático es la propia,"[<'pro':ccV>, <'pia':cvV>]"
76,Giza la propia de la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
77,Giza de compromiso de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
78,Giza la compromisa de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
79,Giza en el contrado en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
80,Giza producción de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
81,Giza cambio climático es proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
82,Giza el cambio climático en la estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
83,Giza comprensión de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
84,Giza la contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
85,Giza la contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
86,Giza la propia de la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
87,Giza de los procesos de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
88,Giza la propia de la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
89,Giza en la compromisa de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
90,Giza permitado en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
91,Giza compra de carbono a la propia,"[<'pro':ccV>, <'pia':cvV>]"
92,Giza ser producido a la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
93,Giza a la energía de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
94,Giza es un proceso de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
95,Giza contra la largo de la propia,"[<'pro':ccV>, <'pia':cvV>]"
96,Giza la concentración de la propia,"[<'pro':ccV>, <'pia':cvV>]"
97,Giza permitado en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
98,Giza la comprensión de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
99,Giza la propia con la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
100,Giza la compromisa de la capa,"[<'ca':cV>, <'pa':cV>]"
101,Giza de carbono en la contrabución,"[<'con':cVc>, <'tra':ccV>, <'bu':cv>, <'ción':cvVc>]"
102,Giza el estado de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
103,Giza los procesos de contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
104,Giza la producción de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
105,Giza superficie de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
