,verse,terminacion
0,Guadalajara ### load libraries,"[<'li':cv>, <'bra':ccV>, <'ries':cvVs>]"
1,Guadalajara de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
2,Guadalajara de la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
3,Guadalajara mayor política,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'ca':cV>]"
4,Guadalajara y la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
5,Guadalajara de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
6,Guadalajara la estado de cambio,"[<'cam':cVc>, <'bio':cvV>]"
7,Guadalajara de la compra de esta,"[<'es':Vs>, <'ta':cV>]"
8,Guadalajara por la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
9,Guadalajara de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
10,Guadalajara de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
11,Guadalajara contra la demanda,"[<'de':cV>, <'man':cVc>, <'da':cV>]"
12,Guadalajara de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
13,Guadalajara el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
14,Guadalajara de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
15,Guadalajara contra las procesos,"[<'pro':ccV>, <'ce':cV>, <'sos':sVs>]"
16,Guadalajara propia de la propia,"[<'pro':ccV>, <'pia':cvV>]"
17,Guadalajara mar se desarrolla,"[<'de':cV>, <'sa':sV>, <'rro':ccV>, <'lla':ccV>]"
18,Guadalajara de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
19,Guadalajara mayor producida,"[<'pro':ccV>, <'du':cv>, <'ci':cv>, <'da':cV>]"
20,Guadalajara de la capacidad,"[<'ca':cV>, <'pa':cV>, <'ci':cv>, <'dad':cVc>]"
21,Guadalajara por la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
22,Guadalajara de la estrategía,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gí':cV>, <'a':V>]"
23,Guadalajara de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
24,Guadalajara de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
25,Guadalajara de la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
26,Guadalajara de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
27,Guadalajara contra la demanda,"[<'de':cV>, <'man':cVc>, <'da':cV>]"
28,Guadalajara de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
29,Guadalajara de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
30,Guadalajara de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
31,Guadalajara parte de la salud,"[<'sa':sV>, <'lud':cvc>]"
32,Guadalajara de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
33,Guadalajara de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
34,Guadalajara cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
35,Guadalajara el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
36,Guadalajara parte de la capa,"[<'ca':cV>, <'pa':cV>]"
37,Guadalajara de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
38,Guadalajara de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
39,Guadalajara de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
40,Guadalajara de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
41,Guadalajara de la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
42,Guadalajara producir el cambio,"[<'cam':cVc>, <'bio':cvV>]"
43,Guadalajara el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
44,Guadalajara cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
45,Guadalajara esta mayor producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
46,Guadalajara de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
47,Guadalajara la contra un proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
48,Guadalajara de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
49,Guadalajara de la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
50,Guadalajara de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
51,Guadalajara el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
52,Guadalajara de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
53,Guadalajara el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
54,Guadalajara de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
55,Guadalajara menos de la compra,"[<'com':cVc>, <'pra':ccV>]"
56,Guadalajara de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
57,Guadalajara de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
58,Guadalajara por la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
59,Guadalajara de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
