,verse,terminacion
0,Guangzhou del proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Guangzhou países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
2,Guangzhou los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
3,Guangzhou partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
4,Guangzhou de los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
5,Guangzhou para marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
6,Guangzhou a la presencia de la salud,"[<'sa':sV>, <'lud':cvc>]"
7,Guangzhou contonce más el peligro,"[<'pe':cV>, <'li':cv>, <'gro':ccV>]"
8,Guangzhou las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Guangzhou de la biosfera de precios,"[<'pre':ccV>, <'cios':cvVs>]"
10,Guangzhou de la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
11,Guangzhou sa amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Guangzhou es un siglo xx estos partes,"[<'par':cVc>, <'tes':cVs>]"
13,Guangzhou ndia de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
14,Guangzhou contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
15,Guangzhou guardo estado a la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
16,Guangzhou la actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
17,Guangzhou aumenta de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
18,Guangzhou en el que se definitica,"[<'de':cV>, <'fi':cv>, <'ni':cv>, <'ti':cv>, <'ca':cV>]"
19,Guangzhou diración de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
20,Guangzhou a la intersión del capacidad,"[<'ca':cV>, <'pa':cV>, <'ci':cv>, <'dad':cVc>]"
21,Guangzhou n el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
22,Guangzhou me considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
23,Guangzhou los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
24,Guangzhou se desalian el especie,"[<'es':Vs>, <'pe':cV>, <'cie':cvV>]"
25,Guangzhou correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
26,Guangzhou para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
27,Guangzhou y los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
28,Guangzhou la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
29,Guangzhou de los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
30,Guangzhou de calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
31,Guangzhou la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
32,Guangzhou en el carbón y al contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
