,verse,terminacion
0,Hamburg del proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Hamburg aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
2,Hamburg países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
3,Hamburg los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
4,Hamburg partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
5,Hamburg de los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
6,Hamburg para marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
7,Hamburg contonce más el peligro,"[<'pe':cV>, <'li':cv>, <'gro':ccV>]"
8,Hamburg las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Hamburg de la biosfera de precios,"[<'pre':ccV>, <'cios':cvVs>]"
10,Hamburg de la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
11,Hamburg sa amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Hamburg a el mismo para la salud,"[<'sa':sV>, <'lud':cvc>]"
13,Hamburg un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
14,Hamburg ndia de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
15,Hamburg el consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
16,Hamburg el calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
17,Hamburg contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
18,Hamburg guardo estado a la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
19,Hamburg a la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
20,Hamburg a la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
21,Hamburg la actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
22,Hamburg es de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
23,Hamburg el aumento del madida,"[<'ma':cV>, <'di':cv>, <'da':cV>]"
24,Hamburg diración de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
25,Hamburg n el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
26,Hamburg me considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
27,Hamburg al siglo xx los estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
28,Hamburg los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
29,Hamburg se desalian el especie,"[<'es':Vs>, <'pe':cV>, <'cie':cvV>]"
30,Hamburg especie de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
31,Hamburg ir el estado de cumbre,"[<'cum':cvc>, <'bre':ccV>]"
32,Hamburg correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
33,Hamburg para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
34,Hamburg y los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
35,Hamburg la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
36,Hamburg de los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
37,Hamburg de calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
38,Hamburg la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
39,Hamburg contribución en la esta alla,"[<'a':V>, <'lla':ccV>]"
40,Hamburg salia del calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
41,Hamburg que los neoliberales,"[<'ne':cV>, <'o':V>, <'li':cv>, <'be':cV>, <'ra':cV>, <'les':cVs>]"
42,Hamburg la aperación de la centra,"[<'cen':cVc>, <'tra':ccV>]"
43,Hamburg pertinente con la reda,"[<'re':cV>, <'da':cV>]"
44,Hamburg la reda de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
45,Hamburg de la cantidad de tiempo,"[<'tiem':cvVc>, <'po':cV>]"
46,Hamburg los procesos de la inversión,"[<'in':vc>, <'ver':cVc>, <'sión':svVc>]"
47,Hamburg el amor con los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
48,Hamburg e se se puede ser tener,"[<'te':cV>, <'ner':cVc>]"
49,Hamburg amor para que se poner,"[<'po':cV>, <'ner':cVc>]"
50,Hamburg el consumo de un recurso,"[<'re':cV>, <'cur':cvc>, <'so':sV>]"
51,Hamburg de la oriente climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
52,Hamburg la temperatura medio,"[<'me':cV>, <'dio':cvV>]"
53,Hamburg medio albiente con su fecha,"[<'fec':cVc>, <'ha':cV>]"
54,Hamburg los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
55,Hamburg por el paso de la guerra,"[<'gue':cvV>, <'rra':ccV>]"
56,Hamburg escala de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
57,Hamburg la forma de casa informe,"[<'in':vc>, <'for':cVc>, <'me':cV>]"
58,Hamburg el consumo de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
59,Hamburg r para mayor aumento,"[<'au':Vv>, <'men':cVc>, <'to':cV>]"
60,Hamburg se podría energética,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'ca':cV>]"
61,Hamburg y las oficinas para,"[<'pa':cV>, <'ra':cV>]"
62,Hamburg marcha de la mayoría,"[<'ma':cV>, <'yo':cV>, <'rí':cV>, <'a':V>]"
63,Hamburg la mayoría del control,"[<'con':cVc>, <'trol':ccVc>]"
64,Hamburg con bien en el correcionar,"[<'co':cV>, <'rre':ccV>, <'cio':cvV>, <'nar':cVc>]"
65,Hamburg o de los comparaciones,"[<'com':cVc>, <'pa':cV>, <'ra':cV>, <'cio':cvV>, <'nes':cVs>]"
