,endecasílabo
0,Hamilton permitado en la atmósfera
1,Hamilton esta mayor política
2,Hamilton de carbono a la producción
3,Hamilton problema de compromiso
4,Hamilton modelos de compromiso
5,Hamilton esta mayor producida
6,Hamilton contribución de la propia
7,Hamilton carbono en la concentración
8,Hamilton menos de la consecuencia
9,Hamilton parte de la concentración
10,Hamilton parte de la concentración
11,Hamilton mundial de la concentración
12,Hamilton contribución de la compra
13,Hamilton el problema de reducir
14,Hamilton mayor parte de la salud
15,Hamilton estado como la propia
16,Hamilton marca de la concentración
17,Hamilton mayor en la compromisa
18,Hamilton climático como el cambio
19,Hamilton como el cambio climático
20,Hamilton producto en la compromisa
21,Hamilton en la salud de la contrar
22,Hamilton marco de la concentración
23,Hamilton climático en la atmósfera
24,Hamilton el cambio climático está
25,Hamilton esta esta mayor producción
26,Hamilton marca de la concentración
27,Hamilton parte de la contra el cambio
28,Hamilton política en la producción
29,Hamilton climática y el cambio
30,Hamilton al menos de la comprensión
31,Hamilton carbono en la compromisa
32,Hamilton propia de la concentración
33,Hamilton contra el cambio climático
34,Hamilton el cambio climático esta
35,Hamilton estado en la concentración
36,Hamilton contra el cambio climático
37,Hamilton menos de la compromisa
38,Hamilton la compra de compromiso
39,Hamilton marco de la concentración
40,Hamilton la comprar en la producción
41,Hamilton por el contral de la propia
42,Hamilton la contrar con la estrategia
43,Hamilton permitado de la propia
44,Hamilton de la propia climática
45,Hamilton para el cambio climático
46,Hamilton contra el cambio climático
47,Hamilton estado en la consecuencia
48,Hamilton la producción de la compra
49,Hamilton permitado de la compra
50,Hamilton parte de la compromisa
51,Hamilton estado su proporciona
52,Hamilton la propia de contra el cambio
53,Hamilton producirá a la energía
54,Hamilton en las contrabulidades
55,Hamilton permitado de la propia
56,Hamilton de la propia contra el cambio
57,Hamilton menos de la concentración
58,Hamilton permitado por la propia
59,Hamilton a la contra el combustible
60,Hamilton parte de la compromisa
61,Hamilton e la mayor actividad
62,Hamilton contra el cambio climático
63,Hamilton contra el cambio climático
64,Hamilton menos precipitaciones
65,Hamilton permita de la producción
66,Hamilton la capa de compromiso
67,Hamilton en la propia compromiso
68,Hamilton de contra la compromisa
69,Hamilton estado sobre la propia
70,Hamilton menos de la compromisa
71,Hamilton por el mar en la producción
72,Hamilton permita en la compromisa
73,Hamilton la producción de la compra
74,Hamilton contra el cambio climático
75,Hamilton permitado de la estado
76,Hamilton producido a la energía
77,Hamilton parte de la contra el cambio
78,Hamilton de contra la compromisa
79,Hamilton la contrar la compromisa
80,Hamilton comprensión de la producción
81,Hamilton propia con la compromisa
82,Hamilton permita en la compromisa
83,Hamilton por el cambio climático
84,Hamilton problema de la producción
85,Hamilton estado en la concentración
86,Hamilton parte de la compromisa
87,Hamilton la propia de la comprensión
88,Hamilton permitado en la producción
89,Hamilton seguir en la contribución
90,Hamilton la estada de compromiso
91,Hamilton parte de la concentración
92,Hamilton la propia como el problema
93,Hamilton problema con la atmósfera
94,Hamilton el contrado de carbono
95,Hamilton carbono que la comprensión
96,Hamilton la compromisa de deces
97,Hamilton deces con la compromisa
98,Hamilton se producirá en la propia
99,Hamilton esta mayor contra el cambio
100,Hamilton manor en la compromisa
101,Hamilton estado en la compromisa
102,Hamilton el mar y la contra el cambio
103,Hamilton modelo de la producción
104,Hamilton la energía necesaria
105,Hamilton los combustibles fósiles
106,Hamilton la propia como el estado
107,Hamilton a la capa de la compra
108,Hamilton compromiso de carbono
109,Hamilton carbono y el problema
110,Hamilton la energía contra el cambio
111,Hamilton contribución de la compra
112,Hamilton se esta mayor producida
113,Hamilton compromiso de la capa
114,Hamilton producto a las emisiones
115,Hamilton la propia de los procesos
116,Hamilton estado en la concentración
117,Hamilton segundo de la producción
118,Hamilton la comprensión de la propia
119,Hamilton permitado en la comprensión
120,Hamilton en el cambio climático
121,Hamilton el cambio climático esta
122,Hamilton parte de la concentración
123,Hamilton parte de la compromisa
124,Hamilton climático en la producción
125,Hamilton parte de la compromisa
126,Hamilton la producción de la compra
127,Hamilton la compra de la producción
128,Hamilton menos de la compromisa
129,Hamilton una vez más de la contrar
130,Hamilton marco de la concentración
131,Hamilton menos en la concentración
132,Hamilton ser estado a la producción
133,Hamilton contra el cambio climático
134,Hamilton los procesos de carbono
135,Hamilton seguridad establecir
136,Hamilton parte de la contribución
137,Hamilton parte de la compromisa
138,Hamilton a la propia contra el cambio
139,Hamilton consecuencia de la contrar
140,Hamilton la contrar la compromisa
141,Hamilton la compra de la estructura
142,Hamilton contra el cambio climático
143,Hamilton de la compra de consumo
144,Hamilton la compromisa de cambio
145,Hamilton por el cambio climático
146,Hamilton permitado en el promedio
147,Hamilton la estado de la comprensión
148,Hamilton estado se desarrollar
149,Hamilton se desarrollar la estada
150,Hamilton mercado de la energía
151,Hamilton estado en la contribución
152,Hamilton carbono en la compromisa
153,Hamilton menos de la concentración
154,Hamilton permitado en la producción
155,Hamilton contración de la producción
156,Hamilton de todo la contra el cambio
157,Hamilton menos de la concentración
158,Hamilton estado en la compromisa
159,Hamilton contra el cambio climático
160,Hamilton la comprensión de la compra
161,Hamilton la producción de la compra
162,Hamilton parte de la concentración
163,Hamilton menos de la concentración
164,Hamilton proceso de esta producción
165,Hamilton proceso de compromiso
166,Hamilton sin embargo se producir
167,Hamilton contra el mar en la atmósfera
168,Hamilton de compromiso de contra
169,Hamilton contra la temperatura
170,Hamilton menos de la concentración
171,Hamilton carbono que los países
172,Hamilton la producción de la mayor
173,Hamilton problema de la producción
174,Hamilton de compromiso de contra
175,Hamilton menos de la contribución
176,Hamilton por el cambio climático
177,Hamilton climático y la propia
178,Hamilton de compromiso de carbón
179,Hamilton carbono en la compromisa
180,Hamilton permitado de la tierra
181,Hamilton emisiones de carbono
182,Hamilton carbono por un problema
183,Hamilton estado en la contra el cambio
184,Hamilton de combustibles fósiles
185,Hamilton producto en la concentración
186,Hamilton proceso de compromiso
187,Hamilton esta mayor producida
188,Hamilton estado en la compromisa
189,Hamilton contra el cambio climático
190,Hamilton medida de compromiso
191,Hamilton la estado de la comprensión
192,Hamilton parte de la comprendencia
193,Hamilton estado en la concentración
194,Hamilton el mar de la contribución
195,Hamilton la comprensión de la compra
196,Hamilton de la compra de carbono
197,Hamilton proceso de compromiso
198,Hamilton estado con la atmósfera
199,Hamilton estado se desarrollar
200,Hamilton desarrollar el problema
201,Hamilton un contrado en el contexto
202,Hamilton compromiso de la contrar
203,Hamilton la compromisa de cambio
204,Hamilton estado en la concentración
205,Hamilton estado de contra el cambio
206,Hamilton el que producir el cambio
207,Hamilton en la ciencia de la contrar
208,Hamilton contra el cambio climático
209,Hamilton el cambio climático esta
210,Hamilton en la contrar los contrales
211,Hamilton segundo contra la propia
212,Hamilton actual de la contra el cambio
213,Hamilton la propia de compromiso
214,Hamilton la propia de compromiso
215,Hamilton compromiso de la compra
216,Hamilton de carbono en la atmósfera
217,Hamilton menos en la contribución
218,Hamilton menos en las emisiones
219,Hamilton carbono en la compromisa
220,Hamilton ento de la consecuencia
221,Hamilton ser producido en la propia
222,Hamilton en la propia contra el cambio
223,Hamilton la energía para el cambio
224,Hamilton parte de la concentración
225,Hamilton el calentamiento global
226,Hamilton de carbono a la producción
227,Hamilton de compromiso de cambio
228,Hamilton tendría en la consecuencia
229,Hamilton consecuencia de la contrar
230,Hamilton la contrar la concentración
231,Hamilton de contra la contra el cambio
232,Hamilton al contrado en la comprensión
233,Hamilton e en el cambio climático
234,Hamilton de la propia como contra
235,Hamilton producto en la contra el cambio
236,Hamilton productos de la producción
237,Hamilton propio con la concentración
238,Hamilton estado en la compromisa
239,Hamilton de carbono de la propia
240,Hamilton estado en la compromisa
241,Hamilton marca de la concentración
242,Hamilton producción de la producción
243,Hamilton contra la compromicado
244,Hamilton la producción de la compra
245,Hamilton países de contra el cambio
246,Hamilton se desarrollar el cambio
247,Hamilton problema de compromiso
248,Hamilton medida de la intersidad
249,Hamilton conjunto de compromiso
250,Hamilton la producción de la compra
251,Hamilton estado en la concentración
252,Hamilton consecuencia de la compren
253,Hamilton la compren de consecuencia
254,Hamilton estado de la comprensión
255,Hamilton estado en la concentración
256,Hamilton parte de la contribución
257,Hamilton contra el cambio climático
258,Hamilton compromiso de la mayor
259,Hamilton a la propia contra el cambio
260,Hamilton en la compromisa contra
261,Hamilton secuedad de la atmósfera
262,Hamilton la mayor por la producción
263,Hamilton la producción de la compra
264,Hamilton estado de compromiso
265,Hamilton la propia en la compromisa
266,Hamilton contra el cambio climático
267,Hamilton estado en la conferencia
268,Hamilton estados de contra el cambio
269,Hamilton la demanda de la propia
270,Hamilton de la propia contra el cambio
271,Hamilton el cambio climático esta
272,Hamilton contra el cambio climático
273,Hamilton la intersidad biológica
274,Hamilton la compromisa continuar
275,Hamilton de la contrar la contración
276,Hamilton estado se desarrollar
277,Hamilton parte de la compromisa
278,Hamilton estado en la concentración
279,Hamilton contra el cambio climático
280,Hamilton contra el cambio climático
281,Hamilton en la propia de consumo
282,Hamilton parte de la contra el cambio
283,Hamilton permitado en el consumo
284,Hamilton estado se desarrollar
285,Hamilton parte de la contra el cambio
286,Hamilton menos de la concentración
287,Hamilton el mar de la concentración
288,Hamilton amplia de la compromisa
289,Hamilton de carbono y la contrar
290,Hamilton estado en la compromisa
291,Hamilton compromiso de la propia
292,Hamilton la energía necesaria
293,Hamilton carbono a la compromisa
294,Hamilton ser producido en la contral
295,Hamilton estado de los países
296,Hamilton parte de la concentración
297,Hamilton compra de la propia como
298,Hamilton en el contrado en la propia
299,Hamilton en la propia como el cambio
300,Hamilton antes de la compromiso
301,Hamilton compromisa contra el cambio
302,Hamilton contra el cambio climático
303,Hamilton de compromiso de un medio
304,Hamilton en el contral de la propia
305,Hamilton permitan para la compra
306,Hamilton la compra de compromiso
307,Hamilton la propia de la comprensión
308,Hamilton cambio climático sobre
309,Hamilton la propia de compromiso
310,Hamilton estado de la producción
311,Hamilton marco de la concentración
312,Hamilton la temperatura mundial
313,Hamilton ser producido en la propia
314,Hamilton la propia con la producción
315,Hamilton parte de la concentración
316,Hamilton menos en la compromisa
317,Hamilton propuesta en la contrabución
318,Hamilton marco de la concentración
319,Hamilton estado en la capacidad
320,Hamilton de carbono y la propia
