,verse,terminacion
0,Hangzhou del proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Hangzhou países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
2,Hangzhou los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
3,Hangzhou partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
4,Hangzhou de los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
5,Hangzhou para marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
6,Hangzhou a la presencia de la salud,"[<'sa':sV>, <'lud':cvc>]"
7,Hangzhou contonce más el peligro,"[<'pe':cV>, <'li':cv>, <'gro':ccV>]"
8,Hangzhou las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Hangzhou de la biosfera de precios,"[<'pre':ccV>, <'cios':cvVs>]"
10,Hangzhou de la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
11,Hangzhou sa amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Hangzhou es un siglo xx estos partes,"[<'par':cVc>, <'tes':cVs>]"
13,Hangzhou ndia de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
14,Hangzhou contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
15,Hangzhou guardo estado a la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
16,Hangzhou la actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
17,Hangzhou aumenta de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
18,Hangzhou en el que se definitica,"[<'de':cV>, <'fi':cv>, <'ni':cv>, <'ti':cv>, <'ca':cV>]"
19,Hangzhou diración de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
20,Hangzhou a la intersión del capacidad,"[<'ca':cV>, <'pa':cV>, <'ci':cv>, <'dad':cVc>]"
21,Hangzhou n el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
22,Hangzhou me considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
23,Hangzhou los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
24,Hangzhou se desalian el especie,"[<'es':Vs>, <'pe':cV>, <'cie':cvV>]"
25,Hangzhou correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
26,Hangzhou para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
27,Hangzhou y los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
28,Hangzhou la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
29,Hangzhou de los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
30,Hangzhou de calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
31,Hangzhou la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
32,Hangzhou en el carbón y al contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
33,Hangzhou contribución en la esta alla,"[<'a':V>, <'lla':ccV>]"
34,Hangzhou salia del calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
35,Hangzhou que los neoliberales,"[<'ne':cV>, <'o':V>, <'li':cv>, <'be':cV>, <'ra':cV>, <'les':cVs>]"
36,Hangzhou la aperación de la centra,"[<'cen':cVc>, <'tra':ccV>]"
37,Hangzhou pertinente con la reda,"[<'re':cV>, <'da':cV>]"
38,Hangzhou la reda de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
39,Hangzhou de la cantidad de tiempo,"[<'tiem':cvVc>, <'po':cV>]"
40,Hangzhou los procesos de la inversión,"[<'in':vc>, <'ver':cVc>, <'sión':svVc>]"
