,endecasílabo
0,Hanoi en la infermedad energética
1,Hanoi los países o la alteración
2,Hanoi si debería la estrategia
3,Hanoi estrategia de las emisiones
4,Hanoi los países de nuestro parte
5,Hanoi nuestro parte de las especies
6,Hanoi con partes de la economía
7,Hanoi dicional de la humanidad
8,Hanoi la temperatura en los palas
9,Hanoi composiciones de la alternción
10,Hanoi márido de la carta de esta
11,Hanoi la temperatura es un siglo
12,Hanoi conterir la desempleación
13,Hanoi un carbono de su política
14,Hanoi el escenario de la cantidad
15,Hanoi la contribución del proceso
16,Hanoi la base de la mayor parte
17,Hanoi de los combustibles fósiles
18,Hanoi su mara de la seguridad
19,Hanoi en el pertido de la actividad
20,Hanoi atmósfera de la comporación
21,Hanoi gustos de la emisión de emisión
22,Hanoi los países de los patrones
23,Hanoi al siglo xx los estados desde
24,Hanoi de los metos de la ingenida
25,Hanoi estado de cumbre de la ommera
26,Hanoi también en la contaminación
27,Hanoi los correstos de alternaciones
28,Hanoi gue para la temperatura
29,Hanoi consecuencia y los países
30,Hanoi es un convenio sobre el proyecto
31,Hanoi ricado de la conferencia
32,Hanoi de la conferencia se pueden
33,Hanoi de la tierra por un consenso
34,Hanoi la esta alla y la diversidad
35,Hanoi a la sociedad de la sonientia
36,Hanoi de la sonientia con el actual
37,Hanoi con la reda de la cantidad
38,Hanoi la solidad de la segunda
39,Hanoi la energía no en los dectriales
40,Hanoi la concentración del proyecto
41,Hanoi políticos definitivas
42,Hanoi con el consumo de un recurso
43,Hanoi la de la oriente climática
44,Hanoi de los combustibles fósiles
45,Hanoi de su procisa de emisiones
46,Hanoi la población de la energía
47,Hanoi tendrámente en la caleración
48,Hanoi en la caleración del carbono
49,Hanoi que se pode para las partes
50,Hanoi de calidad y el sistema
51,Hanoi el sistema de la organización
52,Hanoi la mayoría de la forma
53,Hanoi de la forma de casa informe
54,Hanoi emisiones de gases de efecto
55,Hanoi la emisión de las decisiones
56,Hanoi de las palieras de emisiones
57,Hanoi centir a los interseñores
58,Hanoi de la mayoría del control
59,Hanoi medio ambiente la concentración
60,Hanoi bien en el correcionar nuestra
61,Hanoi en el correcionar nuestra parte
62,Hanoi de los comparaciones de esta
63,Hanoi continuación de la población
64,Hanoi la población de los países
65,Hanoi por consumidor para estados
66,Hanoi estados para las emisiones
67,Hanoi electricidad en las medidas
68,Hanoi de la pertida de la tierra
69,Hanoi las decientes energéticos
70,Hanoi modelo actual con el contexto
71,Hanoi de consumo con el estado
72,Hanoi la concentración de los medios
73,Hanoi funda se se contenta el marco
74,Hanoi como un problema como el siglo
75,Hanoi registrar como consecuencia
76,Hanoi como consecuencia del clima
77,Hanoi contribuyen a los países
78,Hanoi primer calentamiento global
79,Hanoi las inversiones en el caso
80,Hanoi de los efectos finalistas
81,Hanoi contribución sobre el carbono
82,Hanoi sobre el carbono y las partes
83,Hanoi de la previsión del acesto
84,Hanoi del acesto de la segunda
85,Hanoi los países de la sociedad
86,Hanoi de la actividad de las gases
87,Hanoi mente de la población están
88,Hanoi la sociedad de la población
89,Hanoi la población de la información
90,Hanoi previsión de los medios de este
91,Hanoi en la recisión de los países
92,Hanoi del gas de los altimos o antes
93,Hanoi por la buena contaminación
94,Hanoi los países de la eficiencia
95,Hanoi la combustión de la cantidad
96,Hanoi puedo estar la salud humana
97,Hanoi te parte de las emisiones
98,Hanoi de las emisiones del nivel
99,Hanoi de los efectos para el amor
100,Hanoi contente de la concentración
101,Hanoi cantidad de mantenida entre
102,Hanoi mantenida entre la actividad
103,Hanoi con el calentamiento medio
104,Hanoi el calentamiento medio ambiente
105,Hanoi pueden el mercado que el amor
106,Hanoi mercado que el amor de viento
107,Hanoi de la segunda concentración
108,Hanoi las países para virturar
109,Hanoi la concentración de la educción
110,Hanoi la contentación de energía
111,Hanoi de energía por el contexto
112,Hanoi pueda despertar lo que es una
113,Hanoi de los combustibles fósiles
114,Hanoi fósiles y las inversiones
115,Hanoi la superficie de la tierra
116,Hanoi de los medios de los países
117,Hanoi la concentración del proyecto
118,Hanoi información de la concentración
119,Hanoi de carbono algo internacional
120,Hanoi en el actual también en el medio
121,Hanoi la reducida del principal
122,Hanoi principal responsar la salud
123,Hanoi partir del problema del medio
124,Hanoi del problema del medio ambiente
125,Hanoi se ha encreto de los distintos
126,Hanoi los de los civilizaciones
127,Hanoi la temperatura del nivel
128,Hanoi contribución a la precisión
129,Hanoi los periodos del pauso medio
130,Hanoi medidas por la emisión de este
131,Hanoi de carbono para el mercado
132,Hanoi de eren en las palanidades
133,Hanoi medio ambiente por la actividad
134,Hanoi de agua tantos de los modelos
135,Hanoi dicionadas de los países
136,Hanoi los países temperaturas
137,Hanoi contribuir el albedo es la alta
138,Hanoi concentración de la actividad
139,Hanoi la contribución del mar soda
140,Hanoi contribución del mar soda este
141,Hanoi ción en la actividad del nivel
142,Hanoi medio ambiente y un problema
143,Hanoi y un problema de carbono
144,Hanoi la contención al energía
145,Hanoi con el sector energético
146,Hanoi mundo en el besta del modelo
147,Hanoi la internacional del convenio
148,Hanoi de la cual controlar el amor
149,Hanoi esta desestudión de los pasos
150,Hanoi de las partes de los procesos
151,Hanoi los contenidos por la emisión
152,Hanoi golíticos entre la estado
153,Hanoi el gas de la esta de la energía
154,Hanoi estados de sus actividades
155,Hanoi sus actividades por solo
156,Hanoi la ieversidad dio esta tendencia
157,Hanoi guarda ante para lo que es algo
158,Hanoi que el consumo en la mayor parte
159,Hanoi la consecuencia energética
160,Hanoi calar el informe del nivel
161,Hanoi los países de los pationes
162,Hanoi de la estrategia de los pales
163,Hanoi contribución a la cantidad
164,Hanoi de la sociedad de la tierra
165,Hanoi esta concentración de las partes
166,Hanoi la deficienta de carbono
167,Hanoi de carbono de la actividad
168,Hanoi de la conferencia del país
169,Hanoi del país de la conferencia
170,Hanoi la cumbre del clima este estado
171,Hanoi marca a elemente con la salud
172,Hanoi transmitivo de la cupación
173,Hanoi cantidad de los partes de esta
174,Hanoi electricidad de la sociedad
175,Hanoi una previsión de los modelos
176,Hanoi de un contexto de las ciudades
177,Hanoi genencia de la concentración
178,Hanoi de la concentración del país
179,Hanoi la mitura de los restondes
180,Hanoi los restondes en el corbunto
181,Hanoi su hermano de los productos
182,Hanoi contexto de la diversidad
183,Hanoi recursos de la que el contexto
184,Hanoi nor un sumo de la población
185,Hanoi la sociedad para compesar
186,Hanoi los países de la comprensión
187,Hanoi las emisiones de derechos
188,Hanoi s intervales de los años
189,Hanoi tencia de las concentraciones
190,Hanoi cuerte para los combustibles
191,Hanoi estrategia que es de la previsión
192,Hanoi ndo en la actualización del clima
193,Hanoi la cauda por la economía
194,Hanoi muchas discribes para menos
195,Hanoi del fundo de la contribución
196,Hanoi del nivel del mar de permitir
197,Hanoi de los combastibles fósiles
198,Hanoi tan la marta de los países
199,Hanoi la incertidumbre en la matura
200,Hanoi de la contemplación del mismo
201,Hanoi el desarrollo de la sociedad
202,Hanoi de la sociedad sobre el siglo
